model,group,case,variant,sentence_sim,contextual_span_sim,isolated_phrase_sim
mE5-large-instruct,idiomatic_nc,grey matter,synonym,0.9754425689973106,0.9366789796814854,0.9366789796814854
mE5-large-instruct,idiomatic_nc,grey matter,component,0.9674846966957256,0.8937656468567431,0.8937656468567431
mE5-large-instruct,idiomatic_nc,grey matter,word_by_word,0.9346469672097909,0.8438028593758553,0.8438028593758553
mE5-large-instruct,idiomatic_nc,grey matter,random,0.9093193070770028,0.8362071015470581,0.8362071015470581
mE5-large-instruct,idiomatic_nc,eager beaver,synonym,0.9425930208276994,0.8743760884524505,0.8743760884524505
mE5-large-instruct,idiomatic_nc,eager beaver,component,0.9725638250787491,0.9548345717310405,0.9548345717310405
mE5-large-instruct,idiomatic_nc,eager beaver,word_by_word,0.9484020469755318,0.9114743163716071,0.9114743163716071
mE5-large-instruct,idiomatic_nc,eager beaver,random,0.899472393445203,0.8230843348288696,0.8230843348288696
mE5-large-instruct,idiomatic_nc,couch potato,synonym,0.9543876882542833,0.8804543264016668,0.8804543264016668
mE5-large-instruct,idiomatic_nc,couch potato,component,0.9683778117968413,0.9229140275273043,0.9229140275273043
mE5-large-instruct,idiomatic_nc,couch potato,word_by_word,0.9658721198739372,0.9169459960012503,0.9169459960012503
mE5-large-instruct,idiomatic_nc,couch potato,random,0.9037300152567118,0.8287648619609114,0.8287648619609114
mE5-large-instruct,idiomatic_nc,cold feet,synonym,0.9564739738427316,0.8596201644222152,0.8596201644222152
mE5-large-instruct,idiomatic_nc,cold feet,component,0.9457560284970663,0.9254963735041002,0.9254963735041002
mE5-large-instruct,idiomatic_nc,cold feet,word_by_word,0.9834263722866488,0.9596963150180852,0.9596963150180852
mE5-large-instruct,idiomatic_nc,cold feet,random,0.9081795629746672,0.8304358311501898,0.8304358311501898
mE5-large-instruct,idiomatic_nc,white elephant,synonym,0.92850950751724,0.832255151860045,0.832255151860045
mE5-large-instruct,idiomatic_nc,white elephant,component,0.9747074041819507,0.9574077305955726,0.9574077305955726
mE5-large-instruct,idiomatic_nc,white elephant,word_by_word,0.9489488913742192,0.9082634836499076,0.9082634836499076
mE5-large-instruct,idiomatic_nc,white elephant,random,0.9067110179673198,0.8077630797694629,0.8077630797694629
mE5-large-instruct,idiomatic_nc,red tape,synonym,0.9689944325094144,0.9166452556115606,0.9166452556115606
mE5-large-instruct,idiomatic_nc,red tape,component,0.9585604154492919,0.9269302325072211,0.9269302325072211
mE5-large-instruct,idiomatic_nc,red tape,word_by_word,0.9506452024664513,0.8897948133706476,0.8897948133706476
mE5-large-instruct,idiomatic_nc,red tape,random,0.9114395763646029,0.8494115038223697,0.8494115038223697
mE5-large-instruct,idiomatic_nc,dark horse,synonym,0.9201017430139056,0.8947717890088536,0.8947717890088536
mE5-large-instruct,idiomatic_nc,dark horse,component,0.9580505114249429,0.9409177907866861,0.9409177907866861
mE5-large-instruct,idiomatic_nc,dark horse,word_by_word,0.949130973259788,0.9201507599429718,0.9201507599429718
mE5-large-instruct,idiomatic_nc,dark horse,random,0.8770244805692565,0.849062903284598,0.849062903284598
mE5-large-instruct,idiomatic_nc,black sheep,synonym,0.9386839266710024,0.8709273508886637,0.8709273508886637
mE5-large-instruct,idiomatic_nc,black sheep,component,0.9738029474031219,0.9561926295656745,0.9561926295656745
mE5-large-instruct,idiomatic_nc,black sheep,word_by_word,0.9693601819757531,0.9338932838403207,0.9338932838403207
mE5-large-instruct,idiomatic_nc,black sheep,random,0.9025890004924606,0.8064593901910067,0.8064593901910067
mE5-large-instruct,idiomatic_nc,silver lining,synonym,0.9678051247809185,0.9184953517113824,0.9184953517113824
mE5-large-instruct,idiomatic_nc,silver lining,component,0.9746030134640794,0.8838279495879211,0.8838279495879211
mE5-large-instruct,idiomatic_nc,silver lining,word_by_word,0.9193886513988094,0.8656153602827611,0.8656153602827611
mE5-large-instruct,idiomatic_nc,silver lining,random,0.9068451985308239,0.8450688059459494,0.8450688059459494
mE5-large-instruct,idiomatic_nc,ivory tower,synonym,0.9278800033148401,0.8575475650509549,0.8575475650509549
mE5-large-instruct,idiomatic_nc,ivory tower,component,0.9714069098504079,0.9203388456453292,0.9203388456453292
mE5-large-instruct,idiomatic_nc,ivory tower,word_by_word,0.9366815034899184,0.8713360526850318,0.8713360526850318
mE5-large-instruct,idiomatic_nc,ivory tower,random,0.932134866211636,0.8788333564531641,0.8788333564531641
mE5-large-instruct,idiomatic_nc,glass ceiling,synonym,0.9481284953399897,0.8733496145448677,0.8733496145448677
mE5-large-instruct,idiomatic_nc,glass ceiling,component,0.9774696622130512,0.9290913550579581,0.9290913550579581
mE5-large-instruct,idiomatic_nc,glass ceiling,word_by_word,0.9251959914998814,0.8933490694899292,0.8933490694899292
mE5-large-instruct,idiomatic_nc,glass ceiling,random,0.8758550113270233,0.8350515336216016,0.8350515336216016
mE5-large-instruct,idiomatic_nc,cash cow,synonym,0.9904870965008772,0.9431573475325784,0.9431573475325784
mE5-large-instruct,idiomatic_nc,cash cow,component,0.9506729636704109,0.8933078425260581,0.8933078425260581
mE5-large-instruct,idiomatic_nc,cash cow,word_by_word,0.9880189081739206,0.9209565284210988,0.9209565284210988
mE5-large-instruct,idiomatic_nc,cash cow,random,0.8793573523262175,0.8360243604739339,0.8360243604739339
mE5-large-instruct,idiomatic_nc,loose cannon,synonym,0.9373821961733002,0.8615762269966801,0.8615762269966801
mE5-large-instruct,idiomatic_nc,loose cannon,component,0.9548443132263553,0.9426574849429639,0.9426574849429639
mE5-large-instruct,idiomatic_nc,loose cannon,word_by_word,0.9585479485718955,0.9215560836639834,0.9215560836639834
