model,group,case,variant,sentence_sim,contextual_span_sim,isolated_phrase_sim
Qwen3.5-2B-it,idiomatic_nc,grey matter,synonym,0.9518035416184379,0.6185457436861708,0.5982791709447208
Qwen3.5-2B-it,idiomatic_nc,grey matter,component,0.9164191364446431,0.5238389044828408,0.5810880663386064
Qwen3.5-2B-it,idiomatic_nc,grey matter,word_by_word,0.8927310215547933,0.5998389207493245,0.6408214626105332
Qwen3.5-2B-it,idiomatic_nc,grey matter,random,0.8504073235080081,0.47137674642300753,0.45616885312246647
Qwen3.5-2B-it,idiomatic_nc,eager beaver,synonym,0.942245813157449,0.6724671369303977,0.5980958039167921
Qwen3.5-2B-it,idiomatic_nc,eager beaver,component,0.9484654194545727,0.7881524351803858,0.805665503264144
Qwen3.5-2B-it,idiomatic_nc,eager beaver,word_by_word,0.9282208867067406,0.6411884111984604,0.60707797647326
Qwen3.5-2B-it,idiomatic_nc,eager beaver,random,0.8960673715406445,0.5027218795870446,0.5039624609000853
Qwen3.5-2B-it,idiomatic_nc,couch potato,synonym,0.9514205611500807,0.6508706182448769,0.5830809682186596
Qwen3.5-2B-it,idiomatic_nc,couch potato,component,0.9052882077883513,0.5285018522594894,0.6569370398918009
Qwen3.5-2B-it,idiomatic_nc,couch potato,word_by_word,0.9542521044309459,0.7562228809292155,0.6222965544764331
Qwen3.5-2B-it,idiomatic_nc,couch potato,random,0.8613057191896291,0.3892326329376249,0.4647328241387961
Qwen3.5-2B-it,idiomatic_nc,cold feet,synonym,0.9746357212661758,0.7104955030708671,0.5688930359278619
Qwen3.5-2B-it,idiomatic_nc,cold feet,component,0.9386831650651681,0.46970259991719504,0.5600491012851706
Qwen3.5-2B-it,idiomatic_nc,cold feet,word_by_word,0.9838431276421409,0.8679557425662167,0.747317448963908
Qwen3.5-2B-it,idiomatic_nc,cold feet,random,0.9410783241617074,0.47369537243120435,0.5529729160320599
Qwen3.5-2B-it,idiomatic_nc,white elephant,synonym,0.9592295130452081,0.5462223992781261,0.45479083489673894
Qwen3.5-2B-it,idiomatic_nc,white elephant,component,0.9303116633998958,0.5396904880379776,0.6312419090555761
Qwen3.5-2B-it,idiomatic_nc,white elephant,word_by_word,0.9246985403344057,0.6247095005281441,0.5665948487374061
Qwen3.5-2B-it,idiomatic_nc,white elephant,random,0.9346914764274524,0.5835095674177475,0.5421871535513194
Qwen3.5-2B-it,idiomatic_nc,red tape,synonym,0.9765941467266002,0.6326992025797696,0.5365340403649638
Qwen3.5-2B-it,idiomatic_nc,red tape,component,0.9450420649131224,0.44096442363423294,0.6128635105097517
Qwen3.5-2B-it,idiomatic_nc,red tape,word_by_word,0.9283962484419183,0.6094344367720864,0.6166075534177361
Qwen3.5-2B-it,idiomatic_nc,red tape,random,0.921031109729652,0.4678992710864181,0.49465146445147296
Qwen3.5-2B-it,idiomatic_nc,dark horse,synonym,0.9378691870957492,0.6004308264504292,0.6733462448101318
Qwen3.5-2B-it,idiomatic_nc,dark horse,component,0.9063672073647508,0.5239434861688156,0.6681358574980222
Qwen3.5-2B-it,idiomatic_nc,dark horse,word_by_word,0.8607735378888707,0.6315240532578426,0.7396333602280719
Qwen3.5-2B-it,idiomatic_nc,dark horse,random,0.8286772310510503,0.4504878970772875,0.3902489954570776
Qwen3.5-2B-it,idiomatic_nc,black sheep,synonym,0.9671257048040504,0.6248989954168634,0.6030059625047094
Qwen3.5-2B-it,idiomatic_nc,black sheep,component,0.9488364766763807,0.5854981555419766,0.6756674564056498
Qwen3.5-2B-it,idiomatic_nc,black sheep,word_by_word,0.9584893074752774,0.7032127294733904,0.7132868631388155
Qwen3.5-2B-it,idiomatic_nc,black sheep,random,0.9148549138535771,0.46535759732333193,0.5398823591966021
Qwen3.5-2B-it,idiomatic_nc,silver lining,synonym,0.9707679862774238,0.6592354013263813,0.6290016588976074
Qwen3.5-2B-it,idiomatic_nc,silver lining,component,0.9598526272835433,0.5611461697147028,0.6300068435951841
Qwen3.5-2B-it,idiomatic_nc,silver lining,word_by_word,0.9377928445456113,0.5516815115296678,0.6550730301924101
Qwen3.5-2B-it,idiomatic_nc,silver lining,random,0.9116884725159835,0.49350354892062975,0.5619290238254443
Qwen3.5-2B-it,idiomatic_nc,ivory tower,synonym,0.9436030462164299,0.5976126176350287,0.6118122711907013
Qwen3.5-2B-it,idiomatic_nc,ivory tower,component,0.9252580458228633,0.531300491068241,0.6208553551022131
Qwen3.5-2B-it,idiomatic_nc,ivory tower,word_by_word,0.9186859829167255,0.48276459559939117,0.5523829681452185
Qwen3.5-2B-it,idiomatic_nc,ivory tower,random,0.9354085435478079,0.5949192485688323,0.6183186423990722
Qwen3.5-2B-it,idiomatic_nc,glass ceiling,synonym,0.9488797933527013,0.6830496885303882,0.679795594636204
Qwen3.5-2B-it,idiomatic_nc,glass ceiling,component,0.9605442507862778,0.7355678284491242,0.649623880890121
Qwen3.5-2B-it,idiomatic_nc,glass ceiling,word_by_word,0.901925744240436,0.6597819548509063,0.6985827507045796
Qwen3.5-2B-it,idiomatic_nc,glass ceiling,random,0.8723935655632152,0.521587979630995,0.6452140057147556
Qwen3.5-2B-it,idiomatic_nc,cash cow,synonym,0.94228120099155,0.5935414399576482,0.5464395743107634
Qwen3.5-2B-it,idiomatic_nc,cash cow,component,0.9351640495242617,0.5295191186691853,0.502479563427787
Qwen3.5-2B-it,idiomatic_nc,cash cow,word_by_word,0.9615698080740681,0.727134782003458,0.6573374283774056
Qwen3.5-2B-it,idiomatic_nc,cash cow,random,0.902538133582533,0.5175680095643621,0.5468108655596549
Qwen3.5-2B-it,idiomatic_nc,loose cannon,synonym,0.9623271671212104,0.7063956765822645,0.5803404146000006
