model,group,case,variant,sentence_sim,contextual_span_sim,isolated_phrase_sim
XLM-R-large,idiomatic_nc,grey matter,synonym,0.9969340672878247,0.924944782827036,0.9255653493281399
XLM-R-large,idiomatic_nc,grey matter,component,0.9975889152671277,0.9313254812417046,0.8363985149399983
XLM-R-large,idiomatic_nc,grey matter,word_by_word,0.9985272668036602,0.981529487543567,0.9781444791974593
XLM-R-large,idiomatic_nc,grey matter,random,0.9943156599420021,0.9390787311602582,0.9454165775762504
XLM-R-large,idiomatic_nc,eager beaver,synonym,0.996729963498596,0.9770493586818058,0.964812313895787
XLM-R-large,idiomatic_nc,eager beaver,component,0.9922414885490234,0.9386739661988155,0.9752812015712106
XLM-R-large,idiomatic_nc,eager beaver,word_by_word,0.9963793878020634,0.9538422781903134,0.9541836124419687
XLM-R-large,idiomatic_nc,eager beaver,random,0.992789358064907,0.9363814025226445,0.9159908832415188
XLM-R-large,idiomatic_nc,couch potato,synonym,0.9953478297205389,0.947563662382,0.958220585180451
XLM-R-large,idiomatic_nc,couch potato,component,0.9987741842630111,0.9890886146553359,0.9589224257317392
XLM-R-large,idiomatic_nc,couch potato,word_by_word,0.986331021722952,0.9107592493544738,0.9497471892683772
XLM-R-large,idiomatic_nc,couch potato,random,0.991057427243238,0.9274122159988352,0.9611183667635433
XLM-R-large,idiomatic_nc,cold feet,synonym,0.9975203136040797,0.9344676393484228,0.9338961877385554
XLM-R-large,idiomatic_nc,cold feet,component,0.9973050455039524,0.9365630087291968,0.9152425522441644
XLM-R-large,idiomatic_nc,cold feet,word_by_word,0.998718489747526,0.9565499795908644,0.9227739162328622
XLM-R-large,idiomatic_nc,cold feet,random,0.993714927493338,0.9200522386129089,0.920660194892736
XLM-R-large,idiomatic_nc,white elephant,synonym,0.9974855119496446,0.9632857716553651,0.9493719927106771
XLM-R-large,idiomatic_nc,white elephant,component,0.999350863916171,0.9920457430253643,0.9905624572521177
XLM-R-large,idiomatic_nc,white elephant,word_by_word,0.9922920350024125,0.9297741767614324,0.9360901176376396
XLM-R-large,idiomatic_nc,white elephant,random,0.9908316043706284,0.9311391349302641,0.9412526867810372
XLM-R-large,idiomatic_nc,red tape,synonym,0.9977591500725257,0.9180046452492224,0.9158468532203716
XLM-R-large,idiomatic_nc,red tape,component,0.9977147231717663,0.9559938785072422,0.8491881182925289
XLM-R-large,idiomatic_nc,red tape,word_by_word,0.9974747261717721,0.9369152129118866,0.9437769868284013
XLM-R-large,idiomatic_nc,red tape,random,0.9963293485576181,0.9498125262977296,0.9392765948720443
XLM-R-large,idiomatic_nc,dark horse,synonym,0.9972652443634694,0.9609599733734204,0.9105747641723352
XLM-R-large,idiomatic_nc,dark horse,component,0.9990492361458536,0.9697912788436108,0.9314812150645008
XLM-R-large,idiomatic_nc,dark horse,word_by_word,0.9979002289504515,0.97153234320384,0.9303732866452565
XLM-R-large,idiomatic_nc,dark horse,random,0.9963972767829604,0.9642640926854618,0.9273652453797147
XLM-R-large,idiomatic_nc,black sheep,synonym,0.9968428672014649,0.9491666556041872,0.9201246353877646
XLM-R-large,idiomatic_nc,black sheep,component,0.9993294257416934,0.9859776054219311,0.9290829026522436
XLM-R-large,idiomatic_nc,black sheep,word_by_word,0.996188676218528,0.9575822722798325,0.9288951256343242
XLM-R-large,idiomatic_nc,black sheep,random,0.9948770496293585,0.9299078803694337,0.9286894423851626
XLM-R-large,idiomatic_nc,silver lining,synonym,0.9974102271528487,0.9567256600943743,0.9561665937522469
XLM-R-large,idiomatic_nc,silver lining,component,0.990841633740972,0.9755700243854329,0.9398404910138826
XLM-R-large,idiomatic_nc,silver lining,word_by_word,0.9973563800805049,0.9678528304903087,0.9514796168781999
XLM-R-large,idiomatic_nc,silver lining,random,0.9869963530069643,0.9572573992120584,0.9592516688180819
XLM-R-large,idiomatic_nc,ivory tower,synonym,0.997393575194083,0.9482537944032943,0.9520431395273022
XLM-R-large,idiomatic_nc,ivory tower,component,0.9979543649009857,0.9522944293248669,0.915748670852712
XLM-R-large,idiomatic_nc,ivory tower,word_by_word,0.9932254676046617,0.9221648405188028,0.93418165916024
XLM-R-large,idiomatic_nc,ivory tower,random,0.9952023155568638,0.9762821484422245,0.9497449496240532
XLM-R-large,idiomatic_nc,glass ceiling,synonym,0.9962784580580535,0.9513097020279542,0.945377156763404
XLM-R-large,idiomatic_nc,glass ceiling,component,0.9981058305467155,0.9781349153141972,0.9487922228381386
XLM-R-large,idiomatic_nc,glass ceiling,word_by_word,0.9975002173716824,0.9606384011879932,0.9576499683445134
XLM-R-large,idiomatic_nc,glass ceiling,random,0.9948506723058118,0.9375540788280476,0.925760560724665
XLM-R-large,idiomatic_nc,cash cow,synonym,0.9979354899020385,0.9529329032523678,0.9457470647613653
XLM-R-large,idiomatic_nc,cash cow,component,0.9963361558042815,0.9779550667069415,0.9734371526997704
XLM-R-large,idiomatic_nc,cash cow,word_by_word,0.9938909851176271,0.9304921883631903,0.9274220522934249
XLM-R-large,idiomatic_nc,cash cow,random,0.9937681295340564,0.9646976128351874,0.9600215923752292
XLM-R-large,idiomatic_nc,loose cannon,synonym,0.9956529726275513,0.9622111570270431,0.9555008081279011
XLM-R-large,idiomatic_nc,loose cannon,component,0.9967844772204582,0.9745979137741105,0.9573990116009302
XLM-R-large,idiomatic_nc,loose cannon,word_by_word,0.9942324445837034,0.9601404834836532,0.9473027092493153
XLM-R-large,idiomatic_nc,loose cannon,random,0.9913853342923581,0.9658941556009917,0.9576009948887858
XLM-R-large,idiomatic_nc,golden handshake,synonym,0.9946385474144686,0.9367684308139722,0.9427850846381131
XLM-R-large,idiomatic_nc,golden handshake,component,0.9990993820709398,0.9907588590641155,0.9800204169869623
XLM-R-large,idiomatic_nc,golden handshake,word_by_word,0.9949827963821721,0.9371866232120984,0.9462618330487085
XLM-R-large,idiomatic_nc,golden handshake,random,0.9959335561527229,0.9505755718020947,0.9503356646808415
XLM-R-large,idiomatic_nc,paper tiger,synonym,0.994702915473367,0.9322777482056908,0.9259572653831277
XLM-R-large,idiomatic_nc,paper tiger,component,0.9988212630266747,0.985627260250382,0.9894551521145953
XLM-R-large,idiomatic_nc,paper tiger,word_by_word,0.9905521426514174,0.9400343509324612,0.9526512630364865
XLM-R-large,idiomatic_nc,paper tiger,random,0.994999230583371,0.9515434026530504,0.9388395269147384
XLM-R-large,idiomatic_nc,smoking gun,synonym,0.9909224816274891,0.9225725423333098,0.9328882671185964
XLM-R-large,idiomatic_nc,smoking gun,component,0.9944887981924609,0.9515631418814698,0.8946609500920815
