model,group,case,variant,sentence_sim,contextual_span_sim,isolated_phrase_sim
mBERT,idiomatic_nc,grey matter,synonym,0.9778676663932121,0.7899658612389913,0.8514966423970557
mBERT,idiomatic_nc,grey matter,component,0.9678495767075509,0.8544480080277764,0.9207088725454613
mBERT,idiomatic_nc,grey matter,word_by_word,0.9862194561939083,0.8930928710569737,0.8977532517299
mBERT,idiomatic_nc,grey matter,random,0.9495512759947067,0.7838923223890149,0.8150074868449776
mBERT,idiomatic_nc,eager beaver,synonym,0.9626033663762449,0.7939140485444354,0.8446951916682705
mBERT,idiomatic_nc,eager beaver,component,0.9907521836239961,0.9406161206837874,0.9297090208966122
mBERT,idiomatic_nc,eager beaver,word_by_word,0.9769001527218714,0.8631031796680627,0.8732112980918516
mBERT,idiomatic_nc,eager beaver,random,0.9563220465937905,0.7650482408576346,0.8105237891679611
mBERT,idiomatic_nc,couch potato,synonym,0.9481485280053996,0.7838086565294965,0.8198250563065901
mBERT,idiomatic_nc,couch potato,component,0.9888474614204927,0.9330468258539348,0.9242302024724592
mBERT,idiomatic_nc,couch potato,word_by_word,0.9736579220101177,0.8646414034716393,0.8633518727455685
mBERT,idiomatic_nc,couch potato,random,0.924327664690408,0.7321168625636414,0.8046065477928646
mBERT,idiomatic_nc,cold feet,synonym,0.9819542526082778,0.8135977779330276,0.8304912546189692
mBERT,idiomatic_nc,cold feet,component,0.992198427621146,0.8894669099902212,0.8689440770001269
mBERT,idiomatic_nc,cold feet,word_by_word,0.9847617044430241,0.8824004688376083,0.8999576828642856
mBERT,idiomatic_nc,cold feet,random,0.9710715173367057,0.7593415591696624,0.8109991120652976
mBERT,idiomatic_nc,white elephant,synonym,0.9518942191210085,0.7942586447414038,0.7861166980318166
mBERT,idiomatic_nc,white elephant,component,0.9905620194556473,0.9641717513158548,0.9357858324607535
mBERT,idiomatic_nc,white elephant,word_by_word,0.978998172345027,0.8808449776086721,0.8279752911342055
mBERT,idiomatic_nc,white elephant,random,0.9563865773044389,0.7816716551382263,0.7434769838802281
mBERT,idiomatic_nc,red tape,synonym,0.9747266227361657,0.789112509306739,0.8294883899114174
mBERT,idiomatic_nc,red tape,component,0.994425496210903,0.9208175672093807,0.9198970279882445
mBERT,idiomatic_nc,red tape,word_by_word,0.9641361861445673,0.8290855372142664,0.8095503972576187
mBERT,idiomatic_nc,red tape,random,0.9763217942857769,0.8580137324506139,0.8607374143429798
mBERT,idiomatic_nc,dark horse,synonym,0.9408498305039861,0.7827785771704087,0.8607041279367673
mBERT,idiomatic_nc,dark horse,component,0.9736508779882852,0.902125997563362,0.9136404614829825
mBERT,idiomatic_nc,dark horse,word_by_word,0.9790471576841718,0.8936980469511601,0.9106514812413418
mBERT,idiomatic_nc,dark horse,random,0.9640831906301004,0.8395932426236966,0.8535763578036323
mBERT,idiomatic_nc,black sheep,synonym,0.9776307276692665,0.8248902457213009,0.839259583353235
mBERT,idiomatic_nc,black sheep,component,0.9963048063616999,0.9303608650403573,0.9292839961570212
mBERT,idiomatic_nc,black sheep,word_by_word,0.9829343498781316,0.8888782160878422,0.8628156602638143
mBERT,idiomatic_nc,black sheep,random,0.9770218604609873,0.844876352107685,0.8187138279105456
mBERT,idiomatic_nc,silver lining,synonym,0.9552496949284417,0.7974887882307414,0.8087883641764231
mBERT,idiomatic_nc,silver lining,component,0.9791214588285565,0.908607027875236,0.9079384082342769
mBERT,idiomatic_nc,silver lining,word_by_word,0.969620834351592,0.8518281964390857,0.8764534022952158
mBERT,idiomatic_nc,silver lining,random,0.976600542089116,0.8422099244799882,0.8056686466000045
mBERT,idiomatic_nc,ivory tower,synonym,0.9594813559901307,0.8178127065059796,0.8570034235596494
mBERT,idiomatic_nc,ivory tower,component,0.9809498814234315,0.8703567775260936,0.8623263254889146
mBERT,idiomatic_nc,ivory tower,word_by_word,0.9718523214118875,0.8544738528241198,0.8749420066097338
mBERT,idiomatic_nc,ivory tower,random,0.963794865429449,0.838532741993287,0.8818020327092824
mBERT,idiomatic_nc,glass ceiling,synonym,0.9672266781242997,0.8494378584291565,0.8279392592718448
mBERT,idiomatic_nc,glass ceiling,component,0.9884183607339913,0.9180324598956432,0.9118997574816884
mBERT,idiomatic_nc,glass ceiling,word_by_word,0.9836769782104403,0.9180869985961599,0.8933922882611502
mBERT,idiomatic_nc,glass ceiling,random,0.9418522198668109,0.8115554957296645,0.76204575596844
mBERT,idiomatic_nc,cash cow,synonym,0.9793825938840685,0.8590828269048313,0.862950936646999
mBERT,idiomatic_nc,cash cow,component,0.9907266138998659,0.9401907650951098,0.9456987063578992
mBERT,idiomatic_nc,cash cow,word_by_word,0.9793314442077217,0.8615058989501064,0.8669481665056434
mBERT,idiomatic_nc,cash cow,random,0.9685819159016832,0.8431697881018415,0.8425300906257569
mBERT,idiomatic_nc,loose cannon,synonym,0.9549391998663166,0.8013468402593329,0.8303684885567362
mBERT,idiomatic_nc,loose cannon,component,0.9955351290832691,0.9690512391547829,0.9346356144970033
mBERT,idiomatic_nc,loose cannon,word_by_word,0.9740971068282341,0.8678173415441633,0.8629961540656212
mBERT,idiomatic_nc,loose cannon,random,0.9739614798879374,0.8744855949623814,0.8603807624005636
mBERT,idiomatic_nc,golden handshake,synonym,0.9472650263653085,0.8190098418247757,0.8251810924585424
mBERT,idiomatic_nc,golden handshake,component,0.9742186309490405,0.9329259271111545,0.9354598000994478
mBERT,idiomatic_nc,golden handshake,word_by_word,0.9617084939385396,0.8866108292762749,0.8381325092942019
mBERT,idiomatic_nc,golden handshake,random,0.9563859716831525,0.8795975226506225,0.8825089089406356
mBERT,idiomatic_nc,paper tiger,synonym,0.9590514847728228,0.8171478224504855,0.8464733919957185
mBERT,idiomatic_nc,paper tiger,component,0.9928343088719878,0.9542694486345379,0.9400824648350038
mBERT,idiomatic_nc,paper tiger,word_by_word,0.9736897773620089,0.8566079253390296,0.8428940180163771
mBERT,idiomatic_nc,paper tiger,random,0.9768913165322027,0.876174478631316,0.90452652461467
mBERT,idiomatic_nc,smoking gun,synonym,0.9597400134989736,0.8202228682235507,0.8221521236563573
mBERT,idiomatic_nc,smoking gun,component,0.9868201787580655,0.8752849266016165,0.8794683809974968
mBERT,idiomatic_nc,smoking gun,word_by_word,0.9845402528897007,0.8927938286327506,0.8744079512020281
mBERT,idiomatic_nc,smoking gun,random,0.960972665249165,0.8209110716758395,0.8591053763058722
mBERT,compositional_nc,economic aid,synonym,0.9896353951329661,0.9466562370152186,0.9228928351792415
mBERT,compositional_nc,economic aid,component,0.99027175758192,0.9311264997016458,0.8064062685681445
mBERT,compositional_nc,economic aid,word_by_word,0.9880812779462935,0.934400345604129,0.8919022215430995
mBERT,compositional_nc,economic aid,random,0.9642645988325735,0.8087611963066169,0.7887453757334694
mBERT,compositional_nc,research lab,synonym,0.9940412572348539,0.9683328318705104,0.9557407229884491
mBERT,compositional_nc,research lab,component,0.9937100684036657,0.939581570415407,0.8436847106452975
mBERT,compositional_nc,research lab,word_by_word,0.9775384356467102,0.87477958948475,0.8480704322368999
mBERT,compositional_nc,research lab,random,0.9715608201899334,0.8383741445709563,0.8256636174260766
mBERT,compositional_nc,climate policy,synonym,0.9948461667635023,0.9575448304713513,0.9527559076086018
mBERT,compositional_nc,climate policy,component,0.9899133363315079,0.8968188863554281,0.9349705449989105
mBERT,compositional_nc,climate policy,word_by_word,0.9837135677466292,0.896917341241267,0.871808730644631
mBERT,compositional_nc,climate policy,random,0.9660525998429629,0.7907860169743508,0.8140799607989646
mBERT,compositional_nc,medical school,synonym,0.996152468572278,0.9758686024184001,0.9434277717284345
mBERT,compositional_nc,medical school,component,0.9845677350434663,0.8889638914113119,0.8408713756084898
mBERT,compositional_nc,medical school,word_by_word,0.9811546266054757,0.8898191972748186,0.868075534702837
mBERT,compositional_nc,medical school,random,0.9556917885036187,0.8014344617629273,0.7822874994511413
mBERT,compositional_nc,mountain village,synonym,0.983765129596279,0.9286946128621831,0.9175688139831495
mBERT,compositional_nc,mountain village,component,0.9931226335526947,0.9318859570806112,0.7782326545795808
mBERT,compositional_nc,mountain village,word_by_word,0.9897906883276982,0.9416939854751991,0.9157311808241508
mBERT,compositional_nc,mountain village,random,0.9662364148707558,0.8367403536512835,0.8782131788205277
mBERT,compositional_nc,solar panel,synonym,0.9851930989550879,0.927366139058381,0.888911269732272
mBERT,compositional_nc,solar panel,component,0.9935383301518899,0.9358141657431547,0.9021100371606033
mBERT,compositional_nc,solar panel,word_by_word,0.9879954929930951,0.9140353689920407,0.9029424544471413
mBERT,compositional_nc,solar panel,random,0.974695022890721,0.8642580464882751,0.8386714391961619
mBERT,compositional_nc,election result,synonym,0.967463122492791,0.8575055802878182,0.8447021625119243
mBERT,compositional_nc,election result,component,0.9536006241288786,0.8081711558796163,0.8379456518510695
mBERT,compositional_nc,election result,word_by_word,0.9802784682241689,0.8823252991823683,0.8179274272277511
mBERT,compositional_nc,election result,random,0.9023084140374382,0.6898265135440019,0.7019267761922269
mBERT,compositional_nc,airport security,synonym,0.9913651489737355,0.9539569348659784,0.9575284745467124
mBERT,compositional_nc,airport security,component,0.9895451968382335,0.9137487068084014,0.9174678252596944
mBERT,compositional_nc,airport security,word_by_word,0.9867518327456107,0.9417862415980377,0.9178992244920847
