candidate_id,mwe_id,canonical_form,kind,lexical_form,component_strategy,rank,synset_ids,definitions,examples,source_id,source_url,license,license_review_status,sense_review_status,grammar_review_status,review_status,notes
TR-NC-001-kenet-wordssyn-01,TR-NC-001,acı reçete,P_WordsSyn,ateş aman zaman,modifier_synonym_plus_head_synonym,1,kenet-TUR10_0690530-n | kenet-TUR10_0032110-n,"Üzüntü, sıkıntı, keder | Bir sonuca varmak, ortadaki engelleri kaldırmak için izlenilmesi gereken yöntem","Acı duyurmadan diş çekmek. | Çocuğunu kaybetmenin sızısı hala içinde. | Dâğ-ı aşk. | Herkesi okutmanın çaresi | Can işte, cânan hani / Dert işte, derman hani | Şirket yönetimi, krizi atlatmak için bir reçete hazırladı. | Yeni pazarlara açılmak için çareyi dijital reklam kampanyalarını güçlendirmekte buldular.",SRC-009,https://github.com/StarlangSoftware/TurkishWordNet,GPL-3 (declared by WN-LMF lexicon and repository),content_license_review_required,not_reviewed,not_reviewed,review_required,Modifier 'acı' -> 'ateş'; head 'reçete' -> 'aman zaman'. Morphology and sentence grammar require human review.
TR-NC-001-kenet-wordssyn-02,TR-NC-001,acı reçete,P_WordsSyn,ateş derman,modifier_synonym_plus_head_synonym,2,kenet-TUR10_0690530-n | kenet-TUR10_0032110-n,"Üzüntü, sıkıntı, keder | Bir sonuca varmak, ortadaki engelleri kaldırmak için izlenilmesi gereken yöntem","Acı duyurmadan diş çekmek. | Çocuğunu kaybetmenin sızısı hala içinde. | Dâğ-ı aşk. | Herkesi okutmanın çaresi | Can işte, cânan hani / Dert işte, derman hani | Şirket yönetimi, krizi atlatmak için bir reçete hazırladı. | Yeni pazarlara açılmak için çareyi dijital reklam kampanyalarını güçlendirmekte buldular.",SRC-009,https://github.com/StarlangSoftware/TurkishWordNet,GPL-3 (declared by WN-LMF lexicon and repository),content_license_review_required,not_reviewed,not_reviewed,review_required,Modifier 'acı' -> 'ateş'; head 'reçete' -> 'derman'. Morphology and sentence grammar require human review.
TR-NC-001-kenet-wordssyn-03,TR-NC-001,acı reçete,P_WordsSyn,ateş hal çaresi,modifier_synonym_plus_head_synonym,3,kenet-TUR10_0690530-n | kenet-TUR10_0032110-n,"Üzüntü, sıkıntı, keder | Bir sonuca varmak, ortadaki engelleri kaldırmak için izlenilmesi gereken yöntem","Acı duyurmadan diş çekmek. | Çocuğunu kaybetmenin sızısı hala içinde. | Dâğ-ı aşk. | Herkesi okutmanın çaresi | Can işte, cânan hani / Dert işte, derman hani | Şirket yönetimi, krizi atlatmak için bir reçete hazırladı. | Yeni pazarlara açılmak için çareyi dijital reklam kampanyalarını güçlendirmekte buldular.",SRC-009,https://github.com/StarlangSoftware/TurkishWordNet,GPL-3 (declared by WN-LMF lexicon and repository),content_license_review_required,not_reviewed,not_reviewed,review_required,Modifier 'acı' -> 'ateş'; head 'reçete' -> 'hal çaresi'. Morphology and sentence grammar require human review.
TR-NC-001-kenet-wordssyn-04,TR-NC-001,acı reçete,P_WordsSyn,ateş yol,modifier_synonym_plus_head_synonym,4,kenet-TUR10_0690530-n | kenet-TUR10_0032110-n,"Üzüntü, sıkıntı, keder | Bir sonuca varmak, ortadaki engelleri kaldırmak için izlenilmesi gereken yöntem","Acı duyurmadan diş çekmek. | Çocuğunu kaybetmenin sızısı hala içinde. | Dâğ-ı aşk. | Herkesi okutmanın çaresi | Can işte, cânan hani / Dert işte, derman hani | Şirket yönetimi, krizi atlatmak için bir reçete hazırladı. | Yeni pazarlara açılmak için çareyi dijital reklam kampanyalarını güçlendirmekte buldular.",SRC-009,https://github.com/StarlangSoftware/TurkishWordNet,GPL-3 (declared by WN-LMF lexicon and repository),content_license_review_required,not_reviewed,not_reviewed,review_required,Modifier 'acı' -> 'ateş'; head 'reçete' -> 'yol'. Morphology and sentence grammar require human review.
TR-NC-001-kenet-wordssyn-05,TR-NC-001,acı reçete,P_WordsSyn,ateş çare,modifier_synonym_plus_head_synonym,5,kenet-TUR10_0690530-n | kenet-TUR10_0032110-n,"Üzüntü, sıkıntı, keder | Bir sonuca varmak, ortadaki engelleri kaldırmak için izlenilmesi gereken yöntem","Acı duyurmadan diş çekmek. | Çocuğunu kaybetmenin sızısı hala içinde. | Dâğ-ı aşk. | Herkesi okutmanın çaresi | Can işte, cânan hani / Dert işte, derman hani | Şirket yönetimi, krizi atlatmak için bir reçete hazırladı. | Yeni pazarlara açılmak için çareyi dijital reklam kampanyalarını güçlendirmekte buldular.",SRC-009,https://github.com/StarlangSoftware/TurkishWordNet,GPL-3 (declared by WN-LMF lexicon and repository),content_license_review_required,not_reviewed,not_reviewed,review_required,Modifier 'acı' -> 'ateş'; head 'reçete' -> 'çare'. Morphology and sentence grammar require human review.
TR-NC-001-kenet-wordssyn-06,TR-NC-001,acı reçete,P_WordsSyn,ateş çözüm yolu,modifier_synonym_plus_head_synonym,6,kenet-TUR10_0690530-n | kenet-TUR10_0032110-n,"Üzüntü, sıkıntı, keder | Bir sonuca varmak, ortadaki engelleri kaldırmak için izlenilmesi gereken yöntem","Acı duyurmadan diş çekmek. | Çocuğunu kaybetmenin sızısı hala içinde. | Dâğ-ı aşk. | Herkesi okutmanın çaresi | Can işte, cânan hani / Dert işte, derman hani | Şirket yönetimi, krizi atlatmak için bir reçete hazırladı. | Yeni pazarlara açılmak için çareyi dijital reklam kampanyalarını güçlendirmekte buldular.",SRC-009,https://github.com/StarlangSoftware/TurkishWordNet,GPL-3 (declared by WN-LMF lexicon and repository),content_license_review_required,not_reviewed,not_reviewed,review_required,Modifier 'acı' -> 'ateş'; head 'reçete' -> 'çözüm yolu'. Morphology and sentence grammar require human review.
TR-NC-001-kenet-wordssyn-07,TR-NC-001,acı reçete,P_WordsSyn,ateş çıkar yol,modifier_synonym_plus_head_synonym,7,kenet-TUR10_0690530-n | kenet-TUR10_0032110-n,"Üzüntü, sıkıntı, keder | Bir sonuca varmak, ortadaki engelleri kaldırmak için izlenilmesi gereken yöntem","Acı duyurmadan diş çekmek. | Çocuğunu kaybetmenin sızısı hala içinde. | Dâğ-ı aşk. | Herkesi okutmanın çaresi | Can işte, cânan hani / Dert işte, derman hani | Şirket yönetimi, krizi atlatmak için bir reçete hazırladı. | Yeni pazarlara açılmak için çareyi dijital reklam kampanyalarını güçlendirmekte buldular.",SRC-009,https://github.com/StarlangSoftware/TurkishWordNet,GPL-3 (declared by WN-LMF lexicon and repository),content_license_review_required,not_reviewed,not_reviewed,review_required,Modifier 'acı' -> 'ateş'; head 'reçete' -> 'çıkar yol'. Morphology and sentence grammar require human review.
TR-NC-001-kenet-wordssyn-08,TR-NC-001,acı reçete,P_WordsSyn,barut gibi aman zaman,modifier_synonym_plus_head_synonym,8,kenet-TUR10_0100660-a | kenet-TUR10_0032110-n,"Tadı bibere benzer nitelikte olan | Bir sonuca varmak, ortadaki engelleri kaldırmak için izlenilmesi gereken yöntem","Acı kahvesini yudumluyordu. | Herkesi okutmanın çaresi | Can işte, cânan hani / Dert işte, derman hani | Şirket yönetimi, krizi atlatmak için bir reçete hazırladı. | Yeni pazarlara açılmak için çareyi dijital reklam kampanyalarını güçlendirmekte buldular.",SRC-009,https://github.com/StarlangSoftware/TurkishWordNet,GPL-3 (declared by WN-LMF lexicon and repository),content_license_review_required,not_reviewed,not_reviewed,review_required,Modifier 'acı' -> 'barut gibi'; head 'reçete' -> 'aman zaman'. Morphology and sentence grammar require human review.
TR-NC-001-kenet-wordssyn-09,TR-NC-001,acı reçete,P_WordsSyn,barut gibi derman,modifier_synonym_plus_head_synonym,9,kenet-TUR10_0100660-a | kenet-TUR10_0032110-n,"Tadı bibere benzer nitelikte olan | Bir sonuca varmak, ortadaki engelleri kaldırmak için izlenilmesi gereken yöntem","Acı kahvesini yudumluyordu. | Herkesi okutmanın çaresi | Can işte, cânan hani / Dert işte, derman hani | Şirket yönetimi, krizi atlatmak için bir reçete hazırladı. | Yeni pazarlara açılmak için çareyi dijital reklam kampanyalarını güçlendirmekte buldular.",SRC-009,https://github.com/StarlangSoftware/TurkishWordNet,GPL-3 (declared by WN-LMF lexicon and repository),content_license_review_required,not_reviewed,not_reviewed,review_required,Modifier 'acı' -> 'barut gibi'; head 'reçete' -> 'derman'. Morphology and sentence grammar require human review.
TR-NC-001-kenet-wordssyn-10,TR-NC-001,acı reçete,P_WordsSyn,barut gibi hal çaresi,modifier_synonym_plus_head_synonym,10,kenet-TUR10_0100660-a | kenet-TUR10_0032110-n,"Tadı bibere benzer nitelikte olan | Bir sonuca varmak, ortadaki engelleri kaldırmak için izlenilmesi gereken yöntem","Acı kahvesini yudumluyordu. | Herkesi okutmanın çaresi | Can işte, cânan hani / Dert işte, derman hani | Şirket yönetimi, krizi atlatmak için bir reçete hazırladı. | Yeni pazarlara açılmak için çareyi dijital reklam kampanyalarını güçlendirmekte buldular.",SRC-009,https://github.com/StarlangSoftware/TurkishWordNet,GPL-3 (declared by WN-LMF lexicon and repository),content_license_review_required,not_reviewed,not_reviewed,review_required,Modifier 'acı' -> 'barut gibi'; head 'reçete' -> 'hal çaresi'. Morphology and sentence grammar require human review.
