group,case,variant,target,replacement,sentence_sim,contextual_span_sim,isolated_phrase_sim,changed_sentence
idiomatic_nc,grey matter,synonym,grey matter,brain,0.9785292148590088,0.6920003890991211,0.7252885699272156,These youngsters use their brain when the presentation is right.
idiomatic_nc,grey matter,component,grey matter,matter,0.9867463707923889,0.8810410499572754,0.8451299667358398,These youngsters use their matter when the presentation is right.
idiomatic_nc,grey matter,word_by_word,grey matter,silvery material,0.9834778904914856,0.8188745379447937,0.8093464970588684,These youngsters use their silvery material when the presentation is right.
idiomatic_nc,grey matter,random,grey matter,battlefront serviceman,0.9585237503051758,0.7057245373725891,0.7079095840454102,These youngsters use their battlefront serviceman when the presentation is right.
idiomatic_nc,eager beaver,synonym,eager beaver,hard worker,0.9672285914421082,0.7425409555435181,0.7354769706726074,Eric stayed a real hard worker during the audit.
idiomatic_nc,eager beaver,component,eager beaver,beaver,0.989863932132721,0.9119095206260681,0.9062173962593079,Eric stayed a real beaver during the audit.
idiomatic_nc,eager beaver,word_by_word,eager beaver,restless rodent,0.967380940914154,0.778846800327301,0.7820274829864502,Eric stayed a real restless rodent during the audit.
idiomatic_nc,eager beaver,random,eager beaver,petrol station,0.9668323993682861,0.7676256895065308,0.7145504355430603,Eric stayed a real petrol station during the audit.
idiomatic_nc,couch potato,synonym,couch potato,lazy person,0.9540675282478333,0.7399852871894836,0.7368877530097961,Nina became a lazy person after the exams.
idiomatic_nc,couch potato,component,couch potato,potato,0.9898363947868347,0.9295819997787476,0.9169886112213135,Nina became a potato after the exams.
idiomatic_nc,couch potato,word_by_word,couch potato,sofa tuber,0.9616120457649231,0.796662449836731,0.762185275554657,Nina became a sofa tuber after the exams.
idiomatic_nc,couch potato,random,couch potato,railway signal,0.9461855292320251,0.7037860155105591,0.6665675044059753,Nina became a railway signal after the exams.
idiomatic_nc,cold feet,synonym,cold feet,nervousness,0.9796328544616699,0.7108139991760254,0.7298601865768433,The sudden audit gave the manager nervousness before the launch.
idiomatic_nc,cold feet,component,cold feet,feet,0.994446337223053,0.8802850842475891,0.8462905287742615,The sudden audit gave the manager feet before the launch.
idiomatic_nc,cold feet,word_by_word,cold feet,chilly legs,0.9870373010635376,0.816918134689331,0.8119807839393616,The sudden audit gave the manager chilly legs before the launch.
idiomatic_nc,cold feet,random,cold feet,garden invoice,0.9778568744659424,0.7411612868309021,0.7405033707618713,The sudden audit gave the manager garden invoice before the launch.
idiomatic_nc,white elephant,synonym,white elephant,burden,0.9733364582061768,0.7728411555290222,0.7136191129684448,The abandoned stadium became a burden for the city.
idiomatic_nc,white elephant,component,white elephant,elephant,0.9939045906066895,0.9643643498420715,0.9352725148200989,The abandoned stadium became a elephant for the city.
idiomatic_nc,white elephant,word_by_word,white elephant,pale animal,0.9795671701431274,0.8289335370063782,0.7836354374885559,The abandoned stadium became a pale animal for the city.
idiomatic_nc,white elephant,random,white elephant,kitchen policy,0.9693291187286377,0.7643604278564453,0.70065838098526,The abandoned stadium became a kitchen policy for the city.
idiomatic_nc,red tape,synonym,red tape,bureaucracy,0.9667893648147583,0.6534559726715088,0.6615082025527954,The permit was delayed by bureaucracy at the ministry.
idiomatic_nc,red tape,component,red tape,tape,0.9929799437522888,0.8768565058708191,0.8466137051582336,The permit was delayed by tape at the ministry.
idiomatic_nc,red tape,word_by_word,red tape,crimson ribbon,0.9601868987083435,0.745599627494812,0.7113463878631592,The permit was delayed by crimson ribbon at the ministry.
idiomatic_nc,red tape,random,red tape,ocean doorway,0.9741504788398743,0.7481693029403687,0.7623808979988098,The permit was delayed by ocean doorway at the ministry.
idiomatic_nc,dark horse,synonym,dark horse,unexpected contender,0.9753502011299133,0.7924712300300598,0.810763955116272,A unexpected contender won the final round of the tournament.
idiomatic_nc,dark horse,component,dark horse,horse,0.9933626055717468,0.893187940120697,0.8433190584182739,A horse won the final round of the tournament.
idiomatic_nc,dark horse,word_by_word,dark horse,shadowy animal,0.9772607088088989,0.8230863809585571,0.8452499508857727,A shadowy animal won the final round of the tournament.
idiomatic_nc,dark horse,random,dark horse,library candle,0.9733541011810303,0.7827460169792175,0.7773929238319397,A library candle won the final round of the tournament.
idiomatic_nc,black sheep,synonym,black sheep,outcast,0.9793478846549988,0.7563625574111938,0.7327612638473511,After the scandal Omar was the outcast of the board.
idiomatic_nc,black sheep,component,black sheep,sheep,0.9917322397232056,0.8448915481567383,0.842420756816864,After the scandal Omar was the sheep of the board.
idiomatic_nc,black sheep,word_by_word,black sheep,dark animal,0.9851333498954773,0.851962685585022,0.855818510055542,After the scandal Omar was the dark animal of the board.
idiomatic_nc,black sheep,random,black sheep,museum ticket,0.9791978597640991,0.7860323190689087,0.754858136177063,After the scandal Omar was the museum ticket of the board.
idiomatic_nc,silver lining,synonym,silver lining,hopeful aspect,0.9617456197738647,0.7420552968978882,0.7170743346214294,The grant rejection had a hopeful aspect for the startup.
idiomatic_nc,silver lining,component,silver lining,lining,0.988477885723114,0.9270886182785034,0.9261071681976318,The grant rejection had a lining for the startup.
idiomatic_nc,silver lining,word_by_word,silver lining,metallic edge,0.9718613624572754,0.7884604930877686,0.7768151164054871,The grant rejection had a metallic edge for the startup.
idiomatic_nc,silver lining,random,silver lining,desert violin,0.9729591012001038,0.7489182949066162,0.738153874874115,The grant rejection had a desert violin for the startup.
idiomatic_nc,ivory tower,synonym,ivory tower,academic isolation,0.9650459289550781,0.7736589312553406,0.7729328274726868,The report criticized the academic isolation at the institute.
idiomatic_nc,ivory tower,component,ivory tower,tower,0.9831342697143555,0.8199564814567566,0.8131008148193359,The report criticized the tower at the institute.
idiomatic_nc,ivory tower,word_by_word,ivory tower,pale structure,0.9738621115684509,0.7935298085212708,0.7905730605125427,The report criticized the pale structure at the institute.
idiomatic_nc,ivory tower,random,ivory tower,market umbrella,0.9641388654708862,0.7730199694633484,0.822348415851593,The report criticized the market umbrella at the institute.
idiomatic_nc,glass ceiling,synonym,glass ceiling,invisible barrier,0.9798014760017395,0.8598862886428833,0.8321264386177063,The promotion exposed the invisible barrier in the company.
idiomatic_nc,glass ceiling,component,glass ceiling,ceiling,0.9902901649475098,0.8843662738800049,0.8820394277572632,The promotion exposed the ceiling in the company.
idiomatic_nc,glass ceiling,word_by_word,glass ceiling,transparent roof,0.9885953664779663,0.8894200325012207,0.9011378884315491,The promotion exposed the transparent roof in the company.
idiomatic_nc,glass ceiling,random,glass ceiling,forest melody,0.9560127258300781,0.7545744180679321,0.7163443565368652,The promotion exposed the forest melody in the company.
idiomatic_nc,cash cow,synonym,cash cow,moneymaker,0.9831294417381287,0.8168292045593262,0.7642941474914551,The old product became a moneymaker for the firm.
idiomatic_nc,cash cow,component,cash cow,cow,0.9936456680297852,0.9449416995048523,0.9021642208099365,The old product became a cow for the firm.
idiomatic_nc,cash cow,word_by_word,cash cow,money animal,0.9816582202911377,0.79891437292099,0.7667936086654663,The old product became a money animal for the firm.
idiomatic_nc,cash cow,random,cash cow,airport blanket,0.9637539386749268,0.7605594396591187,0.7116806507110596,The old product became a airport blanket for the firm.
idiomatic_nc,loose cannon,synonym,loose cannon,unpredictable person,0.9554137587547302,0.7127983570098877,0.7279179692268372,The spokesman was a unpredictable person during the debate.
