model,group,synonym_sentence_sim,random_sentence_sim,sentence_gap,synonym_contextual_span_sim,random_contextual_span_sim,contextual_span_gap,synonym_isolated_phrase_sim,random_isolated_phrase_sim,isolated_phrase_gap
BERT-large-EN,compositional_nc,0.9823076650500298,0.9379829280078411,0.044324737042188644,0.9314702562987804,0.717318806797266,0.21415144950151443,0.8652359433472157,0.6863523386418819,0.1788836047053337
BERT-large-EN,idiomatic_nc,0.9495573602616787,0.9241367615759373,0.025420598685741425,0.7525242455303669,0.6647406406700611,0.08778360486030579,0.6527268625795841,0.6766297668218613,-0.023902904242277145
BERT-large-EN,ordinary_two_word_control,0.979879442602396,0.9314029812812805,0.048476461321115494,0.8934393413364887,0.6874833628535271,0.20595597848296165,0.8081416375935078,0.6802287437021732,0.12791289389133453
BERT-large-EN,single_word_control,0.9860844500362873,0.9491712488234043,0.036913201212882996,0.8943111151456833,0.6355004645884037,0.2588106505572796,0.8268699534237385,0.7198191024363041,0.10705085098743439
DistilBERT-ML,compositional_nc,0.9888883419334888,0.965395987033844,0.02349235489964485,0.904151163995266,0.752546101808548,0.151605062186718,0.8987405598163605,0.7515968047082424,0.14714375510811806
DistilBERT-ML,idiomatic_nc,0.9689985811710358,0.966854814440012,0.0021437667310237885,0.7518893480300903,0.7625282406806946,-0.010638892650604248,0.7450618706643581,0.7469529882073402,-0.0018911175429821014
DistilBERT-ML,ordinary_two_word_control,0.9757956229150295,0.9530310481786728,0.022764574736356735,0.8453209139406681,0.7512543313205242,0.09406658262014389,0.8289447538554668,0.7403021343052387,0.08864261955022812
DistilBERT-ML,single_word_control,0.9866816774010658,0.9658999480307102,0.020781729370355606,0.8251516558229923,0.6888467743992805,0.13630488142371178,0.811103593558073,0.7155006527900696,0.09560294076800346
mBERT,compositional_nc,0.9869549833238125,0.9598771519958973,0.02707783132791519,0.93466392531991,0.8119053617119789,0.12275856360793114,0.9179355278611183,0.814987525343895,0.10294800251722336
mBERT,idiomatic_nc,0.9623756669461727,0.9621329978108406,0.00024266913533210754,0.8096172362565994,0.8219494223594666,-0.012332186102867126,0.8339333720505238,0.8322630971670151,0.0016702748835086823
mBERT,ordinary_two_word_control,0.9723817780613899,0.9427946358919144,0.029587142169475555,0.880008302628994,0.774540051817894,0.1054682508111,0.8800704218447208,0.8191129006445408,0.060957521200180054
mBERT,single_word_control,0.985028974711895,0.9570123329758644,0.02801664173603058,0.8974845074117184,0.7548645511269569,0.14261995628476143,0.8602855317294598,0.7867269963026047,0.07355853542685509
mSBERT,compositional_nc,0.8947037495672703,0.6406249720603228,0.2540787775069475,0.7253126539289951,0.14709495240822432,0.5782177015207708,0.7253126539289951,0.14709495240822432,0.5782177015207708
mSBERT,idiomatic_nc,0.7626312784850597,0.6701687462627888,0.09246253222227097,0.2500042379833758,0.1970800231210887,0.0529242148622871,0.2500042379833758,0.1970800231210887,0.0529242148622871
mSBERT,ordinary_two_word_control,0.8645187430083752,0.5443614069372416,0.3201573360711336,0.7148277796804905,0.15812991722486908,0.5566978624556214,0.7148277796804905,0.15812991722486908,0.5566978624556214
mSBERT,single_word_control,0.9516213424503803,0.7489147447049618,0.20270659774541855,0.8221495524048805,0.3137037558481097,0.5084457965567708,0.8221495524048805,0.3137037558481097,0.5084457965567708
