group,case,variant,target,replacement,sentence_sim,contextual_span_sim,isolated_phrase_sim,changed_sentence
idiomatic_nc,grey matter,synonym,grey matter,brain,0.9799143671989441,0.769569993019104,0.6207592487335205,These youngsters use their brain when the presentation is right.
idiomatic_nc,grey matter,component,grey matter,matter,0.9443325996398926,0.76596999168396,0.746953010559082,These youngsters use their matter when the presentation is right.
idiomatic_nc,grey matter,word_by_word,grey matter,silvery material,0.9467748403549194,0.7982324957847595,0.7886698246002197,These youngsters use their silvery material when the presentation is right.
idiomatic_nc,grey matter,random,grey matter,battlefront serviceman,0.913196325302124,0.7137090563774109,0.6566162705421448,These youngsters use their battlefront serviceman when the presentation is right.
idiomatic_nc,eager beaver,synonym,eager beaver,hard worker,0.9625952839851379,0.7776262760162354,0.6376748085021973,Eric stayed a real hard worker during the audit.
idiomatic_nc,eager beaver,component,eager beaver,beaver,0.9524078369140625,0.8304882049560547,0.7230561375617981,Eric stayed a real beaver during the audit.
idiomatic_nc,eager beaver,word_by_word,eager beaver,restless rodent,0.9609785079956055,0.8318785429000854,0.6581696271896362,Eric stayed a real restless rodent during the audit.
idiomatic_nc,eager beaver,random,eager beaver,petrol station,0.8851872086524963,0.6041553020477295,0.6065704226493835,Eric stayed a real petrol station during the audit.
idiomatic_nc,couch potato,synonym,couch potato,lazy person,0.9534603953361511,0.7288091778755188,0.6169403791427612,Nina became a lazy person after the exams.
idiomatic_nc,couch potato,component,couch potato,potato,0.9698473811149597,0.7611016631126404,0.7450448870658875,Nina became a potato after the exams.
idiomatic_nc,couch potato,word_by_word,couch potato,sofa tuber,0.9454746842384338,0.710413932800293,0.6480417847633362,Nina became a sofa tuber after the exams.
idiomatic_nc,couch potato,random,couch potato,railway signal,0.899526059627533,0.535157322883606,0.5357686281204224,Nina became a railway signal after the exams.
idiomatic_nc,cold feet,synonym,cold feet,nervousness,0.9575691223144531,0.7027617692947388,0.7136509418487549,The sudden audit gave the manager nervousness before the launch.
idiomatic_nc,cold feet,component,cold feet,feet,0.9685929417610168,0.7763724327087402,0.621543288230896,The sudden audit gave the manager feet before the launch.
idiomatic_nc,cold feet,word_by_word,cold feet,chilly legs,0.9809582829475403,0.8727181553840637,0.8750699758529663,The sudden audit gave the manager chilly legs before the launch.
idiomatic_nc,cold feet,random,cold feet,garden invoice,0.9265439510345459,0.5588942170143127,0.6425261497497559,The sudden audit gave the manager garden invoice before the launch.
idiomatic_nc,white elephant,synonym,white elephant,burden,0.9566698670387268,0.6836446523666382,0.5533778667449951,The abandoned stadium became a burden for the city.
idiomatic_nc,white elephant,component,white elephant,elephant,0.9814623594284058,0.8921149969100952,0.8240001201629639,The abandoned stadium became a elephant for the city.
idiomatic_nc,white elephant,word_by_word,white elephant,pale animal,0.9742985367774963,0.8555995225906372,0.7408245205879211,The abandoned stadium became a pale animal for the city.
idiomatic_nc,white elephant,random,white elephant,kitchen policy,0.964133083820343,0.7442452311515808,0.7036072611808777,The abandoned stadium became a kitchen policy for the city.
idiomatic_nc,red tape,synonym,red tape,bureaucracy,0.9629217386245728,0.8257452249526978,0.6044412851333618,The permit was delayed by bureaucracy at the ministry.
idiomatic_nc,red tape,component,red tape,tape,0.9749357104301453,0.8251074552536011,0.7606197595596313,The permit was delayed by tape at the ministry.
idiomatic_nc,red tape,word_by_word,red tape,crimson ribbon,0.9694243669509888,0.8252291679382324,0.6193953156471252,The permit was delayed by crimson ribbon at the ministry.
idiomatic_nc,red tape,random,red tape,ocean doorway,0.9487560987472534,0.6750591993331909,0.7287779450416565,The permit was delayed by ocean doorway at the ministry.
idiomatic_nc,dark horse,synonym,dark horse,unexpected contender,0.8391463160514832,0.7096147537231445,0.6223325729370117,A unexpected contender won the final round of the tournament.
idiomatic_nc,dark horse,component,dark horse,horse,0.8627814054489136,0.7996158599853516,0.6038139462471008,A horse won the final round of the tournament.
idiomatic_nc,dark horse,word_by_word,dark horse,shadowy animal,0.8106850385665894,0.6817201972007751,0.6446636915206909,A shadowy animal won the final round of the tournament.
idiomatic_nc,dark horse,random,dark horse,library candle,0.8282381892204285,0.5817103385925293,0.6678972244262695,A library candle won the final round of the tournament.
idiomatic_nc,black sheep,synonym,black sheep,outcast,0.9642037153244019,0.7934755682945251,0.5909719467163086,After the scandal Omar was the outcast of the board.
idiomatic_nc,black sheep,component,black sheep,sheep,0.9683402180671692,0.7509967088699341,0.6385380029678345,After the scandal Omar was the sheep of the board.
idiomatic_nc,black sheep,word_by_word,black sheep,dark animal,0.9558863043785095,0.8025549650192261,0.7886688709259033,After the scandal Omar was the dark animal of the board.
idiomatic_nc,black sheep,random,black sheep,museum ticket,0.8908551335334778,0.5883742570877075,0.6831106543540955,After the scandal Omar was the museum ticket of the board.
idiomatic_nc,silver lining,synonym,silver lining,hopeful aspect,0.9584645628929138,0.6803494691848755,0.7148369550704956,The grant rejection had a hopeful aspect for the startup.
idiomatic_nc,silver lining,component,silver lining,lining,0.9765836000442505,0.767105758190155,0.5750614404678345,The grant rejection had a lining for the startup.
idiomatic_nc,silver lining,word_by_word,silver lining,metallic edge,0.9593147039413452,0.7024130821228027,0.6882456541061401,The grant rejection had a metallic edge for the startup.
idiomatic_nc,silver lining,random,silver lining,desert violin,0.9097603559494019,0.5113489627838135,0.7248653769493103,The grant rejection had a desert violin for the startup.
idiomatic_nc,ivory tower,synonym,ivory tower,academic isolation,0.9698798656463623,0.7555060982704163,0.7035610675811768,The report criticized the academic isolation at the institute.
idiomatic_nc,ivory tower,component,ivory tower,tower,0.9679602384567261,0.7826036810874939,0.8354645371437073,The report criticized the tower at the institute.
idiomatic_nc,ivory tower,word_by_word,ivory tower,pale structure,0.9674360752105713,0.7529053092002869,0.6438975930213928,The report criticized the pale structure at the institute.
idiomatic_nc,ivory tower,random,ivory tower,market umbrella,0.9668956995010376,0.7698685526847839,0.7677261829376221,The report criticized the market umbrella at the institute.
idiomatic_nc,glass ceiling,synonym,glass ceiling,invisible barrier,0.9548650979995728,0.7910478115081787,0.7586382627487183,The promotion exposed the invisible barrier in the company.
idiomatic_nc,glass ceiling,component,glass ceiling,ceiling,0.9762590527534485,0.8922256231307983,0.8010031580924988,The promotion exposed the ceiling in the company.
idiomatic_nc,glass ceiling,word_by_word,glass ceiling,transparent roof,0.9707076549530029,0.9217848777770996,0.8242682218551636,The promotion exposed the transparent roof in the company.
idiomatic_nc,glass ceiling,random,glass ceiling,forest melody,0.9332231879234314,0.7176271080970764,0.6864890456199646,The promotion exposed the forest melody in the company.
idiomatic_nc,cash cow,synonym,cash cow,moneymaker,0.9832147359848022,0.9028000831604004,0.6979562640190125,The old product became a moneymaker for the firm.
idiomatic_nc,cash cow,component,cash cow,cow,0.95393967628479,0.7180779576301575,0.5627411603927612,The old product became a cow for the firm.
idiomatic_nc,cash cow,word_by_word,cash cow,money animal,0.9854233264923096,0.917143702507019,0.8050302267074585,The old product became a money animal for the firm.
idiomatic_nc,cash cow,random,cash cow,airport blanket,0.9401680827140808,0.6483232975006104,0.6055694222450256,The old product became a airport blanket for the firm.
idiomatic_nc,loose cannon,synonym,loose cannon,unpredictable person,0.9662838578224182,0.8262540102005005,0.7147617936134338,The spokesman was a unpredictable person during the debate.
idiomatic_nc,loose cannon,component,loose cannon,cannon,0.9584108591079712,0.7642670273780823,0.7222194075584412,The spokesman was a cannon during the debate.
idiomatic_nc,loose cannon,word_by_word,loose cannon,unstable weapon,0.9569689035415649,0.8651536107063293,0.7374705672264099,The spokesman was a unstable weapon during the debate.
idiomatic_nc,loose cannon,random,loose cannon,velvet engine,0.93003910779953,0.6958050727844238,0.7413725256919861,The spokesman was a velvet engine during the debate.
idiomatic_nc,golden handshake,synonym,golden handshake,severance payment,0.9170485138893127,0.6926454901695251,0.6818305253982544,The manager received a severance payment after the merger.
idiomatic_nc,golden handshake,component,golden handshake,handshake,0.980421781539917,0.9471109509468079,0.9323152303695679,The manager received a handshake after the merger.
idiomatic_nc,golden handshake,word_by_word,golden handshake,valuable greeting,0.9454679489135742,0.8227546811103821,0.7214354276657104,The manager received a valuable greeting after the merger.
