model,group,case,variant,sentence_sim,contextual_span_sim,isolated_phrase_sim
Qwen3-4B-Base,idiomatic_nc,grey matter,synonym,0.9983104582775822,0.847622800386989,0.9977018313648469
Qwen3-4B-Base,idiomatic_nc,grey matter,component,0.9943854550709256,0.7832829515802339,0.9976403259044374
Qwen3-4B-Base,idiomatic_nc,grey matter,word_by_word,0.9948380231351739,0.862948849290896,0.9962359400766598
Qwen3-4B-Base,idiomatic_nc,grey matter,random,0.9911491031005241,0.8418767456338347,0.9934258273523575
Qwen3-4B-Base,idiomatic_nc,eager beaver,synonym,0.9967728983598939,0.8432635981055366,0.9910748823111172
Qwen3-4B-Base,idiomatic_nc,eager beaver,component,0.997219362014529,0.9025959749145324,0.9914107740506615
Qwen3-4B-Base,idiomatic_nc,eager beaver,word_by_word,0.9952764629540465,0.8612961688093312,0.9941010761923942
Qwen3-4B-Base,idiomatic_nc,eager beaver,random,0.9945112319732791,0.8141969720659199,0.9925153259263069
Qwen3-4B-Base,idiomatic_nc,couch potato,synonym,0.9929595100471369,0.829748929266683,0.9962307729861188
Qwen3-4B-Base,idiomatic_nc,couch potato,component,0.9902683523585692,0.6392813523602632,0.9958709168513347
Qwen3-4B-Base,idiomatic_nc,couch potato,word_by_word,0.98927840080385,0.8601410807520719,0.9949582353912071
Qwen3-4B-Base,idiomatic_nc,couch potato,random,0.9835544189353321,0.6687123193703545,0.9946484018319174
Qwen3-4B-Base,idiomatic_nc,cold feet,synonym,0.9979505961248988,0.8817275791381631,0.9857245207893278
Qwen3-4B-Base,idiomatic_nc,cold feet,component,0.9964929338458364,0.6671411762708176,0.9982173331504111
Qwen3-4B-Base,idiomatic_nc,cold feet,word_by_word,0.9989423594128009,0.9590007352327411,0.9973959590278607
Qwen3-4B-Base,idiomatic_nc,cold feet,random,0.9941832815851424,0.7736123671343444,0.9941763631681546
Qwen3-4B-Base,idiomatic_nc,white elephant,synonym,0.9979110608472348,0.8412315583556129,0.9987645733117382
Qwen3-4B-Base,idiomatic_nc,white elephant,component,0.9945228840535588,0.7669164443836012,0.9988204329627652
Qwen3-4B-Base,idiomatic_nc,white elephant,word_by_word,0.992687530436255,0.8584940391066204,0.9954594329655316
Qwen3-4B-Base,idiomatic_nc,white elephant,random,0.9943572537868567,0.8535562211397609,0.9963881594898572
Qwen3-4B-Base,idiomatic_nc,red tape,synonym,0.9980194743231546,0.8619384654965088,0.9775856181756405
Qwen3-4B-Base,idiomatic_nc,red tape,component,0.994763199587709,0.7490623015601038,0.9983432585920519
Qwen3-4B-Base,idiomatic_nc,red tape,word_by_word,0.9938112851903413,0.8541361022214015,0.9969226552616742
Qwen3-4B-Base,idiomatic_nc,red tape,random,0.9927254490781958,0.7942179580732855,0.9961198942944282
Qwen3-4B-Base,idiomatic_nc,dark horse,synonym,0.9955837326671696,0.8939399359358078,0.9991032725890177
Qwen3-4B-Base,idiomatic_nc,dark horse,component,0.9812280767122779,0.5972843391498524,0.9981196528193527
Qwen3-4B-Base,idiomatic_nc,dark horse,word_by_word,0.9895855565936578,0.9014407627873592,0.9981260354642439
Qwen3-4B-Base,idiomatic_nc,dark horse,random,0.9837467529928879,0.7059525292180434,0.9982400955460066
Qwen3-4B-Base,idiomatic_nc,black sheep,synonym,0.9970400238004022,0.8066928928362078,0.9991571818445062
Qwen3-4B-Base,idiomatic_nc,black sheep,component,0.9964625289001092,0.7814113640174495,0.9987120012640556
Qwen3-4B-Base,idiomatic_nc,black sheep,word_by_word,0.9970524911376449,0.8704454264076258,0.9991004333650616
Qwen3-4B-Base,idiomatic_nc,black sheep,random,0.9941199715143115,0.7293628988018563,0.9946010245324542
Qwen3-4B-Base,idiomatic_nc,silver lining,synonym,0.997434911829044,0.8744568850392943,0.997841990002965
Qwen3-4B-Base,idiomatic_nc,silver lining,component,0.9957147045965099,0.8227316073130331,0.9980184108084342
Qwen3-4B-Base,idiomatic_nc,silver lining,word_by_word,0.9962814586688326,0.8346322685995181,0.9966350357679035
Qwen3-4B-Base,idiomatic_nc,silver lining,random,0.9927518030962762,0.7920734776972879,0.996158350911382
Qwen3-4B-Base,idiomatic_nc,ivory tower,synonym,0.9964143672536155,0.8789863607228456,0.9974499299804522
Qwen3-4B-Base,idiomatic_nc,ivory tower,component,0.9931821590439781,0.8218491019740293,0.9944001152144936
Qwen3-4B-Base,idiomatic_nc,ivory tower,word_by_word,0.9942793738011427,0.8383938972688738,0.997025061277966
Qwen3-4B-Base,idiomatic_nc,ivory tower,random,0.9942040439176881,0.8583561146630891,0.9976847441467257
Qwen3-4B-Base,idiomatic_nc,glass ceiling,synonym,0.9959730823154638,0.890294579822822,0.9994617176678681
Qwen3-4B-Base,idiomatic_nc,glass ceiling,component,0.9934776441131427,0.8326534273119506,0.998864272267635
Qwen3-4B-Base,idiomatic_nc,glass ceiling,word_by_word,0.9922284318002063,0.8797694393278415,0.9991260486751227
Qwen3-4B-Base,idiomatic_nc,glass ceiling,random,0.9895763788910833,0.8505491888592132,0.9991706053362125
Qwen3-4B-Base,idiomatic_nc,cash cow,synonym,0.9926742219833996,0.771856646775175,0.9890422080978684
Qwen3-4B-Base,idiomatic_nc,cash cow,component,0.994290478100095,0.7131955992257031,0.9979355090557541
Qwen3-4B-Base,idiomatic_nc,cash cow,word_by_word,0.9968554459560417,0.8910006656026415,0.9989241844021279
Qwen3-4B-Base,idiomatic_nc,cash cow,random,0.9920339954966461,0.8220379092455768,0.9991254064070334
Qwen3-4B-Base,idiomatic_nc,loose cannon,synonym,0.9965837209236174,0.9190669248782417,0.9942468169738037
Qwen3-4B-Base,idiomatic_nc,loose cannon,component,0.9956491206167879,0.778761968040485,0.9976773474181042
Qwen3-4B-Base,idiomatic_nc,loose cannon,word_by_word,0.9947076080196093,0.9004810176173417,0.9976559247352944
Qwen3-4B-Base,idiomatic_nc,loose cannon,random,0.9954258157318412,0.872684345073308,0.996994655016218
Qwen3-4B-Base,idiomatic_nc,golden handshake,synonym,0.9925696663029334,0.8359820685819656,0.9906953359410828
Qwen3-4B-Base,idiomatic_nc,golden handshake,component,0.9936566929760328,0.8016275332367874,0.9987057516903733
Qwen3-4B-Base,idiomatic_nc,golden handshake,word_by_word,0.9922922994235949,0.8481154478406254,0.99631574084853
Qwen3-4B-Base,idiomatic_nc,golden handshake,random,0.9918190417417415,0.8207424513252306,0.9968956469842163
Qwen3-4B-Base,idiomatic_nc,paper tiger,synonym,0.9957457590572433,0.8805722407226039,0.9990430375766998
Qwen3-4B-Base,idiomatic_nc,paper tiger,component,0.994650593673603,0.8648713477547844,0.9989400303454493
Qwen3-4B-Base,idiomatic_nc,paper tiger,word_by_word,0.9927655497266296,0.8811222300526078,0.9987665965209571
Qwen3-4B-Base,idiomatic_nc,paper tiger,random,0.9948919272365419,0.8566782793123447,0.9991915853653041
Qwen3-4B-Base,idiomatic_nc,smoking gun,synonym,0.9963151044924003,0.8922820740395954,0.9959824290307253
Qwen3-4B-Base,idiomatic_nc,smoking gun,component,0.9950304498441763,0.78547736541852,0.9926534955950402
Qwen3-4B-Base,idiomatic_nc,smoking gun,word_by_word,0.9959414673841842,0.9092559835820867,0.9980918800223165
Qwen3-4B-Base,idiomatic_nc,smoking gun,random,0.9910420812987711,0.8366432775085642,0.9965339057060305
Qwen3-4B-Base,compositional_nc,economic aid,synonym,0.9951340417039124,0.9216408394219426,0.9995884454190411
Qwen3-4B-Base,compositional_nc,economic aid,component,0.9978583556751183,0.9207893060217682,0.9979537441442187
Qwen3-4B-Base,compositional_nc,economic aid,word_by_word,0.9913902371229936,0.9097154200978997,0.9976373101833241
Qwen3-4B-Base,compositional_nc,economic aid,random,0.9866270013288756,0.823829511987862,0.9956390011851828
Qwen3-4B-Base,compositional_nc,research lab,synonym,0.9990789664537367,0.9885793447691886,0.9996018906060894
Qwen3-4B-Base,compositional_nc,research lab,component,0.9975718601753992,0.8834208020915979,0.998333506333962
Qwen3-4B-Base,compositional_nc,research lab,word_by_word,0.9963001119050587,0.9420648946765896,0.9968996170365896
Qwen3-4B-Base,compositional_nc,research lab,random,0.9933309309667746,0.9044208201498728,0.9946628942317822
