id,language,canonical_form,modifier,head,gold_class,gold_score,score_status,slot,family,original_sentence,target_surface,span,p_syn,p_comp,p_words_syn,p_rand,source_file,source_url
EN-REF-001,EN,academy award,academy,award,C,3.52,human_type_score,S1,naturalistic,lardner shared an academy award for best original screenplay with michael kanin in 1942 for woman of the year,academy award,"[3, 5]",award,award || academy,institute prize || lyceum awarding || lyceum accolade || lycee awarding || lycee accolade,color diagram || wife sing || overall mileage || naval fighter || overcrowded cell,naturalistics_examplesent1.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-001,EN,academy award,academy,award,C,3.52,human_type_score,S2,naturalistic,academy award winner whoopi goldberg ( ghost ) stars as a sassy lounge singer forced to hide in a quiet convent .,academy award,"[0, 2]",award,award || academy,institute prize || lyceum awarding || lyceum accolade || lycee awarding || lycee accolade,color diagram || wife sing || overall mileage || naval fighter || overcrowded cell,naturalistics_examplesent2.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-001,EN,academy award,academy,award,C,3.52,human_type_score,S3,naturalistic,"bette davis , ernest hall and victor buono received academy award nominations , while norma koch took home an oscar for the costume design .",academy award,"[9, 11]",award,award || academy,institute prize || lyceum awarding || lyceum accolade || lycee awarding || lycee accolade,color diagram || wife sing || overall mileage || naval fighter || overcrowded cell,naturalistics_examplesent3.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-001,EN,academy award,academy,award,C,3.52,human_type_score,N1,neutral,This is an academy award,academy award,"[3, 5]",award,award || academy,institute prize || lyceum awarding || lyceum accolade || lycee awarding || lycee accolade,color diagram || wife sing || overall mileage || naval fighter || overcrowded cell,neutral.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-001,EN,academy award,academy,award,C,3.52,human_type_score,N2,neutral,These are academy awards,academy awards,"[2, 4]",movie awards,awards,institute prizes,color diagram || wife sing || overall mileage || naval fighter || overcrowded cell,neutral.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-002,EN,acid test,acid,test,I,1.22,human_type_score,S1,naturalistic,on the fate of the acle straight within weeks . this is seen as an acid test of the government ' s commitment to protecting our most valuable environments ( 3 ) .,acid test,"[15, 17]",crucial appraisal,test || acid,sour analysis || dose trial || dose tryout || dot trial || dot tryout,food process || design schematics || tower feature || derringer design || child passenger,naturalistics_examplesent1.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-002,EN,acid test,acid,test,I,1.22,human_type_score,S2,naturalistic,"such markers ' whilst being ungodly even , unconverted underneath . the acid test of how i am spiritually is not those externals but the character - change worked by jesus",acid test,"[12, 14]",crucial appraisal,test || acid,sour analysis || dose trial || dose tryout || dot trial || dot tryout,food process || design schematics || tower feature || derringer design || child passenger,naturalistics_examplesent2.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-002,EN,acid test,acid,test,I,1.22,human_type_score,S3,naturalistic,. they suggest a and having absorbed alcohol is concerned . wall street is kool - aid acid test life as an in the midst . with ethical problems institute author sells big new,acid test,"[17, 19]",crucial appraisal,test || acid,sour analysis || dose trial || dose tryout || dot trial || dot tryout,food process || design schematics || tower feature || derringer design || child passenger,naturalistics_examplesent3.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-002,EN,acid test,acid,test,I,1.22,human_type_score,N1,neutral,This is an acid test,acid test,"[3, 5]",crucial appraisal,test || acid,sour analysis || dose trial || dose tryout || dot trial || dot tryout,food process || design schematics || tower feature || derringer design || child passenger,neutral.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-002,EN,acid test,acid,test,I,1.22,human_type_score,N2,neutral,These are acid tests,acid tests,"[2, 4]",experiments,tests,sour analyses,food process || design schematics || tower feature || derringer design || child passenger,neutral.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-003,EN,agony aunt,agony,aunt,I,0.76,human_type_score,S1,naturalistic,"feel as if this baby is more important than they are . "" counsellor and agony aunt suzie hayman , author of the relate guide to second families ( vermilion ) ,",agony aunt,"[15, 17]",newspaper columnist,aunt || agony,anguish uncle || hurt grandaunt || hurt aunty || torture grandaunt || torture aunty,franciscan hermitage || cask ale || lovecraftian monster || holster pistol || livre practitioner,naturalistics_examplesent1.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-003,EN,agony aunt,agony,aunt,I,0.76,human_type_score,S2,naturalistic,the bottom fell out of the knob business . bob ' s probs - bob ' s agony aunt phone line went out of business because bob kept laughing at peoples problems . your,agony aunt,"[17, 19]",newspaper columnist,aunt || agony,anguish uncle || hurt grandaunt || hurt aunty || torture grandaunt || torture aunty,franciscan hermitage || cask ale || lovecraftian monster || holster pistol || livre practitioner,naturalistics_examplesent2.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-003,EN,agony aunt,agony,aunt,I,0.76,human_type_score,S3,naturalistic,challenging test . i think it must sound as if it were written to an agony aunt asking for help . ps . i have the same problems writing in my own,agony aunt,"[15, 17]",newspaper columnist,aunt || agony,anguish uncle || hurt grandaunt || hurt aunty || torture grandaunt || torture aunty,franciscan hermitage || cask ale || lovecraftian monster || holster pistol || livre practitioner,naturalistics_examplesent3.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-003,EN,agony aunt,agony,aunt,I,0.76,human_type_score,N1,neutral,This is an agony aunt,agony aunt,"[3, 5]",newspaper columnist,aunt || agony,anguish uncle || hurt grandaunt || hurt aunty || torture grandaunt || torture aunty,franciscan hermitage || cask ale || lovecraftian monster || holster pistol || livre practitioner,neutral.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-003,EN,agony aunt,agony,aunt,I,0.76,human_type_score,N2,neutral,These are agony aunts,agony aunts,"[2, 4]",advice journalists,aunts,anguish uncles,franciscan hermitage || cask ale || lovecraftian monster || holster pistol || livre practitioner,neutral.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-004,EN,ancient history,ancient,history,PC,1.95,human_type_score,S1,naturalistic,things that happened almost a year ago is ancient history .,ancient history,"[8, 10]",history,history || ancient,past antiquity || past past || past yesteryear || old past || old yesteryear,best identification || common administration || historic period || social expectation || average visitor,naturalistics_examplesent1.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-004,EN,ancient history,ancient,history,PC,1.95,human_type_score,S2,naturalistic,the days of triple - digit growth now seem like ancient history .,ancient history,"[10, 12]",history,history || ancient,past antiquity || past past || past yesteryear || old past || old yesteryear,best identification || common administration || historic period || social expectation || average visitor,naturalistics_examplesent2.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
EN-REF-004,EN,ancient history,ancient,history,PC,1.95,human_type_score,S3,naturalistic,"so be brave , be ready to change your views or be ancient history .",ancient history,"[12, 14]",history,history || ancient,past antiquity || past past || past yesteryear || old past || old yesteryear,best identification || common administration || historic period || social expectation || average visitor,naturalistics_examplesent3.csv,https://github.com/risehnhew/Finding-Idiomaticity-in-Word-Representations
