model,group,case,variant,sentence_sim,contextual_span_sim,isolated_phrase_sim
Gemma3-4B-pt,idiomatic_nc,grey matter,synonym,0.9786013064150116,0.7666341336187326,0.6488254742767796
Gemma3-4B-pt,idiomatic_nc,grey matter,component,0.9291974001111266,0.6941207210906085,0.6878685113511308
Gemma3-4B-pt,idiomatic_nc,grey matter,word_by_word,0.9465931079893792,0.7893306165325803,0.7357333807837985
Gemma3-4B-pt,idiomatic_nc,grey matter,random,0.9100781180729552,0.7033691710885845,0.6664840283299879
Gemma3-4B-pt,idiomatic_nc,eager beaver,synonym,0.9749829061475519,0.8234364051828004,0.7111411827249566
Gemma3-4B-pt,idiomatic_nc,eager beaver,component,0.973542098679946,0.7824877535262351,0.6663557036147073
Gemma3-4B-pt,idiomatic_nc,eager beaver,word_by_word,0.9667853964470069,0.8506627641628561,0.6994326042017173
Gemma3-4B-pt,idiomatic_nc,eager beaver,random,0.9428271475664906,0.6875182205257429,0.6315621007046879
Gemma3-4B-pt,idiomatic_nc,couch potato,synonym,0.9595267969316138,0.7899030141669249,0.6788256609221175
Gemma3-4B-pt,idiomatic_nc,couch potato,component,0.946336072494212,0.6724310048191005,0.7004783268027793
Gemma3-4B-pt,idiomatic_nc,couch potato,word_by_word,0.9733659672867716,0.8835143566075817,0.6963615228634967
Gemma3-4B-pt,idiomatic_nc,couch potato,random,0.9051952532781258,0.5845337451132842,0.6611550000019113
Gemma3-4B-pt,idiomatic_nc,cold feet,synonym,0.9905754907709333,0.8331699743243659,0.713858714943998
Gemma3-4B-pt,idiomatic_nc,cold feet,component,0.9855677154462562,0.6686907738919579,0.7519377626049953
Gemma3-4B-pt,idiomatic_nc,cold feet,word_by_word,0.9958516074632157,0.9481194585000314,0.8083295268465721
Gemma3-4B-pt,idiomatic_nc,cold feet,random,0.9667956165922792,0.6744872748217382,0.7140341575074407
Gemma3-4B-pt,idiomatic_nc,white elephant,synonym,0.9831373487170835,0.753472556736143,0.7240358100360514
Gemma3-4B-pt,idiomatic_nc,white elephant,component,0.9699146577709811,0.6011016239275089,0.7919430678640744
Gemma3-4B-pt,idiomatic_nc,white elephant,word_by_word,0.967132966305013,0.7674272094510705,0.7197156966733699
Gemma3-4B-pt,idiomatic_nc,white elephant,random,0.9573655729816037,0.746956397634999,0.7523000053185425
Gemma3-4B-pt,idiomatic_nc,red tape,synonym,0.9883813308756076,0.7988478415559357,0.6710865667626134
Gemma3-4B-pt,idiomatic_nc,red tape,component,0.9632623506287987,0.6284940027629935,0.7017693130281621
Gemma3-4B-pt,idiomatic_nc,red tape,word_by_word,0.9594437305656986,0.7966867191369292,0.762539396519415
Gemma3-4B-pt,idiomatic_nc,red tape,random,0.9464229376495356,0.6434941440665805,0.7324243130270782
Gemma3-4B-pt,idiomatic_nc,dark horse,synonym,0.9749484240908232,0.7737659459773267,0.7732206468223839
Gemma3-4B-pt,idiomatic_nc,dark horse,component,0.9311447695155368,0.6095349995991595,0.7291509710056432
Gemma3-4B-pt,idiomatic_nc,dark horse,word_by_word,0.9333745821758299,0.7287972498719479,0.7816804199042163
Gemma3-4B-pt,idiomatic_nc,dark horse,random,0.8973000357714537,0.6196225671553969,0.5413087980893673
Gemma3-4B-pt,idiomatic_nc,black sheep,synonym,0.985599741215677,0.8589569541190999,0.7254013234276305
Gemma3-4B-pt,idiomatic_nc,black sheep,component,0.9709339562147099,0.7325638326587228,0.7999016212499109
Gemma3-4B-pt,idiomatic_nc,black sheep,word_by_word,0.9740001168358399,0.8327540520438994,0.7818585583374202
Gemma3-4B-pt,idiomatic_nc,black sheep,random,0.9498148961792074,0.6927817321172998,0.7034844847903998
Gemma3-4B-pt,idiomatic_nc,silver lining,synonym,0.9832954053259928,0.8307338091768204,0.7332966580195617
Gemma3-4B-pt,idiomatic_nc,silver lining,component,0.9886809467808393,0.8305311981197936,0.7704823020805991
Gemma3-4B-pt,idiomatic_nc,silver lining,word_by_word,0.9793100313200365,0.7763359717359659,0.7883956404592215
Gemma3-4B-pt,idiomatic_nc,silver lining,random,0.9313742635035867,0.6419861039416582,0.6960373468861997
Gemma3-4B-pt,idiomatic_nc,ivory tower,synonym,0.9654518997537549,0.7826985485501902,0.7159659824705379
Gemma3-4B-pt,idiomatic_nc,ivory tower,component,0.9416035646389947,0.7217409789346944,0.6446890449080462
Gemma3-4B-pt,idiomatic_nc,ivory tower,word_by_word,0.9506026404264456,0.6762152062261495,0.6893204849926939
Gemma3-4B-pt,idiomatic_nc,ivory tower,random,0.9467771270792389,0.7579106610308625,0.6993723936137729
Gemma3-4B-pt,idiomatic_nc,glass ceiling,synonym,0.9783477914708508,0.8307197261135217,0.8188289549869852
Gemma3-4B-pt,idiomatic_nc,glass ceiling,component,0.959397198353432,0.7659521858034786,0.7515325488273383
Gemma3-4B-pt,idiomatic_nc,glass ceiling,word_by_word,0.9398223502554909,0.7976857980344866,0.8085949594770727
Gemma3-4B-pt,idiomatic_nc,glass ceiling,random,0.9053438975332178,0.7258846393495088,0.7664655848513356
Gemma3-4B-pt,idiomatic_nc,cash cow,synonym,0.9705320290786008,0.7179884495806473,0.6815767517421484
Gemma3-4B-pt,idiomatic_nc,cash cow,component,0.9448255175806665,0.5614520820659976,0.6446015090094789
Gemma3-4B-pt,idiomatic_nc,cash cow,word_by_word,0.978405613782908,0.84378603702397,0.8169867207058451
Gemma3-4B-pt,idiomatic_nc,cash cow,random,0.9257208027360256,0.7003420205858182,0.7352584048057689
Gemma3-4B-pt,idiomatic_nc,loose cannon,synonym,0.9594982479729369,0.8360366732873283,0.7315989156154803
Gemma3-4B-pt,idiomatic_nc,loose cannon,component,0.9695831015339608,0.6904754405272143,0.7250496721214846
Gemma3-4B-pt,idiomatic_nc,loose cannon,word_by_word,0.9604446677756182,0.8322871019592498,0.7230603257900977
Gemma3-4B-pt,idiomatic_nc,loose cannon,random,0.950256342987739,0.7429147953233927,0.6706897553538946
Gemma3-4B-pt,idiomatic_nc,golden handshake,synonym,0.9454671706448301,0.7815880049806875,0.7282357237768288
Gemma3-4B-pt,idiomatic_nc,golden handshake,component,0.9585023018778088,0.7685582764049784,0.7024430853667132
Gemma3-4B-pt,idiomatic_nc,golden handshake,word_by_word,0.9540422187708972,0.7775772954628315,0.6941936988777686
Gemma3-4B-pt,idiomatic_nc,golden handshake,random,0.931942252577523,0.697612518166775,0.7268171629154249
Gemma3-4B-pt,idiomatic_nc,paper tiger,synonym,0.9616653961905544,0.7891386071765044,0.6760433593034061
Gemma3-4B-pt,idiomatic_nc,paper tiger,component,0.9563139937150029,0.7441215968901598,0.7083569930361447
Gemma3-4B-pt,idiomatic_nc,paper tiger,word_by_word,0.9574620201808152,0.7752063898622781,0.6499335233666643
Gemma3-4B-pt,idiomatic_nc,paper tiger,random,0.9473357299369485,0.7053851150779394,0.7305433293649852
Gemma3-4B-pt,idiomatic_nc,smoking gun,synonym,0.9683875445848944,0.8173200272856028,0.6811982076314409
Gemma3-4B-pt,idiomatic_nc,smoking gun,component,0.9514312599371466,0.6015279422859056,0.6123143386626674
Gemma3-4B-pt,idiomatic_nc,smoking gun,word_by_word,0.9561403789256542,0.8105694632344956,0.8542925578610302
Gemma3-4B-pt,idiomatic_nc,smoking gun,random,0.9253386991731959,0.7129871777839931,0.719648721790678
Gemma3-4B-pt,compositional_nc,economic aid,synonym,0.9706671032680693,0.8852300478425371,0.8445006408432646
Gemma3-4B-pt,compositional_nc,economic aid,component,0.9866011181317166,0.8435311282019671,0.6647067802303881
Gemma3-4B-pt,compositional_nc,economic aid,word_by_word,0.9742371613690294,0.8657052687056317,0.8036216779061635
Gemma3-4B-pt,compositional_nc,economic aid,random,0.9046215358029724,0.6728211788291513,0.6367556911035451
Gemma3-4B-pt,compositional_nc,research lab,synonym,0.9910483094073436,0.971684282237164,0.9599107061574287
Gemma3-4B-pt,compositional_nc,research lab,component,0.9895421519317152,0.8493881283643188,0.6575701079663336
Gemma3-4B-pt,compositional_nc,research lab,word_by_word,0.9547657031363553,0.8724978797322323,0.7930294420666811
Gemma3-4B-pt,compositional_nc,research lab,random,0.9148388342654046,0.7482832877037948,0.6970825068809334
Gemma3-4B-pt,compositional_nc,climate policy,synonym,0.9886269420618042,0.8966157195925567,0.853293352098352
Gemma3-4B-pt,compositional_nc,climate policy,component,0.9757362547276903,0.7666470603401687,0.7331430446908405
Gemma3-4B-pt,compositional_nc,climate policy,word_by_word,0.9604727915188556,0.7323990186759458,0.7561054951384538
Gemma3-4B-pt,compositional_nc,climate policy,random,0.947886594745218,0.5847900151850149,0.6203033123729954
Gemma3-4B-pt,compositional_nc,medical school,synonym,0.9639238555232627,0.9631904872495769,0.9481256506576984
Gemma3-4B-pt,compositional_nc,medical school,component,0.9632285414557745,0.8174124611843896,0.7532338465239837
Gemma3-4B-pt,compositional_nc,medical school,word_by_word,0.9649520910846048,0.8156553507821692,0.8276377821441785
Gemma3-4B-pt,compositional_nc,medical school,random,0.9072383016879229,0.6325097459865963,0.6587014035931346
