group,case,variant,target,replacement,sentence_sim,contextual_span_sim,isolated_phrase_sim,changed_sentence
idiomatic_nc,grey matter,synonym,grey matter,brain,0.9778674840927124,0.7899659872055054,0.8514964580535889,These youngsters use their brain when the presentation is right.
idiomatic_nc,grey matter,component,grey matter,matter,0.9678497314453125,0.8544479608535767,0.9207090139389038,These youngsters use their matter when the presentation is right.
idiomatic_nc,grey matter,word_by_word,grey matter,silvery material,0.9862194657325745,0.8930928111076355,0.8977534174919128,These youngsters use their silvery material when the presentation is right.
idiomatic_nc,grey matter,random,grey matter,battlefront serviceman,0.9495513439178467,0.7838921546936035,0.8150076270103455,These youngsters use their battlefront serviceman when the presentation is right.
idiomatic_nc,eager beaver,synonym,eager beaver,hard worker,0.9626035690307617,0.793914258480072,0.8446952104568481,Eric stayed a real hard worker during the audit.
idiomatic_nc,eager beaver,component,eager beaver,beaver,0.9907523989677429,0.9406166076660156,0.9297090172767639,Eric stayed a real beaver during the audit.
idiomatic_nc,eager beaver,word_by_word,eager beaver,restless rodent,0.9769002199172974,0.8631032109260559,0.8732114434242249,Eric stayed a real restless rodent during the audit.
idiomatic_nc,eager beaver,random,eager beaver,petrol station,0.9563219547271729,0.7650483846664429,0.8105238676071167,Eric stayed a real petrol station during the audit.
idiomatic_nc,couch potato,synonym,couch potato,lazy person,0.9481483697891235,0.783808708190918,0.8198250532150269,Nina became a lazy person after the exams.
idiomatic_nc,couch potato,component,couch potato,potato,0.9888477325439453,0.9330467581748962,0.9242300987243652,Nina became a potato after the exams.
idiomatic_nc,couch potato,word_by_word,couch potato,sofa tuber,0.9736580848693848,0.8646414279937744,0.8633520603179932,Nina became a sofa tuber after the exams.
idiomatic_nc,couch potato,random,couch potato,railway signal,0.9243276715278625,0.7321168184280396,0.8046064376831055,Nina became a railway signal after the exams.
idiomatic_nc,cold feet,synonym,cold feet,nervousness,0.9819543361663818,0.8135977983474731,0.8304911255836487,The sudden audit gave the manager nervousness before the launch.
idiomatic_nc,cold feet,component,cold feet,feet,0.9921985268592834,0.889467179775238,0.8689441680908203,The sudden audit gave the manager feet before the launch.
idiomatic_nc,cold feet,word_by_word,cold feet,chilly legs,0.9847617149353027,0.882400393486023,0.8999576568603516,The sudden audit gave the manager chilly legs before the launch.
idiomatic_nc,cold feet,random,cold feet,garden invoice,0.9710716009140015,0.7593415975570679,0.8109990954399109,The sudden audit gave the manager garden invoice before the launch.
idiomatic_nc,white elephant,synonym,white elephant,burden,0.9518945217132568,0.794258713722229,0.7861166596412659,The abandoned stadium became a burden for the city.
idiomatic_nc,white elephant,component,white elephant,elephant,0.9905621409416199,0.9641717076301575,0.9357857704162598,The abandoned stadium became a elephant for the city.
idiomatic_nc,white elephant,word_by_word,white elephant,pale animal,0.9789983630180359,0.8808448910713196,0.827975332736969,The abandoned stadium became a pale animal for the city.
idiomatic_nc,white elephant,random,white elephant,kitchen policy,0.9563865661621094,0.7816717624664307,0.7434769868850708,The abandoned stadium became a kitchen policy for the city.
