group,case,variant,target,replacement,sentence_sim,contextual_span_sim,isolated_phrase_sim,changed_sentence
idiomatic_nc,grey matter,synonym,grey matter,brain,0.7943269610404968,0.2633971571922302,0.2633971571922302,These youngsters use their brain when the presentation is right.
idiomatic_nc,grey matter,component,grey matter,matter,0.89521324634552,0.5487267971038818,0.5487267971038818,These youngsters use their matter when the presentation is right.
idiomatic_nc,grey matter,word_by_word,grey matter,silvery material,0.847402036190033,0.5954694151878357,0.5954694151878357,These youngsters use their silvery material when the presentation is right.
idiomatic_nc,grey matter,random,grey matter,battlefront serviceman,0.7539421319961548,0.15504702925682068,0.15504702925682068,These youngsters use their battlefront serviceman when the presentation is right.
idiomatic_nc,eager beaver,synonym,eager beaver,hard worker,0.860613226890564,0.3528120517730713,0.3528120517730713,Eric stayed a real hard worker during the audit.
idiomatic_nc,eager beaver,component,eager beaver,beaver,0.9471555352210999,0.7763929963111877,0.7763929963111877,Eric stayed a real beaver during the audit.
idiomatic_nc,eager beaver,word_by_word,eager beaver,restless rodent,0.8864530324935913,0.40682849287986755,0.40682849287986755,Eric stayed a real restless rodent during the audit.
idiomatic_nc,eager beaver,random,eager beaver,petrol station,0.7938449382781982,0.2175748497247696,0.2175748497247696,Eric stayed a real petrol station during the audit.
idiomatic_nc,couch potato,synonym,couch potato,lazy person,0.7663518190383911,0.2635653018951416,0.2635653018951416,Nina became a lazy person after the exams.
idiomatic_nc,couch potato,component,couch potato,potato,0.9328203201293945,0.810091495513916,0.810091495513916,Nina became a potato after the exams.
idiomatic_nc,couch potato,word_by_word,couch potato,sofa tuber,0.8894719481468201,0.627135157585144,0.627135157585144,Nina became a sofa tuber after the exams.
idiomatic_nc,couch potato,random,couch potato,railway signal,0.6981021165847778,0.14599832892417908,0.14599832892417908,Nina became a railway signal after the exams.
idiomatic_nc,cold feet,synonym,cold feet,nervousness,0.8002975583076477,0.3499815762042999,0.3499815762042999,The sudden audit gave the manager nervousness before the launch.
idiomatic_nc,cold feet,component,cold feet,feet,0.9159163236618042,0.7658362984657288,0.7658362984657288,The sudden audit gave the manager feet before the launch.
idiomatic_nc,cold feet,word_by_word,cold feet,chilly legs,0.9010700583457947,0.6684649586677551,0.6684649586677551,The sudden audit gave the manager chilly legs before the launch.
idiomatic_nc,cold feet,random,cold feet,garden invoice,0.7417951226234436,0.1841263473033905,0.1841263473033905,The sudden audit gave the manager garden invoice before the launch.
idiomatic_nc,white elephant,synonym,white elephant,burden,0.7057104110717773,0.13638663291931152,0.13638663291931152,The abandoned stadium became a burden for the city.
idiomatic_nc,white elephant,component,white elephant,elephant,0.9127402305603027,0.8224281072616577,0.8224281072616577,The abandoned stadium became a elephant for the city.
idiomatic_nc,white elephant,word_by_word,white elephant,pale animal,0.7877333164215088,0.5164105892181396,0.5164105892181396,The abandoned stadium became a pale animal for the city.
idiomatic_nc,white elephant,random,white elephant,kitchen policy,0.5776941180229187,0.025750301778316498,0.025750301778316498,The abandoned stadium became a kitchen policy for the city.
idiomatic_nc,red tape,synonym,red tape,bureaucracy,0.8052374720573425,0.19728855788707733,0.19728855788707733,The permit was delayed by bureaucracy at the ministry.
idiomatic_nc,red tape,component,red tape,tape,0.8928773403167725,0.6898747086524963,0.6898747086524963,The permit was delayed by tape at the ministry.
idiomatic_nc,red tape,word_by_word,red tape,crimson ribbon,0.8511221408843994,0.6263130903244019,0.6263130903244019,The permit was delayed by crimson ribbon at the ministry.
idiomatic_nc,red tape,random,red tape,ocean doorway,0.6777123808860779,0.15155082941055298,0.15155082941055298,The permit was delayed by ocean doorway at the ministry.
idiomatic_nc,dark horse,synonym,dark horse,unexpected contender,0.7022373676300049,0.18674364686012268,0.18674364686012268,A unexpected contender won the final round of the tournament.
idiomatic_nc,dark horse,component,dark horse,horse,0.9047613143920898,0.7755700945854187,0.7755700945854187,A horse won the final round of the tournament.
idiomatic_nc,dark horse,word_by_word,dark horse,shadowy animal,0.7943435311317444,0.581845760345459,0.581845760345459,A shadowy animal won the final round of the tournament.
idiomatic_nc,dark horse,random,dark horse,library candle,0.6032019853591919,0.24366596341133118,0.24366596341133118,A library candle won the final round of the tournament.
idiomatic_nc,black sheep,synonym,black sheep,outcast,0.8225119709968567,0.1703818142414093,0.1703818142414093,After the scandal Omar was the outcast of the board.
idiomatic_nc,black sheep,component,black sheep,sheep,0.9021226167678833,0.7732805013656616,0.7732805013656616,After the scandal Omar was the sheep of the board.
idiomatic_nc,black sheep,word_by_word,black sheep,dark animal,0.9020888209342957,0.6334710121154785,0.6334710121154785,After the scandal Omar was the dark animal of the board.
idiomatic_nc,black sheep,random,black sheep,museum ticket,0.6483907103538513,0.10969865322113037,0.10969865322113037,After the scandal Omar was the museum ticket of the board.
idiomatic_nc,silver lining,synonym,silver lining,hopeful aspect,0.8278273344039917,0.23830637335777283,0.23830637335777283,The grant rejection had a hopeful aspect for the startup.
idiomatic_nc,silver lining,component,silver lining,lining,0.956382691860199,0.6411433815956116,0.6411433815956116,The grant rejection had a lining for the startup.
idiomatic_nc,silver lining,word_by_word,silver lining,metallic edge,0.8116666078567505,0.49987345933914185,0.49987345933914185,The grant rejection had a metallic edge for the startup.
idiomatic_nc,silver lining,random,silver lining,desert violin,0.7029806971549988,0.2952965199947357,0.2952965199947357,The grant rejection had a desert violin for the startup.
idiomatic_nc,ivory tower,synonym,ivory tower,academic isolation,0.6652207970619202,0.11573705822229385,0.11573705822229385,The report criticized the academic isolation at the institute.
idiomatic_nc,ivory tower,component,ivory tower,tower,0.9578096866607666,0.7775486707687378,0.7775486707687378,The report criticized the tower at the institute.
idiomatic_nc,ivory tower,word_by_word,ivory tower,pale structure,0.7923873662948608,0.36863282322883606,0.36863282322883606,The report criticized the pale structure at the institute.
idiomatic_nc,ivory tower,random,ivory tower,market umbrella,0.6684725284576416,0.22947871685028076,0.22947871685028076,The report criticized the market umbrella at the institute.
idiomatic_nc,glass ceiling,synonym,glass ceiling,invisible barrier,0.6581055521965027,0.3462875783443451,0.3462875783443451,The promotion exposed the invisible barrier in the company.
idiomatic_nc,glass ceiling,component,glass ceiling,ceiling,0.8785786628723145,0.7732944488525391,0.7732944488525391,The promotion exposed the ceiling in the company.
idiomatic_nc,glass ceiling,word_by_word,glass ceiling,transparent roof,0.8010376691818237,0.6733108758926392,0.6733108758926392,The promotion exposed the transparent roof in the company.
idiomatic_nc,glass ceiling,random,glass ceiling,forest melody,0.5009690523147583,0.17447350919246674,0.17447350919246674,The promotion exposed the forest melody in the company.
idiomatic_nc,cash cow,synonym,cash cow,moneymaker,0.8058695197105408,0.5539370179176331,0.5539370179176331,The old product became a moneymaker for the firm.
idiomatic_nc,cash cow,component,cash cow,cow,0.920218288898468,0.7755383849143982,0.7755383849143982,The old product became a cow for the firm.
idiomatic_nc,cash cow,word_by_word,cash cow,money animal,0.8138286471366882,0.6189085841178894,0.6189085841178894,The old product became a money animal for the firm.
idiomatic_nc,cash cow,random,cash cow,airport blanket,0.5878962874412537,0.26042836904525757,0.26042836904525757,The old product became a airport blanket for the firm.
idiomatic_nc,loose cannon,synonym,loose cannon,unpredictable person,0.7865923643112183,0.32228848338127136,0.32228848338127136,The spokesman was a unpredictable person during the debate.
idiomatic_nc,loose cannon,component,loose cannon,cannon,0.9770126342773438,0.8604745268821716,0.8604745268821716,The spokesman was a cannon during the debate.
idiomatic_nc,loose cannon,word_by_word,loose cannon,unstable weapon,0.8335601091384888,0.5334213972091675,0.5334213972091675,The spokesman was a unstable weapon during the debate.
idiomatic_nc,loose cannon,random,loose cannon,velvet engine,0.7980683445930481,0.3615698218345642,0.3615698218345642,The spokesman was a velvet engine during the debate.
idiomatic_nc,golden handshake,synonym,golden handshake,severance payment,0.7365821599960327,0.1276024580001831,0.1276024580001831,The manager received a severance payment after the merger.
idiomatic_nc,golden handshake,component,golden handshake,handshake,0.8855876326560974,0.6897584199905396,0.6897584199905396,The manager received a handshake after the merger.
idiomatic_nc,golden handshake,word_by_word,golden handshake,valuable greeting,0.768250048160553,0.3162369728088379,0.3162369728088379,The manager received a valuable greeting after the merger.
idiomatic_nc,golden handshake,random,golden handshake,mountain pillow,0.6615534424781799,0.231678768992424,0.231678768992424,The manager received a mountain pillow after the merger.
idiomatic_nc,paper tiger,synonym,paper tiger,weak threat,0.7506824135780334,0.20601515471935272,0.20601515471935272,The threat was a weak threat in the negotiations.
idiomatic_nc,paper tiger,component,paper tiger,tiger,0.9105526804924011,0.7390990257263184,0.7390990257263184,The threat was a tiger in the negotiations.
idiomatic_nc,paper tiger,word_by_word,paper tiger,document animal,0.8605167269706726,0.5583450794219971,0.5583450794219971,The threat was a document animal in the negotiations.
idiomatic_nc,paper tiger,random,paper tiger,river button,0.6355233788490295,0.18059706687927246,0.18059706687927246,The threat was a river button in the negotiations.
idiomatic_nc,smoking gun,synonym,smoking gun,decisive evidence,0.713933527469635,0.1693369448184967,0.1693369448184967,The email became the decisive evidence in the investigation.
idiomatic_nc,smoking gun,component,smoking gun,gun,0.9059164524078369,0.7449976205825806,0.7449976205825806,The email became the gun in the investigation.
idiomatic_nc,smoking gun,word_by_word,smoking gun,burning weapon,0.8586752414703369,0.6569245457649231,0.6569245457649231,The email became the burning weapon in the investigation.
idiomatic_nc,smoking gun,random,smoking gun,kitchen horizon,0.6725527048110962,0.18634529411792755,0.18634529411792755,The email became the kitchen horizon in the investigation.
compositional_nc,economic aid,synonym,economic aid,financial assistance,0.8762770891189575,0.6837964653968811,0.6837964653968811,The committee approved financial assistance for the region after the storm.
compositional_nc,economic aid,component,economic aid,aid,0.9079041481018066,0.7152019739151001,0.7152019739151001,The committee approved aid for the region after the storm.
compositional_nc,economic aid,word_by_word,economic aid,budgetary assistance,0.8805440664291382,0.722678542137146,0.722678542137146,The committee approved budgetary assistance for the region after the storm.
compositional_nc,economic aid,random,economic aid,kitchen table,0.7124093770980835,0.1226361095905304,0.1226361095905304,The committee approved kitchen table for the region after the storm.
compositional_nc,research lab,synonym,research lab,research facility,0.9564644694328308,0.8074634671211243,0.8074634671211243,The students joined a research facility during the summer program.
compositional_nc,research lab,component,research lab,lab,0.9606751203536987,0.49515479803085327,0.49515479803085327,The students joined a lab during the summer program.
compositional_nc,research lab,word_by_word,research lab,investigation workplace,0.9296104907989502,0.7146071195602417,0.7146071195602417,The students joined a investigation workplace during the summer program.
compositional_nc,research lab,random,research lab,garden party,0.7246484756469727,0.2067231833934784,0.2067231833934784,The students joined a garden party during the summer program.
compositional_nc,climate policy,synonym,climate policy,environmental policy,0.9019767642021179,0.7628304958343506,0.7628304958343506,The council debated environmental policy during the evening session.
compositional_nc,climate policy,component,climate policy,policy,0.896144449710846,0.6462321281433105,0.6462321281433105,The council debated policy during the evening session.
compositional_nc,climate policy,word_by_word,climate policy,weather guideline,0.8629730343818665,0.5451529622077942,0.5451529622077942,The council debated weather guideline during the evening session.
compositional_nc,climate policy,random,climate policy,garden spoon,0.6983832120895386,0.07395445555448532,0.07395445555448532,The council debated garden spoon during the evening session.
compositional_nc,medical school,synonym,medical school,medical college,0.9592496752738953,0.8789577484130859,0.8789577484130859,Her brother entered medical college after years of preparation.
compositional_nc,medical school,component,medical school,school,0.8865127563476562,0.6888588666915894,0.6888588666915894,Her brother entered school after years of preparation.
compositional_nc,medical school,word_by_word,medical school,clinical academy,0.9272148013114929,0.8158624768257141,0.8158624768257141,Her brother entered clinical academy after years of preparation.
compositional_nc,medical school,random,medical school,ocean mirror,0.6475401520729065,0.16593897342681885,0.16593897342681885,Her brother entered ocean mirror after years of preparation.
compositional_nc,mountain village,synonym,mountain village,alpine settlement,0.8427191972732544,0.6074389815330505,0.6074389815330505,The travelers reached a alpine settlement before sunset.
compositional_nc,mountain village,component,mountain village,village,0.8973771333694458,0.7788794040679932,0.7788794040679932,The travelers reached a village before sunset.
compositional_nc,mountain village,word_by_word,mountain village,hill hamlet,0.822711169719696,0.5454133152961731,0.5454133152961731,The travelers reached a hill hamlet before sunset.
compositional_nc,mountain village,random,mountain village,plastic thunder,0.600799024105072,0.13409262895584106,0.13409262895584106,The travelers reached a plastic thunder before sunset.
compositional_nc,solar panel,synonym,solar panel,photovoltaic module,0.830303966999054,0.5779803991317749,0.5779803991317749,The engineer installed a photovoltaic module on the roof.
compositional_nc,solar panel,component,solar panel,panel,0.8448089361190796,0.6421113014221191,0.6421113014221191,The engineer installed a panel on the roof.
compositional_nc,solar panel,word_by_word,solar panel,sun powered plate,0.9688064455986023,0.883293092250824,0.883293092250824,The engineer installed a sun powered plate on the roof.
compositional_nc,solar panel,random,solar panel,velvet sandwich,0.675154983997345,0.2398359626531601,0.2398359626531601,The engineer installed a velvet sandwich on the roof.
compositional_nc,election result,synonym,election result,vote outcome,0.9368491172790527,0.8608843684196472,0.8608843684196472,The newspaper published the vote outcome at midnight.
compositional_nc,election result,component,election result,result,0.8649398684501648,0.726836621761322,0.726836621761322,The newspaper published the result at midnight.
compositional_nc,election result,word_by_word,election result,ballot outcome,0.9541000127792358,0.9028885960578918,0.9028885960578918,The newspaper published the ballot outcome at midnight.
compositional_nc,election result,random,election result,kitchen river,0.5914623737335205,0.09302546083927155,0.09302546083927155,The newspaper published the kitchen river at midnight.
compositional_nc,airport security,synonym,airport security,aviation security,0.9117255806922913,0.8162628412246704,0.8162628412246704,The staff improved aviation security before the summit.
compositional_nc,airport security,component,airport security,security,0.8622938990592957,0.6723082065582275,0.6723082065582275,The staff improved security before the summit.
compositional_nc,airport security,word_by_word,airport security,terminal safety,0.8788321018218994,0.662296712398529,0.662296712398529,The staff improved terminal safety before the summit.
compositional_nc,airport security,random,airport security,forest melody,0.5479113459587097,0.15645882487297058,0.15645882487297058,The staff improved forest melody before the summit.
compositional_nc,language teacher,synonym,language teacher,language instructor,0.9750702381134033,0.9362794160842896,0.9362794160842896,The language instructor corrected the essays carefully.
compositional_nc,language teacher,component,language teacher,teacher,0.9055997133255005,0.8056064248085022,0.8056064248085022,The teacher corrected the essays carefully.
compositional_nc,language teacher,word_by_word,language teacher,linguistic educator,0.9305506348609924,0.855774462223053,0.855774462223053,The linguistic educator corrected the essays carefully.
compositional_nc,language teacher,random,language teacher,silver engine,0.5681846737861633,0.1485469937324524,0.1485469937324524,The silver engine corrected the essays carefully.
compositional_nc,water bottle,synonym,water bottle,drinking container,0.7857841849327087,0.6516931056976318,0.6516931056976318,She packed a drinking container for the hike.
compositional_nc,water bottle,component,water bottle,bottle,0.9128268361091614,0.8426095247268677,0.8426095247268677,She packed a bottle for the hike.
compositional_nc,water bottle,word_by_word,water bottle,liquid vessel,0.7840249538421631,0.6808102130889893,0.6808102130889893,She packed a liquid vessel for the hike.
compositional_nc,water bottle,random,water bottle,museum thunder,0.4888264238834381,0.1693718284368515,0.1693718284368515,She packed a museum thunder for the hike.
compositional_nc,history book,synonym,history book,historical volume,0.9412528276443481,0.724483847618103,0.724483847618103,The student borrowed a historical volume from the library.
compositional_nc,history book,component,history book,book,0.8758219480514526,0.6630613207817078,0.6630613207817078,The student borrowed a book from the library.
compositional_nc,history book,word_by_word,history book,past chronicle,0.932414174079895,0.7009878754615784,0.7009878754615784,The student borrowed a past chronicle from the library.
compositional_nc,history book,random,history book,desert umbrella,0.6404774785041809,0.11314181983470917,0.11314181983470917,The student borrowed a desert umbrella from the library.
compositional_nc,river bridge,synonym,river bridge,waterway crossing,0.825330913066864,0.5032602548599243,0.5032602548599243,The workers repaired the waterway crossing after the flood.
compositional_nc,river bridge,component,river bridge,bridge,0.9644864201545715,0.8342979550361633,0.8342979550361633,The workers repaired the bridge after the flood.
compositional_nc,river bridge,word_by_word,river bridge,stream viaduct,0.859164297580719,0.5482859015464783,0.5482859015464783,The workers repaired the stream viaduct after the flood.
compositional_nc,river bridge,random,river bridge,lemon window,0.6494476199150085,0.2153370976448059,0.2153370976448059,The workers repaired the lemon window after the flood.
compositional_nc,hospital room,synonym,hospital room,medical chamber,0.940621554851532,0.7996512055397034,0.7996512055397034,The nurse cleaned the medical chamber before noon.
compositional_nc,hospital room,component,hospital room,room,0.9621091485023499,0.7026766538619995,0.7026766538619995,The nurse cleaned the room before noon.
compositional_nc,hospital room,word_by_word,hospital room,clinic space,0.9222009181976318,0.758730411529541,0.758730411529541,The nurse cleaned the clinic space before noon.
