item_id,language,group,source_mwe_id,name,original,target,synonym,component,word_by_word,related,random,sentence_origin,source_name,source_url,license,license_review_status,semantic_review_status,grammar_review_status,frequency_match_status,review_status,primary_level,notes
TR-CTRL-001,TR,idiomatic_nc,TR-NC-001,acı reçete,Uzmanlar açıklanan programı acı reçete olarak niteledi.,acı reçete,sert önlem paketi,reçete,acı ilaç tarifi,kemer sıkma programı,kahve fincanı,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-002,TR,idiomatic_nc,TR-NC-002,açık çek,Kurul bu kararı açık çek olarak görmedi.,açık çek,sınırsız yetki,çek,doldurulmamış çek,geniş hareket alanı,okul bahçesi,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-003,TR,idiomatic_nc,TR-NC-003,ağır top,Aday listesinde ağır top yer aldı.,ağır top,etkili isim,top,ağır nesne,parti yöneticisi,su şişesi,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-004,TR,idiomatic_nc,TR-NC-004,akıl küpü,Sınıfın akıl küpü soruyu hemen çözdü.,akıl küpü,çok zeki kişi,küp,bilgi dolu kap,başarılı öğrenci,duvar saati,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-005,TR,idiomatic_nc,TR-NC-005,altın bilezik,Ustalık onun için altın bilezik sayılır.,altın bilezik,geçerli meslek,bilezik,değerli takı,iş becerisi,tren istasyonu,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-006,TR,idiomatic_nc,TR-NC-006,arka bahçe,Bu bölge şirketin arka bahçe olarak gördüğü bir pazardı.,arka bahçe,denetim alanı,bahçe,arka taraftaki bahçe,etki bölgesi,telefon numarası,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-007,TR,idiomatic_nc,TR-NC-007,arka kapı,Sorunu çözmek için arka kapı aradılar.,arka kapı,gayriresmî yol,kapı,arka giriş,gizli bağlantı,elektrik faturası,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-008,TR,idiomatic_nc,TR-NC-008,ayak bağı,Eski borçlar proje için ayak bağı oldu.,ayak bağı,engel,bağ,ayağa bağlanan yük,mali yük,çocuk kitabı,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-009,TR,idiomatic_nc,TR-NC-009,ayak oyunu,Bu hamle açıkça ayak oyunu sayıldı.,ayak oyunu,gizli hile,oyun,ayakla oynanan oyun,siyasi manevra,masa lambası,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-010,TR,idiomatic_nc,TR-NC-010,ateş çemberi,Kasaba kısa sürede ateş çemberi içinde kaldı.,ateş çemberi,tehlikeli kuşatma,çember,alev halkası,çatışma bölgesi,banka hesabı,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-011,TR,idiomatic_nc,TR-NC-011,baba ocağı,Onun için baba ocağı hâlâ güvenli bir yerdi.,baba ocağı,aile evi,ocak,babanın ocağı,çocukluk evi,spor salonu,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-012,TR,idiomatic_nc,TR-NC-012,balık hafızası,Sürekli unutması balık hafızası belirtisiydi.,balık hafızası,zayıf bellek,hafıza,balığın belleği,unutkanlık,güneş paneli,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-013,TR,idiomatic_nc,TR-NC-013,barut fıçısı,Bölge uzun süredir barut fıçısı sayılıyor.,barut fıçısı,patlamaya hazır ortam,fıçı,barut dolu varil,gerilim bölgesi,veri tabanı,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-014,TR,idiomatic_nc,TR-NC-014,beyaz perde,Roman yakında beyaz perde ile buluşacak.,beyaz perde,sinema,perde,beyaz ekran,film dünyası,iş planı,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-015,TR,idiomatic_nc,TR-NC-015,bit yeniği,Bu teklifte bit yeniği var.,bit yeniği,kuşkulu ayrıntı,yeniği,bit izi,gizli kusur,kredi kartı,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
TR-CTRL-016,TR,idiomatic_nc,TR-NC-016,can damarı,Ulaşım bölge ekonomisinin can damarı sayılır.,can damarı,temel unsur,damar,yaşamsal damar,ana kaynak,havaalanı terminali,authored_for_dataset,NCIMP Turkish extension - Experiment 4 control curation,,project-authored; release license pending,author_release_confirmation_required,review_required,review_required,pending_corpus_validation,review_required,contextual_span,Makale Experiment 4 tasarımına göre hazırlanmış kürasyon adayı; gold değildir.
