source_id,title,category,status,priority,url,paper_url,license_or_terms,local_snapshot,observed_size,use_for_ncimp,notes,last_checked
SRC-001,An Idiom Benchmark for Turkish / turkish-idioms,idiom_benchmark,used_and_snapshot_saved,P0,https://github.com/coltekin/turkish-idioms,https://aclanthology.org/2026.mwe-1.12/,CC BY 4.0,raw/coltekin_turkish_idioms_2026-06-23.tsv,"10969 entries; 201 sample/entailment/non-entailment rows; 198 literal rows",Candidate forms; meanings; idiomatic/literal contexts,"Paper reports 200 annotated instances and 89% verbal constructions; current repository has one additional completed row. Not directly NCIMP-equivalent.",2026-06-23
SRC-002,Tatoeba Turkish sentence export,general_sentence_corpus,used_and_snapshot_saved,P0,https://tatoeba.org/tr/downloads,https://en.www.en.wiki.tatoeba.org/articles/show/using-the-tatoeba-corpus,CC BY 2.0 FR,raw/tatoeba_tur_sentences_detailed_2026-06-20.tsv.bz2,747947 Turkish sentence rows,Naturalistic examples and surface-form search,"249 selected examples are currently used; every used sentence retains sentence URL and author.",2026-06-23
SRC-003,Türk Dil Kurumu Sözlükleri,lexicographic_resource,used_online,P0,https://sozluk.gov.tr/,,Copyright/reuse review required,,"11209 idioms and 2396 proverbs reported by site",Canonical forms; definitions; occasional literary examples,"Meanings were checked and paraphrased. Bulk API rate-limited during collection; do not rely on unattended bulk download.",2026-06-23
SRC-004,PARSEME corpus release 1.3 Turkish,annotated_vmwe_corpus,candidate_public_release,P1,https://gitlab.com/parseme/corpora/-/wikis/home,https://aclanthology.org/2023.mwe-1.6/,PARSEME/LINDAT per-corpus licence agreement,,Turkish portion of multilingual release 1.3,Verbal MWE spans; inflection; idiomatic versus literal candidates,"Verbal MWEs only; overlaps with Berk et al. 2018 lineage. Public release remains available although working repositories became private in 2025.",2026-06-23
SRC-005,PARSEME corpus release 2.0,annotated_mwe_corpus,candidate_verify_turkish_coverage,P1,https://gitlab.com/parseme/corpora/-/wikis/home,https://doi.org/10.63317/2iy5qf38yhay,Mostly open per-language licences,,"Nearly 5M tokens; over 250k sentences; about 140k MWE annotations across 17 languages",Nominal/adjectival/verbal MWE candidates and spans,"Release 2.0 expands beyond verbal MWEs. Confirm that the downloadable Turkish partition is included before integration.",2026-06-23
SRC-006,Dodiom Turkish,idiom_detection_corpus,candidate_access_not_confirmed,P1,https://doi.org/10.1017/S1351324921000401,https://arxiv.org/abs/2102.00881,Publisher/data terms not confirmed,,"6861 Turkish sentences; 35 idioms; near-balanced idiomatic and non-idiomatic uses reported",Sense disambiguation; literal/idiomatic contrast; human annotations,"High-value human/crowd labels but narrow and mainly verbal. Locate official data distribution or contact authors before use.",2026-06-23
SRC-007,Turkish Verbal Multiword Expressions Corpus,annotated_vmwe_corpus,overlaps_parseme_lineage,P2,https://doi.org/10.1109/SIU.2018.8404583,https://aclanthology.org/2022.mwe-1.14/,PARSEME release terms,,PARSEME Turkish news corpus lineage,Verbal MWE forms; morphological variants; span annotation,"Treat as provenance for PARSEME Turkish data, not as an independent source unless sentence overlap is measured.",2026-06-23
SRC-008,A Procedure to Build Multiword Expression Data Set,mwe_candidate_dataset,candidate_data_access_unclear,P2,https://aperta.ulakbim.gov.tr/records/49863,https://homes.izmirekonomi.edu.tr/skumova/makaleler/B2.pdf,Not confirmed,,"3946 positive and 4230 negative Turkish MWE candidates reported",Positive/negative candidate validation; compositional controls,"The paper/record is public; a machine-readable dataset download was not confirmed.",2026-06-23
SRC-009,KeNet Turkish WordNet,wordnet,used_for_review_candidates_snapshot_saved,P0,https://github.com/StarlangSoftware/TurkishWordNet,https://aclanthology.org/2021.gwc-1.19/,GPL-3; content licence review flagged,raw/kenet_2026-06-23.xml,"77330 synsets; 109049 synset members; 80956 distinct members; local XML 53785634 bytes",P_Syn; component synonyms for P_WordsSyn; definitions and examples,"Exact lemma extraction produced review-only candidates: 151/280 full MWE matches, 46 MWEs with P_Syn candidates, and 220 MWEs with two-component P_WordsSyn candidates. No candidate is auto-approved; intended sense, morphology, grammar and content licence remain review gates.",2026-06-23
SRC-010,Turkish Semantic Relations Corpus (TSRC),semantic_relation_pairs,candidate_access_failed,P1,https://huggingface.co/datasets/tsrc/tr-semantic-relations,https://arxiv.org/abs/2601.13253,Paper claims CC BY 4.0,,843000 term pairs claimed,Synonym and co-hyponym candidates; random-control filtering,"Paper claims public release, but anonymous Hugging Face API access returned 401 on 2026-06-23. Verify repository identity/access before relying on it.",2026-06-23
SRC-011,Turkish National Corpus (TNC/TUD),balanced_general_corpus,candidate_query_only,P1,https://tnc.org.tr/,,Terms and bulk redistribution unclear,,About 50 million words from 1990-2013,Naturalistic examples; frequency; register balance,"Balanced reference corpus. Web query is known; bulk download and sentence redistribution permissions require verification.",2026-06-23
SRC-012,TS Corpus,large_turkish_corpora_hub,candidate_accessible,P0,https://tscorpus.com/,,Open for academic study; per-corpus terms should be recorded,,"Over 25 corpora; more than 1.8 billion tokens",Naturalistic examples; frequency matching; domain diversity,"Provides query, result saving and downloads. Review each selected subcorpus and its own provenance before redistributing sentences.",2026-06-23
SRC-013,Leipzig Corpora Collection Turkish,general_web_corpus,candidate_accessible,P1,https://corpora.uni-leipzig.de/,https://api.wortschatz-leipzig.de/ws/swagger-ui/index.html,Corpus/source-level terms require review,,Over 7 million Turkish sentences reported in resource survey,Frequency bands; concordances; example discovery,"Useful for frequency balancing; original web/news sentence rights may differ from corpus access terms.",2026-06-23
SRC-014,Turkish Wiktionary and Wikipedia,wikimedia_text,candidate_accessible,P1,https://tr.wiktionary.org/wiki/Kategori:T%C3%BCrk%C3%A7e_deyimler,https://wikimediafoundation.org/what-we-do/wikimedia-projects/wikipedia/,CC BY-SA with page-level attribution,,Dynamic,Definitions; canonical forms; openly reusable examples,"Record revision URL and contributors for any copied sentence or definition.",2026-06-23
SRC-015,Sketch Engine Turkish corpora (including trTenTen),commercial_concordancer,candidate_query_access,P2,https://www.sketchengine.eu/corpora-and-languages/turkish-text-corpora/,,Subscription and source-corpus terms,,Multiple large Turkish corpora,Frequency/collocation checks and example discovery,"Prefer for analysis and frequency confirmation; do not redistribute concordance lines without checking underlying source rights.",2026-06-23
SRC-016,Exploring Turkish Idiomaticity with Large Language Models,study_using_dodiom,reference_only,P2,https://research.itu.edu.tr/en/publications/exploring-turkish-idiomaticity-with-large-language-models/,https://doi.org/10.1109/UBMK67458.2025.11206760,IEEE publication; dataset is Dodiom,,Uses Dodiom Turkish split,Baselines and task design,"Useful methodological reference but not counted as a separate dataset to avoid duplicating Dodiom.",2026-06-23
