model,group,case,variant,target,replacement,sentence_sim,contextual_span_sim,isolated_phrase_sim,changed_sentence
BERT-large-EN,idiomatic_nc,grey matter,synonym,grey matter,brain,0.979914367198944,0.769569993019104,0.6207592487335205,These youngsters use their brain when the presentation is right.
BERT-large-EN,idiomatic_nc,grey matter,component,grey matter,matter,0.9443325996398926,0.76596999168396,0.746953010559082,These youngsters use their matter when the presentation is right.
BERT-large-EN,idiomatic_nc,grey matter,word_by_word,grey matter,silvery material,0.9467748403549194,0.7982324957847595,0.7886698246002197,These youngsters use their silvery material when the presentation is right.
BERT-large-EN,idiomatic_nc,grey matter,random,grey matter,battlefront serviceman,0.913196325302124,0.7137090563774109,0.6566162705421448,These youngsters use their battlefront serviceman when the presentation is right.
BERT-large-EN,idiomatic_nc,eager beaver,synonym,eager beaver,hard worker,0.962595283985138,0.7776262760162354,0.6376748085021973,Eric stayed a real hard worker during the audit.
BERT-large-EN,idiomatic_nc,eager beaver,component,eager beaver,beaver,0.9524078369140624,0.8304882049560547,0.7230561375617981,Eric stayed a real beaver during the audit.
BERT-large-EN,idiomatic_nc,eager beaver,word_by_word,eager beaver,restless rodent,0.9609785079956056,0.8318785429000854,0.6581696271896362,Eric stayed a real restless rodent during the audit.
BERT-large-EN,idiomatic_nc,eager beaver,random,eager beaver,petrol station,0.8851872086524963,0.6041553020477295,0.6065704226493835,Eric stayed a real petrol station during the audit.
BERT-large-EN,idiomatic_nc,couch potato,synonym,couch potato,lazy person,0.9534603953361512,0.7288091778755188,0.6169403791427612,Nina became a lazy person after the exams.
BERT-large-EN,idiomatic_nc,couch potato,component,couch potato,potato,0.9698473811149596,0.7611016631126404,0.7450448870658875,Nina became a potato after the exams.
BERT-large-EN,idiomatic_nc,couch potato,word_by_word,couch potato,sofa tuber,0.9454746842384338,0.710413932800293,0.6480417847633362,Nina became a sofa tuber after the exams.
BERT-large-EN,idiomatic_nc,couch potato,random,couch potato,railway signal,0.899526059627533,0.535157322883606,0.5357686281204224,Nina became a railway signal after the exams.
BERT-large-EN,idiomatic_nc,cold feet,synonym,cold feet,nervousness,0.9575691223144532,0.7027617692947388,0.7136509418487549,The sudden audit gave the manager nervousness before the launch.
BERT-large-EN,idiomatic_nc,cold feet,component,cold feet,feet,0.9685929417610168,0.7763724327087402,0.621543288230896,The sudden audit gave the manager feet before the launch.
BERT-large-EN,idiomatic_nc,cold feet,word_by_word,cold feet,chilly legs,0.9809582829475404,0.8727181553840637,0.8750699758529663,The sudden audit gave the manager chilly legs before the launch.
BERT-large-EN,idiomatic_nc,cold feet,random,cold feet,garden invoice,0.926543951034546,0.5588942170143127,0.6425261497497559,The sudden audit gave the manager garden invoice before the launch.
BERT-large-EN,idiomatic_nc,white elephant,synonym,white elephant,burden,0.9566698670387268,0.6836446523666382,0.5533778667449951,The abandoned stadium became a burden for the city.
BERT-large-EN,idiomatic_nc,white elephant,component,white elephant,elephant,0.9814623594284058,0.8921149969100952,0.8240001201629639,The abandoned stadium became a elephant for the city.
BERT-large-EN,idiomatic_nc,white elephant,word_by_word,white elephant,pale animal,0.9742985367774964,0.8555995225906372,0.7408245205879211,The abandoned stadium became a pale animal for the city.
BERT-large-EN,idiomatic_nc,white elephant,random,white elephant,kitchen policy,0.964133083820343,0.7442452311515808,0.7036072611808777,The abandoned stadium became a kitchen policy for the city.
BERT-large-EN,idiomatic_nc,red tape,synonym,red tape,bureaucracy,0.9629217386245728,0.8257452249526978,0.6044412851333618,The permit was delayed by bureaucracy at the ministry.
BERT-large-EN,idiomatic_nc,red tape,component,red tape,tape,0.9749357104301452,0.8251074552536011,0.7606197595596313,The permit was delayed by tape at the ministry.
BERT-large-EN,idiomatic_nc,red tape,word_by_word,red tape,crimson ribbon,0.9694243669509888,0.8252291679382324,0.6193953156471252,The permit was delayed by crimson ribbon at the ministry.
BERT-large-EN,idiomatic_nc,red tape,random,red tape,ocean doorway,0.9487560987472534,0.6750591993331909,0.7287779450416565,The permit was delayed by ocean doorway at the ministry.
BERT-large-EN,idiomatic_nc,dark horse,synonym,dark horse,unexpected contender,0.8391463160514832,0.7096147537231445,0.6223325729370117,A unexpected contender won the final round of the tournament.
BERT-large-EN,idiomatic_nc,dark horse,component,dark horse,horse,0.8627814054489136,0.7996158599853516,0.6038139462471008,A horse won the final round of the tournament.
BERT-large-EN,idiomatic_nc,dark horse,word_by_word,dark horse,shadowy animal,0.8106850385665894,0.6817201972007751,0.6446636915206909,A shadowy animal won the final round of the tournament.
BERT-large-EN,idiomatic_nc,dark horse,random,dark horse,library candle,0.8282381892204285,0.5817103385925293,0.6678972244262695,A library candle won the final round of the tournament.
