mwe_id,language,canonical_form,token_count,mwe_type,modifier,head,comp_class_provisional,comp_score_gold_0_5,annotation_status,meaning_tr,meaning_origin,meaning_source_name,meaning_source_url,meaning_reuse_status,meaning_license_review_status,neutral_sentence,neutral_sentence_review_status,example_1,example_1_target_surface,example_1_origin,example_1_source_name,example_1_source_url,example_1_source_author,example_1_source_license,example_1_license_review_status,example_1_sense_review_status,example_2,example_2_target_surface,example_2_origin,example_2_source_name,example_2_source_url,example_2_source_author,example_2_source_license,example_2_license_review_status,example_2_sense_review_status,example_3,example_3_target_surface,example_3_origin,example_3_source_name,example_3_source_url,example_3_source_author,example_3_source_license,example_3_license_review_status,example_3_sense_review_status,curation_notes,accessed_at
TR-NC-001,TR,acı reçete,2,nominal_multiword_expression,acı,reçete,I,,provisional_curation_requires_human_rating,Toplum için kısa vadede zorlayıcı olan sert önlem paketi,curator_paraphrase_after_lexicographic_check,Türk Dil Kurumu Sözlükleri,https://sozluk.gov.tr/?ara=ac%C4%B1%20re%C3%A7ete,paraphrased_not_copied,source_link_recorded_review_if_publishing,Bu bir acı reçete.,two_word_nominal_template,Hükümet bütçe açığını kapatmak için acı reçete açıkladı.,acı reçete,authored_for_dataset,Dataset authors,,,Original text; dataset license not yet assigned,not_external_original_text,authored_meaning_checked,Sendikalar çalışanlara yüklenen acı reçeteye tepki gösterdi.,acı reçeteye,authored_for_dataset,Dataset authors,,,Original text; dataset license not yet assigned,not_external_original_text,authored_meaning_checked,Uzmanlar acı reçete uygulanmadan da çözüm bulunabileceğini savundu.,acı reçete,authored_for_dataset,Dataset authors,,,Original text; dataset license not yet assigned,not_external_original_text,authored_meaning_checked,"Two-token candidate; class is provisional, not a gold human label.",2026-06-23
TR-NC-002,TR,açık çek,2,nominal_multiword_expression,açık,çek,I,,provisional_curation_requires_human_rating,Sınırı önceden belirlenmemiş yetki veya hareket serbestliği,curator_paraphrase_after_lexicographic_check,Türk Dil Kurumu Sözlükleri,https://sozluk.gov.tr/?ara=a%C3%A7%C4%B1k%20%C3%A7ek,paraphrased_not_copied,source_link_recorded_review_if_publishing,Bu bir açık çek.,two_word_nominal_template,Yönetim müdüre harcamalar konusunda açık çek vermedi.,açık çek,authored_for_dataset,Dataset authors,,,Original text; dataset license not yet assigned,not_external_original_text,authored_meaning_checked,Bu yetkiyi açık çek olarak yorumlamak yanlış olur.,açık çek,authored_for_dataset,Dataset authors,,,Original text; dataset license not yet assigned,not_external_original_text,authored_meaning_checked,Meclis kararla birlikte yürütmeye adeta açık çek sundu.,açık çek,authored_for_dataset,Dataset authors,,,Original text; dataset license not yet assigned,not_external_original_text,authored_meaning_checked,"Two-token candidate; class is provisional, not a gold human label.",2026-06-23
TR-NC-003,TR,ağır top,2,nominal_multiword_expression,ağır,top,I,,provisional_curation_requires_human_rating,Bir çevrede etkisi ve gücü çok yüksek kişi,curator_paraphrase_after_lexicographic_check,Türk Dil Kurumu Sözlükleri,https://sozluk.gov.tr/?ara=a%C4%9F%C4%B1r%20top,paraphrased_not_copied,source_link_recorded_review_if_publishing,Bu bir ağır top.,two_word_nominal_template,Partinin ağır topu seçim kampanyasına bugün katıldı.,ağır topu,authored_for_dataset,Dataset authors,,,Original text; dataset license not yet assigned,not_external_original_text,authored_meaning_checked,Toplantıda sektörün ağır topları aynı masada buluştu.,ağır topları,authored_for_dataset,Dataset authors,,,Original text; dataset license not yet assigned,not_external_original_text,authored_meaning_checked,Kulübün ağır topu transfer görüşmelerini bizzat yürüttü.,ağır topu,authored_for_dataset,Dataset authors,,,Original text; dataset license not yet assigned,not_external_original_text,authored_meaning_checked,"Two-token candidate; class is provisional, not a gold human label.",2026-06-23
TR-NC-004,TR,akıl küpü,2,nominal_multiword_expression,akıl,küpü,I,,provisional_curation_requires_human_rating,Çok bilgili ve zeki kabul edilen kişi,curator_paraphrase_after_lexicographic_check,Türk Dil Kurumu Sözlükleri,https://sozluk.gov.tr/?ara=ak%C4%B1l%20k%C3%BCp%C3%BC,paraphrased_not_copied,source_link_recorded_review_if_publishing,Bu bir akıl küpü.,two_word_nominal_template,Sınıfın akıl küpü bu soruyu birkaç saniyede çözdü.,akıl küpü,authored_for_dataset,Dataset authors,,,Original text; dataset license not yet assigned,not_external_original_text,authored_meaning_checked,Herkes onu akıl küpü sanıyor ama o da bazen yanılıyor.,akıl küpü,authored_for_dataset,Dataset authors,,,Original text; dataset license not yet assigned,not_external_original_text,authored_meaning_checked,Ekibin akıl küpü yine pratik bir çözüm buldu.,akıl küpü,authored_for_dataset,Dataset authors,,,Original text; dataset license not yet assigned,not_external_original_text,authored_meaning_checked,"Two-token candidate; class is provisional, not a gold human label.",2026-06-23
TR-NC-005,TR,altın bilezik,2,nominal_multiword_expression,altın,bilezik,I,,provisional_curation_requires_human_rating,Her koşulda geçim sağlayabilecek meslek veya beceri,curator_paraphrase_after_lexicographic_check,Türk Dil Kurumu Sözlükleri,https://sozluk.gov.tr/?ara=alt%C4%B1n%20bilezik,paraphrased_not_copied,source_link_recorded_review_if_publishing,Bu bir altın bilezik.,two_word_nominal_template,Babam bir meslek öğrenmenin altın bilezik olduğunu söylerdi.,altın bilezik,authored_for_dataset,Dataset authors,,,Original text; dataset license not yet assigned,not_external_original_text,authored_meaning_checked,Yabancı dil onun kolunda altın bilezik oldu.,altın bilezik,authored_for_dataset,Dataset authors,,,Original text; dataset license not yet assigned,not_external_original_text,authored_meaning_checked,"Bu ustalık, zor günlerde işe yarayan bir altın bilezik sayılır.",altın bilezik,authored_for_dataset,Dataset authors,,,Original text; dataset license not yet assigned,not_external_original_text,authored_meaning_checked,"Two-token candidate; class is provisional, not a gold human label.",2026-06-23
TR-NC-006,TR,arka bahçe,2,nominal_multiword_expression,arka,bahçe,I,,provisional_curation_requires_human_rating,Bir kurumun ya da gücün dolaylı biçimde denetlediği alan,curator_paraphrase_after_lexicographic_check,Türk Dil Kurumu Sözlükleri,https://sozluk.gov.tr/?ara=arka%20bah%C3%A7e,paraphrased_not_copied,source_link_recorded_review_if_publishing,Bu bir arka bahçe.,two_word_nominal_template,Şirket küçük tedarikçileri kendi arka bahçesi gibi yönetiyordu.,arka bahçesi,authored_for_dataset,Dataset authors,,,Original text; dataset license not yet assigned,not_external_original_text,authored_meaning_checked,Bölgenin başka bir ülkenin arka bahçesi sayılmasına karşı çıktılar.,arka bahçesi,authored_for_dataset,Dataset authors,,,Original text; dataset license not yet assigned,not_external_original_text,authored_meaning_checked,"Kulüp, altyapıyı A takımın arka bahçesi olarak görüyor.",arka bahçesi,authored_for_dataset,Dataset authors,,,Original text; dataset license not yet assigned,not_external_original_text,authored_meaning_checked,"Two-token candidate; class is provisional, not a gold human label.",2026-06-23
TR-NC-007,TR,arka kapı,2,nominal_multiword_expression,arka,kapı,I,,provisional_curation_requires_human_rating,"Resmî olmayan, gizli veya dolaylı işlem yolu",curator_paraphrase_after_lexicographic_check,Türk Dil Kurumu Sözlükleri,https://sozluk.gov.tr/?ara=arka%20kap%C4%B1,paraphrased_not_copied,source_link_recorded_review_if_publishing,Bu bir arka kapı.,two_word_nominal_template,İhaleyi arka kapı ilişkileriyle alma girişimi soruşturuluyor.,arka kapı,authored_for_dataset,Dataset authors,,,Original text; dataset license not yet assigned,not_external_original_text,authored_meaning_checked,Sorunu arka kapı diplomasisiyle çözmeye çalıştılar.,arka kapı,authored_for_dataset,Dataset authors,,,Original text; dataset license not yet assigned,not_external_original_text,authored_meaning_checked,Yasağın arka kapı yöntemleriyle aşılmasına izin verilmedi.,arka kapı,authored_for_dataset,Dataset authors,,,Original text; dataset license not yet assigned,not_external_original_text,authored_meaning_checked,"Two-token candidate; class is provisional, not a gold human label.",2026-06-23
TR-NC-008,TR,ayak bağı,2,nominal_multiword_expression,ayak,bağı,I,,provisional_curation_requires_human_rating,"İlerlemeyi engelleyen kişi, yükümlülük veya durum",curator_paraphrase_after_lexicographic_check,Türk Dil Kurumu Sözlükleri,https://sozluk.gov.tr/?ara=ayak%20ba%C4%9F%C4%B1,paraphrased_not_copied,source_link_recorded_review_if_publishing,Bu bir ayak bağı.,two_word_nominal_template,"Böyle ayak bağı olacaksanız, beraber çalışmaktan vazgeçeriz!",ayak bağı,internet_open_license,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/3696338,vvv123,CC BY 2.0 FR,verified_open_license,manually_reviewed_target_sense,Gereksiz bürokrasi yatırımcıya ayak bağı oluyor.,ayak bağı,authored_for_dataset,Dataset authors,,,Original text; dataset license not yet assigned,not_external_original_text,authored_meaning_checked,Eski borçlar şirketin büyümesinde ciddi bir ayak bağıydı.,ayak bağıydı,authored_for_dataset,Dataset authors,,,Original text; dataset license not yet assigned,not_external_original_text,authored_meaning_checked,"Two-token candidate; class is provisional, not a gold human label.",2026-06-23
TR-NC-009,TR,ayak oyunu,2,nominal_multiword_expression,ayak,oyunu,I,,provisional_curation_requires_human_rating,Birini saf dışı bırakmaya yönelik gizli düzen veya hile,curator_paraphrase_after_lexicographic_check,Türk Dil Kurumu Sözlükleri,https://sozluk.gov.tr/?ara=ayak%20oyunu,paraphrased_not_copied,source_link_recorded_review_if_publishing,Bu bir ayak oyunu.,two_word_nominal_template,Rakibini ayak oyunuyla saf dışı bırakmaya çalıştı.,ayak oyunuyla,authored_for_dataset,Dataset authors,,,Original text; dataset license not yet assigned,not_external_original_text,authored_meaning_checked,Seçim öncesindeki ayak oyunu iddiaları parti içinde tepki çekti.,ayak oyunu,authored_for_dataset,Dataset authors,,,Original text; dataset license not yet assigned,not_external_original_text,authored_meaning_checked,Bu kararın ardında bir ayak oyunu olduğundan kuşkulanıyorlar.,ayak oyunu,authored_for_dataset,Dataset authors,,,Original text; dataset license not yet assigned,not_external_original_text,authored_meaning_checked,"Two-token candidate; class is provisional, not a gold human label.",2026-06-23
TR-NC-010,TR,ateş çemberi,2,nominal_multiword_expression,ateş,çemberi,I,,provisional_curation_requires_human_rating,Her yanı ciddi tehlikelerle çevrili durum veya bölge,curator_paraphrase_after_lexicographic_check,Türk Dil Kurumu Sözlükleri,https://sozluk.gov.tr/?ara=ate%C5%9F%20%C3%A7emberi,paraphrased_not_copied,source_link_recorded_review_if_publishing,Bu bir ateş çemberi.,two_word_nominal_template,"Köy, çatışmalar başlayınca ateş çemberinin ortasında kaldı.",ateş çemberinin,authored_for_dataset,Dataset authors,,,Original text; dataset license not yet assigned,not_external_original_text,authored_meaning_checked,Takım son haftalarda tam bir ateş çemberinden geçiyor.,ateş çemberinden,authored_for_dataset,Dataset authors,,,Original text; dataset license not yet assigned,not_external_original_text,authored_meaning_checked,İtfaiyeciler ateş çemberi içindeki ailelere ulaşmaya çalıştı.,ateş çemberi,authored_for_dataset,Dataset authors,,,Original text; dataset license not yet assigned,not_external_original_text,authored_meaning_checked,"Two-token candidate; class is provisional, not a gold human label.",2026-06-23
