model,group,case,variant,sentence_sim,contextual_span_sim,isolated_phrase_sim
E5-large,idiomatic_nc,grey matter,synonym,0.9723155557078569,0.8808859620954166,0.8808859620954166
E5-large,idiomatic_nc,grey matter,component,0.9662581064226275,0.8855024123921431,0.8855024123921431
E5-large,idiomatic_nc,grey matter,word_by_word,0.9449381280819437,0.8382196856300649,0.8382196856300649
E5-large,idiomatic_nc,grey matter,random,0.9208439777683979,0.8009491575302407,0.8009491575302407
E5-large,idiomatic_nc,eager beaver,synonym,0.945707367885758,0.8434073777774245,0.8434073777774245
E5-large,idiomatic_nc,eager beaver,component,0.9749549039880994,0.9069873049685688,0.9069873049685688
E5-large,idiomatic_nc,eager beaver,word_by_word,0.943937255418881,0.858942373523881,0.858942373523881
E5-large,idiomatic_nc,eager beaver,random,0.9100647198071211,0.8044904918142637,0.8044904918142637
E5-large,idiomatic_nc,couch potato,synonym,0.9533940393801907,0.8307469568558505,0.8307469568558505
E5-large,idiomatic_nc,couch potato,component,0.9745338991058091,0.860067042378342,0.860067042378342
E5-large,idiomatic_nc,couch potato,word_by_word,0.9616882290863701,0.8686829195845686,0.8686829195845686
E5-large,idiomatic_nc,couch potato,random,0.9078352109340331,0.7972288584829464,0.7972288584829464
E5-large,idiomatic_nc,cold feet,synonym,0.95285298336853,0.8574416354474995,0.8574416354474995
E5-large,idiomatic_nc,cold feet,component,0.9221469978368931,0.893561007532088,0.893561007532088
E5-large,idiomatic_nc,cold feet,word_by_word,0.9784850527385555,0.9076305032827766,0.9076305032827766
E5-large,idiomatic_nc,cold feet,random,0.8878237335397733,0.8002141299081797,0.8002141299081797
E5-large,idiomatic_nc,white elephant,synonym,0.9249812056888379,0.7912554737003377,0.7912554737003377
E5-large,idiomatic_nc,white elephant,component,0.9719135149013715,0.912863958755289,0.912863958755289
E5-large,idiomatic_nc,white elephant,word_by_word,0.9399964795348579,0.8432878965148086,0.8432878965148086
E5-large,idiomatic_nc,white elephant,random,0.9132311474581806,0.7835864707106357,0.7835864707106357
E5-large,idiomatic_nc,red tape,synonym,0.9609148974476792,0.8638344184151211,0.8638344184151211
E5-large,idiomatic_nc,red tape,component,0.9624889188515074,0.8813793774623002,0.8813793774623002
E5-large,idiomatic_nc,red tape,word_by_word,0.9488708408161702,0.8212197894718498,0.8212197894718498
E5-large,idiomatic_nc,red tape,random,0.9178805267608939,0.7888928622707548,0.7888928622707548
E5-large,idiomatic_nc,dark horse,synonym,0.9104056151528499,0.8208757537655738,0.8208757537655738
E5-large,idiomatic_nc,dark horse,component,0.9460557229398991,0.8843944418778247,0.8843944418778247
E5-large,idiomatic_nc,dark horse,word_by_word,0.9409015875511596,0.8641507064415977,0.8641507064415977
E5-large,idiomatic_nc,dark horse,random,0.8835708692664758,0.8088538576292179,0.8088538576292179
E5-large,idiomatic_nc,black sheep,synonym,0.9312229374127836,0.7823633241151989,0.7823633241151989
E5-large,idiomatic_nc,black sheep,component,0.9750463224093106,0.9107817978732956,0.9107817978732956
E5-large,idiomatic_nc,black sheep,word_by_word,0.9674650780223208,0.8792253117110248,0.8792253117110248
E5-large,idiomatic_nc,black sheep,random,0.9130264249313984,0.7828265856228098,0.7828265856228098
E5-large,idiomatic_nc,silver lining,synonym,0.9710260340409822,0.8650249679522696,0.8650249679522696
E5-large,idiomatic_nc,silver lining,component,0.9728924547013263,0.8408161401208969,0.8408161401208969
E5-large,idiomatic_nc,silver lining,word_by_word,0.9147700422564449,0.8222272875170142,0.8222272875170142
E5-large,idiomatic_nc,silver lining,random,0.9082074257342206,0.8189083715070796,0.8189083715070796
E5-large,idiomatic_nc,ivory tower,synonym,0.9300598065596724,0.7977214001052338,0.7977214001052338
E5-large,idiomatic_nc,ivory tower,component,0.9748609158567239,0.8456851454396043,0.8456851454396043
E5-large,idiomatic_nc,ivory tower,word_by_word,0.9437504261681098,0.8125342044957452,0.8125342044957452
E5-large,idiomatic_nc,ivory tower,random,0.9425729904814587,0.8144571759825388,0.8144571759825388
E5-large,idiomatic_nc,glass ceiling,synonym,0.9441808504697078,0.8359367490291558,0.8359367490291558
E5-large,idiomatic_nc,glass ceiling,component,0.969524996885267,0.9016026149225931,0.9016026149225931
E5-large,idiomatic_nc,glass ceiling,word_by_word,0.9415971486921091,0.8625501644984306,0.8625501644984306
E5-large,idiomatic_nc,glass ceiling,random,0.9090287937992488,0.8073954377483743,0.8073954377483743
E5-large,idiomatic_nc,cash cow,synonym,0.9854247690834977,0.8712170563860184,0.8712170563860184
E5-large,idiomatic_nc,cash cow,component,0.9679318839353498,0.8532138835410402,0.8532138835410402
E5-large,idiomatic_nc,cash cow,word_by_word,0.9833903882843527,0.8739191837695007,0.8739191837695007
E5-large,idiomatic_nc,cash cow,random,0.9096980705312729,0.7976142777639418,0.7976142777639418
E5-large,idiomatic_nc,loose cannon,synonym,0.9331155042842891,0.8061031561517469,0.8061031561517469
E5-large,idiomatic_nc,loose cannon,component,0.9332862598123077,0.8808332096642586,0.8808332096642586
E5-large,idiomatic_nc,loose cannon,word_by_word,0.9601434614280188,0.8529872033952668,0.8529872033952668
E5-large,idiomatic_nc,loose cannon,random,0.9214994558666348,0.8052436433389434,0.8052436433389434
E5-large,idiomatic_nc,golden handshake,synonym,0.8971003265309856,0.8002822269680322,0.8002822269680322
E5-large,idiomatic_nc,golden handshake,component,0.9710745257203361,0.946698614088654,0.946698614088654
E5-large,idiomatic_nc,golden handshake,word_by_word,0.9462462667891534,0.8628630645619867,0.8628630645619867
E5-large,idiomatic_nc,golden handshake,random,0.9081070295869241,0.8198696704922397,0.8198696704922397
