id,mweId,canonicalForm,provisionalClass,sentence,targetSurface,sourceId,sourceRecordId,sourceName,sourceUrl,author,license,licenseReviewStatus,senseReviewStatus,reviewStatus,datasetStatus,selectedSlot
TR-NC-001-tatoeba-4695823,TR-NC-001,acı reçete,I,"Kötü bir öksürüğüm vardı, bu yüzden acı reçete aldım.",acı reçete,SRC-002,4695823,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/4695823,duran,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-005-tatoeba-7724805,TR-NC-005,altın bilezik,I,Karıma bir altın bilezik satın almayı tasarlıyorum.,altın bilezik,SRC-002,7724805,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/7724805,deyta,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-1041067,TR-NC-006,arka bahçe,I,Benim arka bahçe on kişiden daha fazlasını barındırabilir.,arka bahçe,SRC-002,1041067,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/1041067,duran,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-1204831,TR-NC-006,arka bahçe,I,Bizim arka bahçede bir kuş besleyici var.,arka bahçede,SRC-002,1204831,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/1204831,duran,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-1948650,TR-NC-006,arka bahçe,I,Çocuklar arka bahçede top fırlatıyorlar.,arka bahçede,SRC-002,1948650,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/1948650,duran,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-2472712,TR-NC-006,arka bahçe,I,Sandalyem arka bahçede beni bekliyor değil mi?,arka bahçede,SRC-002,2472712,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/2472712,deyta,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-2702481,TR-NC-006,arka bahçe,I,Arka bahçemizde bir köpek kulübemiz var.,Arka bahçemizde,SRC-002,2702481,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/2702481,Gulo_Luscus,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-2722723,TR-NC-006,arka bahçe,I,Tom'un bizim arka bahçede kamp yapmasına izin verdim.,arka bahçede,SRC-002,2722723,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/2722723,freefighter,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-2722724,TR-NC-006,arka bahçe,I,Tom'un bizim arka bahçede kamp yapmasına müsaade ettim.,arka bahçede,SRC-002,2722724,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/2722724,freefighter,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-3624485,TR-NC-006,arka bahçe,I,Arka bahçemde bir ağaç var.,Arka bahçemde,SRC-002,3624485,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/3624485,deyta,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-3876128,TR-NC-006,arka bahçe,I,Hiç arka bahçeni suladın mı?,arka bahçeni,SRC-002,3876128,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/3876128,duran,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-4035707,TR-NC-006,arka bahçe,I,Tom arka bahçesinde bir çukur kazdı.,arka bahçesinde,SRC-002,4035707,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/4035707,deyta,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-4143445,TR-NC-006,arka bahçe,I,Tom parasını arka bahçesinde bir yere gömdü.,arka bahçesinde,SRC-002,4143445,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/4143445,duran,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-4173393,TR-NC-006,arka bahçe,I,"Köpek öldükten sonra, onu arka bahçeye gömdüler.",arka bahçeye,SRC-002,4173393,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/4173393,Miremir,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-4176005,TR-NC-006,arka bahçe,I,Bizim küçük bir arka bahçemiz var.,arka bahçemiz,SRC-002,4176005,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/4176005,deyta,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-4210404,TR-NC-006,arka bahçe,I,Arka bahçemizde büyük bir meşe ağacımız var.,Arka bahçemizde,SRC-002,4210404,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/4210404,duran,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-4419300,TR-NC-006,arka bahçe,I,Arka bahçeyi temizlediğin için teşekkürler.,Arka bahçeyi,SRC-002,4419300,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/4419300,deyta,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-4467046,TR-NC-006,arka bahçe,I,Tom arka bahçesinde gül yetiştiriyordu.,arka bahçesinde,SRC-002,4467046,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/4467046,deyta,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-4611992,TR-NC-006,arka bahçe,I,Arka bahçedeki korkuluk kasırga sırasında devrildi.,Arka bahçedeki,SRC-002,4611992,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/4611992,deyta,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-4766087,TR-NC-006,arka bahçe,I,Arka bahçeyi tek başıma temizleyemem.,Arka bahçeyi,SRC-002,4766087,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/4766087,duran,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-4769223,TR-NC-006,arka bahçe,I,Arka bahçeyi sulayamıyorum. Hiç su yok.,Arka bahçeyi,SRC-002,4769223,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/4769223,duran,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-4780949,TR-NC-006,arka bahçe,I,Biz arka bahçede bir kuyu kazıyoruz.,arka bahçede,SRC-002,4780949,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/4780949,deyta,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-4913759,TR-NC-006,arka bahçe,I,Tom arka bahçesine doğru yürüdü.,arka bahçesine,SRC-002,4913759,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/4913759,duran,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-4970303,TR-NC-006,arka bahçe,I,Tom ve Mary arka bahçede bir kar kale inşa etti.,arka bahçede,SRC-002,4970303,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/4970303,duran,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-5045035,TR-NC-006,arka bahçe,I,Evin sallandığını hissettiğim için arka bahçeye koştum.,arka bahçeye,SRC-002,5045035,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/5045035,duran,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-5195046,TR-NC-006,arka bahçe,I,Ben mangal partileri verebileceğim güzel bir arka bahçe istiyorum.,arka bahçe,SRC-002,5195046,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/5195046,duran,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-5252889,TR-NC-006,arka bahçe,I,Tom ve Mary'nin arka bahçelerinde tavukları var.,arka bahçelerinde,SRC-002,5252889,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/5252889,deyta,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-5357448,TR-NC-006,arka bahçe,I,Tom'un arka bahçesinde bir pizza fırını var.,arka bahçesinde,SRC-002,5357448,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/5357448,deyta,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-5371081,TR-NC-006,arka bahçe,I,Ön bahçede iki tane ve arka bahçede iki tane tavuk vardır.,arka bahçede,SRC-002,5371081,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/5371081,deyta,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-5393421,TR-NC-006,arka bahçe,I,Tom arka bahçesine bir palmiye dikiyor.,arka bahçesine,SRC-002,5393421,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/5393421,duran,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-5418490,TR-NC-006,arka bahçe,I,Biz arka bahçede bir piknik yaptık.,arka bahçede,SRC-002,5418490,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/5418490,deyta,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-5584134,TR-NC-006,arka bahçe,I,Geçen yıl arka bahçemizde bir sinek kuşu yuvamız vardı.,arka bahçemizde,SRC-002,5584134,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/5584134,duran,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-5665723,TR-NC-006,arka bahçe,I,Arka bahçemde bir kokarcam var.,Arka bahçemde,SRC-002,5665723,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/5665723,duran,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-5687635,TR-NC-006,arka bahçe,I,Tom arka bahçesinde bir eskimo kulübesi inşa etti.,arka bahçesinde,SRC-002,5687635,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/5687635,duran,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-5705528,TR-NC-006,arka bahçe,I,Tom ormanda kayboldu ve kendini birinin arka bahçesinde buluverdi.,arka bahçesinde,SRC-002,5705528,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/5705528,duran,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-5788712,TR-NC-006,arka bahçe,I,Tom arka bahçesinde büyük bir çukur kazdı.,arka bahçesinde,SRC-002,5788712,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/5788712,duran,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-5795828,TR-NC-006,arka bahçe,I,Tom arka bahçesinde bir çukur açtı.,arka bahçesinde,SRC-002,5795828,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/5795828,duran,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-5841772,TR-NC-006,arka bahçe,I,Fadıl'ın evinin bir arka bahçesi var.,arka bahçesi,SRC-002,5841772,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/5841772,deyta,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-5879697,TR-NC-006,arka bahçe,I,Suyumuzu arka bahçede bir pompadan alıyoruz.,arka bahçede,SRC-002,5879697,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/5879697,duran,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-5880680,TR-NC-006,arka bahçe,I,Fadıl arka bahçede bisikletini onarıyordu.,arka bahçede,SRC-002,5880680,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/5880680,deyta,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-5885657,TR-NC-006,arka bahçe,I,Fadıl arka bahçesinde bir oyuncak araba buldu.,arka bahçesinde,SRC-002,5885657,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/5885657,deyta,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-5903938,TR-NC-006,arka bahçe,I,Arka bahçemizde genellikle barbekü partileri veriyoruz.,Arka bahçemizde,SRC-002,5903938,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/5903938,duran,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-5913042,TR-NC-006,arka bahçe,I,Tom arka bahçesinde ilginç bir şey buldu.,arka bahçesinde,SRC-002,5913042,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/5913042,duran,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-5990901,TR-NC-006,arka bahçe,I,"Tom, Mary'nin arka bahçesinin fotoğraflarını çekti.",arka bahçesinin,SRC-002,5990901,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/5990901,deyta,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-6014227,TR-NC-006,arka bahçe,I,Tom arka bahçesine üç tane ağaç dikti.,arka bahçesine,SRC-002,6014227,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/6014227,deyta,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-6036392,TR-NC-006,arka bahçe,I,Benim bir arka bahçem yok.,arka bahçem,SRC-002,6036392,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/6036392,deyta,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-6101890,TR-NC-006,arka bahçe,I,Leyla arka bahçesinde bir ceset buldu.,arka bahçesinde,SRC-002,6101890,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/6101890,deyta,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-6138812,TR-NC-006,arka bahçe,I,Tom arka bahçesinde üç tane altın para buldu.,arka bahçesinde,SRC-002,6138812,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/6138812,deyta,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-6459736,TR-NC-006,arka bahçe,I,Tom'un arka bahçede bulduğu şeye bak.,arka bahçede,SRC-002,6459736,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/6459736,duran,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-6556322,TR-NC-006,arka bahçe,I,"Geçen hafta, arka bahçemizdeki tüm ağaçları kestik.",arka bahçemizdeki,SRC-002,6556322,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/6556322,duran,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-6566728,TR-NC-006,arka bahçe,I,Tom arka bahçesinde bazı altın paralar buldu.,arka bahçesinde,SRC-002,6566728,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/6566728,duran,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-6680568,TR-NC-006,arka bahçe,I,Arka bahçemizde birkaç tane çok uzun boylu ağaç var.,Arka bahçemizde,SRC-002,6680568,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/6680568,chnky,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-6716088,TR-NC-006,arka bahçe,I,Sami'nin arka bahçesi titizlikle muhafaza edildi.,arka bahçesi,SRC-002,6716088,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/6716088,deyta,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-6716410,TR-NC-006,arka bahçe,I,Sami arka bahçesinde gömülmüş bir ceset buldu.,arka bahçesinde,SRC-002,6716410,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/6716410,deyta,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-6719580,TR-NC-006,arka bahçe,I,"Sami, Leyla'yı arka bahçesine gömdü.",arka bahçesine,SRC-002,6719580,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/6719580,deyta,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-6766496,TR-NC-006,arka bahçe,I,Tom arka bahçesine bir iglo kurdu.,arka bahçesine,SRC-002,6766496,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/6766496,deyta,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-6796382,TR-NC-006,arka bahçe,I,Tom arka bahçesine bir tavuk kümesi kurdu.,arka bahçesine,SRC-002,6796382,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/6796382,deyta,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-6796383,TR-NC-006,arka bahçe,I,Tom arka bahçesine bir tavuk kümesi yaptırdı.,arka bahçesine,SRC-002,6796383,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/6796383,deyta,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
TR-NC-006-tatoeba-6812290,TR-NC-006,arka bahçe,I,Sami arka bahçede ölü bir kedi buldu.,arka bahçede,SRC-002,6812290,Tatoeba Turkish sentences,https://tatoeba.org/en/sentences/show/6812290,deyta,CC BY 2.0 FR,verified_open_license,exact_surface_match_needs_native_review,review_required,candidate,
