model,group,case,variant,sentence_sim,contextual_span_sim,isolated_phrase_sim
Gemma4-12B-it,idiomatic_nc,grey matter,synonym,0.9849467491474856,0.9096988384671676,0.8874981543155861
Gemma4-12B-it,idiomatic_nc,grey matter,component,0.9890256862043401,0.9347448191377167,0.8980598757579942
Gemma4-12B-it,idiomatic_nc,grey matter,word_by_word,0.9849078164328102,0.9116161051713945,0.887082986103061
Gemma4-12B-it,idiomatic_nc,grey matter,random,0.9743382654977342,0.9090822780788762,0.9160611663662134
Gemma4-12B-it,idiomatic_nc,eager beaver,synonym,0.9898567824974839,0.9643927440572417,0.9120614815777727
Gemma4-12B-it,idiomatic_nc,eager beaver,component,0.9898411076555172,0.9173985148320732,0.9421067180687909
Gemma4-12B-it,idiomatic_nc,eager beaver,word_by_word,0.9797527927701148,0.9217103673111458,0.8749234860602527
Gemma4-12B-it,idiomatic_nc,eager beaver,random,0.9871975372477875,0.9463513063773022,0.9342045912729622
Gemma4-12B-it,idiomatic_nc,couch potato,synonym,0.9795117594824448,0.9206246507552103,0.8865419769683339
Gemma4-12B-it,idiomatic_nc,couch potato,component,0.9751860050035175,0.9080607341421632,0.8769591744310695
Gemma4-12B-it,idiomatic_nc,couch potato,word_by_word,0.9825620456563379,0.9260020997927865,0.8586600724837437
Gemma4-12B-it,idiomatic_nc,couch potato,random,0.9741113904169215,0.9097209619706276,0.8822093314032547
Gemma4-12B-it,idiomatic_nc,cold feet,synonym,0.990937682039556,0.9459516549286403,0.8779163364266533
Gemma4-12B-it,idiomatic_nc,cold feet,component,0.9943611545634511,0.9367715555879587,0.8678440173254142
Gemma4-12B-it,idiomatic_nc,cold feet,word_by_word,0.9940527896787067,0.9380008723716605,0.7464461943223965
Gemma4-12B-it,idiomatic_nc,cold feet,random,0.9951105367883845,0.947942437826954,0.9293106316578994
Gemma4-12B-it,idiomatic_nc,white elephant,synonym,0.9946522920511716,0.9613641622734377,0.6817908497630422
Gemma4-12B-it,idiomatic_nc,white elephant,component,0.9965276415478498,0.9723050845251519,0.9141377351547502
Gemma4-12B-it,idiomatic_nc,white elephant,word_by_word,0.9916795011039573,0.9589527955598318,0.9039463297606787
Gemma4-12B-it,idiomatic_nc,white elephant,random,0.9916736326162564,0.9556267109520618,0.9188371831886484
Gemma4-12B-it,idiomatic_nc,red tape,synonym,0.9937938634239634,0.9225337672882921,0.9060000463355685
Gemma4-12B-it,idiomatic_nc,red tape,component,0.993891038870412,0.9591865429511462,0.9203035410573039
Gemma4-12B-it,idiomatic_nc,red tape,word_by_word,0.9925617655548721,0.9589957543153783,0.8655974150965756
Gemma4-12B-it,idiomatic_nc,red tape,random,0.9935740423846809,0.9602656195743792,0.9361944863294014
Gemma4-12B-it,idiomatic_nc,dark horse,synonym,0.980384415002013,0.9523792641868707,0.9092018645926667
Gemma4-12B-it,idiomatic_nc,dark horse,component,0.986206088990576,0.9478682855751713,0.8952684690794003
Gemma4-12B-it,idiomatic_nc,dark horse,word_by_word,0.9816103955923657,0.954276775606793,0.9208060275846344
Gemma4-12B-it,idiomatic_nc,dark horse,random,0.9759931061575583,0.9404966462519035,0.8976906918226957
Gemma4-12B-it,idiomatic_nc,black sheep,synonym,0.9872141614835253,0.9043804225146456,0.801843705616262
Gemma4-12B-it,idiomatic_nc,black sheep,component,0.9894952668544683,0.9068356360486715,0.8518775634746759
Gemma4-12B-it,idiomatic_nc,black sheep,word_by_word,0.98835696188733,0.9135219281090549,0.8221927214839707
Gemma4-12B-it,idiomatic_nc,black sheep,random,0.9889923049772226,0.9201748884781078,0.8635447241103403
Gemma4-12B-it,idiomatic_nc,silver lining,synonym,0.9952614116779005,0.9848215257293426,0.9105279680140614
Gemma4-12B-it,idiomatic_nc,silver lining,component,0.9969080918859314,0.9784544859341331,0.9256063183343838
Gemma4-12B-it,idiomatic_nc,silver lining,word_by_word,0.996078542668805,0.9774600312853827,0.8865079222985095
Gemma4-12B-it,idiomatic_nc,silver lining,random,0.9947852758279467,0.980375698830347,0.911945696398142
Gemma4-12B-it,idiomatic_nc,ivory tower,synonym,0.9907767103734244,0.9763198398979824,0.888500180026497
Gemma4-12B-it,idiomatic_nc,ivory tower,component,0.9897846110225662,0.9816969660485011,0.8825316508321999
Gemma4-12B-it,idiomatic_nc,ivory tower,word_by_word,0.9930123843035581,0.9783873915733264,0.8476578195480691
Gemma4-12B-it,idiomatic_nc,ivory tower,random,0.9921475954373226,0.9551266470732288,0.8712760954068052
Gemma4-12B-it,idiomatic_nc,glass ceiling,synonym,0.9891335218113259,0.9607281330461914,0.8554778039138385
Gemma4-12B-it,idiomatic_nc,glass ceiling,component,0.9877916563431322,0.976360009896956,0.8552052718864683
Gemma4-12B-it,idiomatic_nc,glass ceiling,word_by_word,0.9922996491821509,0.9860610279190093,0.8446811407290505
Gemma4-12B-it,idiomatic_nc,glass ceiling,random,0.9922610120565699,0.9745238044725056,0.881967638231507
Gemma4-12B-it,idiomatic_nc,cash cow,synonym,0.9554537415357449,0.9093568230645929,0.8358606061630118
Gemma4-12B-it,idiomatic_nc,cash cow,component,0.9953668034293146,0.9499508305493987,0.9261653212789377
Gemma4-12B-it,idiomatic_nc,cash cow,word_by_word,0.9855222435758364,0.9447881000197363,0.8795866061525942
Gemma4-12B-it,idiomatic_nc,cash cow,random,0.9885901336249301,0.9320426686586852,0.8725116261928498
Gemma4-12B-it,idiomatic_nc,loose cannon,synonym,0.9936043416617052,0.9748954590503889,0.8823996376271305
Gemma4-12B-it,idiomatic_nc,loose cannon,component,0.9869181649328747,0.9454652286041643,0.7608202336064207
Gemma4-12B-it,idiomatic_nc,loose cannon,word_by_word,0.9887063771023282,0.9612059623373946,0.8847392166062511
Gemma4-12B-it,idiomatic_nc,loose cannon,random,0.9860772851636967,0.9438602995833452,0.853820542656223
Gemma4-12B-it,idiomatic_nc,golden handshake,synonym,0.9910558793021415,0.9492715021200253,0.9013558914375384
Gemma4-12B-it,idiomatic_nc,golden handshake,component,0.9902310797287881,0.9495160658854831,0.8663544767156747
Gemma4-12B-it,idiomatic_nc,golden handshake,word_by_word,0.9910351883242922,0.958227075082573,0.8979984535456934
Gemma4-12B-it,idiomatic_nc,golden handshake,random,0.9834918409578922,0.9644565861141966,0.9355326071781658
Gemma4-12B-it,idiomatic_nc,paper tiger,synonym,0.9871955261561774,0.952965114745199,0.9382830756239378
Gemma4-12B-it,idiomatic_nc,paper tiger,component,0.9922119481498642,0.9614008620578166,0.9211383530506093
Gemma4-12B-it,idiomatic_nc,paper tiger,word_by_word,0.9901332149803481,0.9616873702566184,0.8777182624541322
Gemma4-12B-it,idiomatic_nc,paper tiger,random,0.9920095342347769,0.9646462952903587,0.8966851489733286
Gemma4-12B-it,idiomatic_nc,smoking gun,synonym,0.9893905931720707,0.9522452642390827,0.9272591863643577
Gemma4-12B-it,idiomatic_nc,smoking gun,component,0.9912566064940349,0.9602253728502773,0.9230079863266059
Gemma4-12B-it,idiomatic_nc,smoking gun,word_by_word,0.9903126965841331,0.9577188315609211,0.9427225162820153
Gemma4-12B-it,idiomatic_nc,smoking gun,random,0.9925494486281323,0.926810281037256,0.9123320126841108
Gemma4-12B-it,compositional_nc,economic aid,synonym,0.9911749318618367,0.9775739999348467,0.9471690186022073
Gemma4-12B-it,compositional_nc,economic aid,component,0.9930652952178992,0.9774766827900253,0.8790946027438079
Gemma4-12B-it,compositional_nc,economic aid,word_by_word,0.9908993165123446,0.9803685344576678,0.9373371711821582
Gemma4-12B-it,compositional_nc,economic aid,random,0.9874720201978648,0.9664075949883345,0.8970016752850336
Gemma4-12B-it,compositional_nc,research lab,synonym,0.9934631941482658,0.9818520948528578,0.9943095698595668
Gemma4-12B-it,compositional_nc,research lab,component,0.9892626695557045,0.9228333658205983,0.8539437825359351
Gemma4-12B-it,compositional_nc,research lab,word_by_word,0.985000456018147,0.9348007726245123,0.611284734732573
Gemma4-12B-it,compositional_nc,research lab,random,0.9844663241694446,0.9194288538713585,0.8730392493954549
Gemma4-12B-it,compositional_nc,climate policy,synonym,0.9955818564171937,0.976272825395437,0.8996374853602598
