model,group,case,variant,sentence_sim,contextual_span_sim,isolated_phrase_sim
DistilBERT-ML,idiomatic_nc,grey matter,synonym,0.9785290918128293,0.6920003213703628,0.7252886825042335
DistilBERT-ML,idiomatic_nc,grey matter,component,0.9867462731777613,0.8810410053566354,0.845129977391974
DistilBERT-ML,idiomatic_nc,grey matter,word_by_word,0.9834777188357303,0.8188746349306466,0.8093467188323634
DistilBERT-ML,idiomatic_nc,grey matter,random,0.9585234127492083,0.7057245603061525,0.7079096505035665
DistilBERT-ML,idiomatic_nc,eager beaver,synonym,0.9672285278227044,0.7425410490066378,0.7354770204781192
DistilBERT-ML,idiomatic_nc,eager beaver,component,0.989863701588465,0.9119095280819177,0.9062175362073557
DistilBERT-ML,idiomatic_nc,eager beaver,word_by_word,0.9673809168685045,0.7788468896468881,0.782027393966069
DistilBERT-ML,idiomatic_nc,eager beaver,random,0.9668320510257277,0.7676258898474893,0.7145504568628628
DistilBERT-ML,idiomatic_nc,couch potato,synonym,0.9540673929008452,0.7399851158707363,0.7368877915162685
DistilBERT-ML,idiomatic_nc,couch potato,component,0.9898364441516146,0.9295821082336532,0.9169886820378226
DistilBERT-ML,idiomatic_nc,couch potato,word_by_word,0.9616118752415842,0.7966623630191646,0.7621851893460351
DistilBERT-ML,idiomatic_nc,couch potato,random,0.9461853792043532,0.7037860845401304,0.666567583255914
DistilBERT-ML,idiomatic_nc,cold feet,synonym,0.979632663516352,0.7108140153118525,0.7298603211866849
DistilBERT-ML,idiomatic_nc,cold feet,component,0.9944463114072842,0.8802852416460354,0.8462904489187308
DistilBERT-ML,idiomatic_nc,cold feet,word_by_word,0.9870372491006549,0.8169183014572184,0.8119809247030969
DistilBERT-ML,idiomatic_nc,cold feet,random,0.9778568278143894,0.7411612382609807,0.7405033788762448
DistilBERT-ML,idiomatic_nc,white elephant,synonym,0.9733364806931439,0.7728412203916174,0.7136191024381804
DistilBERT-ML,idiomatic_nc,white elephant,component,0.9939044344368794,0.9643643936747769,0.9352725375867448
DistilBERT-ML,idiomatic_nc,white elephant,word_by_word,0.979567231244435,0.8289334025279512,0.7836354300625173
DistilBERT-ML,idiomatic_nc,white elephant,random,0.9693291404372018,0.7643606546513244,0.7006584373427833
DistilBERT-ML,idiomatic_nc,red tape,synonym,0.9667892734968393,0.6534560057604677,0.661508246931076
DistilBERT-ML,idiomatic_nc,red tape,component,0.9929797943618341,0.8768564322630024,0.8466136879142677
DistilBERT-ML,idiomatic_nc,red tape,word_by_word,0.9601872083720311,0.7455996679828399,0.7113462504960771
DistilBERT-ML,idiomatic_nc,red tape,random,0.974150617133409,0.7481694383256268,0.7623807724637822
DistilBERT-ML,idiomatic_nc,dark horse,synonym,0.9753502234052275,0.7924711727426467,0.8107639802595025
DistilBERT-ML,idiomatic_nc,dark horse,component,0.9933627304156928,0.8931877536240038,0.8433191096257829
DistilBERT-ML,idiomatic_nc,dark horse,word_by_word,0.9772606265363467,0.8230863353136492,0.8452501836341677
DistilBERT-ML,idiomatic_nc,dark horse,random,0.9733542300518445,0.7827458828643508,0.7773929067272644
DistilBERT-ML,idiomatic_nc,black sheep,synonym,0.979347943418856,0.7563626293776887,0.7327613736709794
DistilBERT-ML,idiomatic_nc,black sheep,component,0.9917323502852498,0.844891357038344,0.8424208299488544
DistilBERT-ML,idiomatic_nc,black sheep,word_by_word,0.9851335791097902,0.8519624601310632,0.855818608210945
DistilBERT-ML,idiomatic_nc,black sheep,random,0.9791979102438806,0.7860322122797643,0.754858363959476
DistilBERT-ML,idiomatic_nc,silver lining,synonym,0.961745788091695,0.7420551501000463,0.7170743634771806
DistilBERT-ML,idiomatic_nc,silver lining,component,0.9884781884010401,0.9270886392601176,0.9261071951797233
DistilBERT-ML,idiomatic_nc,silver lining,word_by_word,0.9718612559532366,0.7884602780706995,0.7768150926126303
DistilBERT-ML,idiomatic_nc,silver lining,random,0.9729591953864095,0.7489184143900346,0.7381538093815849
DistilBERT-ML,idiomatic_nc,ivory tower,synonym,0.9650456863936745,0.7736589996072614,0.7729328547045753
DistilBERT-ML,idiomatic_nc,ivory tower,component,0.9831344930387484,0.8199567545642236,0.8131010151388066
DistilBERT-ML,idiomatic_nc,ivory tower,word_by_word,0.9738619062848274,0.793530046012971,0.7905730290756412
DistilBERT-ML,idiomatic_nc,ivory tower,random,0.9641387210368602,0.773019995526493,0.8223484942173249
DistilBERT-ML,idiomatic_nc,glass ceiling,synonym,0.9798013261073039,0.8598861973988835,0.8321263356585705
DistilBERT-ML,idiomatic_nc,glass ceiling,component,0.9902897229157887,0.8843661084197786,0.8820394817760828
DistilBERT-ML,idiomatic_nc,glass ceiling,word_by_word,0.988595396835366,0.889419938151225,0.9011377839911171
DistilBERT-ML,idiomatic_nc,glass ceiling,random,0.9560127388770943,0.7545745144531648,0.7163441579571846
DistilBERT-ML,idiomatic_nc,cash cow,synonym,0.9831295463783017,0.8168290233771758,0.7642941723207431
DistilBERT-ML,idiomatic_nc,cash cow,component,0.9936455374236459,0.9449418623098161,0.902164316932606
DistilBERT-ML,idiomatic_nc,cash cow,word_by_word,0.9816583303378659,0.7989144781467811,0.7667936876348723
DistilBERT-ML,idiomatic_nc,cash cow,random,0.963754148386372,0.7605593158510117,0.7116806670625346
DistilBERT-ML,idiomatic_nc,loose cannon,synonym,0.9554136111606304,0.7127985093642552,0.7279181735973266
DistilBERT-ML,idiomatic_nc,loose cannon,component,0.9961422466227222,0.9607893402023422,0.9461873187690548
DistilBERT-ML,idiomatic_nc,loose cannon,word_by_word,0.9724821584884161,0.7668853457793732,0.7762590426558444
DistilBERT-ML,idiomatic_nc,loose cannon,random,0.9690726847445703,0.7909140254905005,0.7795875307793816
DistilBERT-ML,idiomatic_nc,golden handshake,synonym,0.9512721892600013,0.7384015659872234,0.7179536841969081
DistilBERT-ML,idiomatic_nc,golden handshake,component,0.9873655389306346,0.9524208385128554,0.9199967204061045
DistilBERT-ML,idiomatic_nc,golden handshake,word_by_word,0.9666109632736415,0.8397334495020089,0.8134915538787006
DistilBERT-ML,idiomatic_nc,golden handshake,random,0.963887168570471,0.8205594191110014,0.7972379128675693
DistilBERT-ML,idiomatic_nc,paper tiger,synonym,0.9675432659503481,0.7565228859156341,0.753894767742623
DistilBERT-ML,idiomatic_nc,paper tiger,component,0.9917613964808167,0.9333980926785375,0.9414471694824726
DistilBERT-ML,idiomatic_nc,paper tiger,word_by_word,0.9774043178682282,0.8137430606712076,0.7886143415758149
DistilBERT-ML,idiomatic_nc,paper tiger,random,0.9725909902099631,0.8099213832218636,0.8106229498099774
DistilBERT-ML,idiomatic_nc,smoking gun,synonym,0.9657437695209236,0.7696053474615488,0.7886297651779465
DistilBERT-ML,idiomatic_nc,smoking gun,component,0.9861916973363861,0.833137234786047,0.821017782026422
DistilBERT-ML,idiomatic_nc,smoking gun,word_by_word,0.9811311613036577,0.8318497085764516,0.8604601682703218
DistilBERT-ML,idiomatic_nc,smoking gun,random,0.9618320997428363,0.7423791558576531,0.7504511534595918
DistilBERT-ML,compositional_nc,economic aid,synonym,0.9934770710659582,0.9273268767326911,0.920166633101506
DistilBERT-ML,compositional_nc,economic aid,component,0.994114075686162,0.9060330688936016,0.816635673668056
DistilBERT-ML,compositional_nc,economic aid,word_by_word,0.9903677314984898,0.8983819685739817,0.8897254578429672
DistilBERT-ML,compositional_nc,economic aid,random,0.9771613693566598,0.7399700314189938,0.7583129974386983
DistilBERT-ML,compositional_nc,research lab,synonym,0.9943283253630196,0.9424196237284678,0.9403290601475465
DistilBERT-ML,compositional_nc,research lab,component,0.9890444690632559,0.8734498294696088,0.8275306905500539
DistilBERT-ML,compositional_nc,research lab,word_by_word,0.9816928895823126,0.859899304320086,0.8446736090890004
DistilBERT-ML,compositional_nc,research lab,random,0.9707421675234735,0.7811377378335272,0.7872902260697099
DistilBERT-ML,compositional_nc,climate policy,synonym,0.9932739869443664,0.9246262921246075,0.9374368040394548
