model,group,case,variant,sentence_sim,contextual_span_sim,isolated_phrase_sim
Qwen3-Emb-0.6B,idiomatic_nc,grey matter,synonym,0.9332238542554994,0.8040408811206263,0.8040408811206263
Qwen3-Emb-0.6B,idiomatic_nc,grey matter,component,0.8817030592250099,0.7191215862656479,0.7191215862656479
Qwen3-Emb-0.6B,idiomatic_nc,grey matter,word_by_word,0.7948351336733231,0.7203091096337007,0.7203091096337007
Qwen3-Emb-0.6B,idiomatic_nc,grey matter,random,0.7727161081494075,0.4524864877571238,0.4524864877571238
Qwen3-Emb-0.6B,idiomatic_nc,eager beaver,synonym,0.9142928559903444,0.6014547312454992,0.6014547312454992
Qwen3-Emb-0.6B,idiomatic_nc,eager beaver,component,0.901768893086628,0.9020742193508211,0.9020742193508211
Qwen3-Emb-0.6B,idiomatic_nc,eager beaver,word_by_word,0.9222915583087334,0.7591871742039018,0.7591871742039018
Qwen3-Emb-0.6B,idiomatic_nc,eager beaver,random,0.8211392114109587,0.5372937125813669,0.5372937125813669
Qwen3-Emb-0.6B,idiomatic_nc,couch potato,synonym,0.9317297444869878,0.6131023011222406,0.6131023011222406
Qwen3-Emb-0.6B,idiomatic_nc,couch potato,component,0.8565759987107874,0.8677307139895005,0.8677307139895005
Qwen3-Emb-0.6B,idiomatic_nc,couch potato,word_by_word,0.8671928003425726,0.7837600865399413,0.7837600865399413
Qwen3-Emb-0.6B,idiomatic_nc,couch potato,random,0.7249826419694732,0.5178593390749814,0.5178593390749814
Qwen3-Emb-0.6B,idiomatic_nc,cold feet,synonym,0.9634425974973416,0.5665958276526112,0.5665958276526112
Qwen3-Emb-0.6B,idiomatic_nc,cold feet,component,0.9748587177660617,0.7536855856728808,0.7536855856728808
Qwen3-Emb-0.6B,idiomatic_nc,cold feet,word_by_word,0.9661097925445671,0.7592504578718886,0.7592504578718886
Qwen3-Emb-0.6B,idiomatic_nc,cold feet,random,0.8583974114683325,0.4306771993812327,0.4306771993812327
Qwen3-Emb-0.6B,idiomatic_nc,white elephant,synonym,0.9068446531738326,0.5847831036228146,0.5847831036228146
Qwen3-Emb-0.6B,idiomatic_nc,white elephant,component,0.9148994528812912,0.8929807403258256,0.8929807403258256
Qwen3-Emb-0.6B,idiomatic_nc,white elephant,word_by_word,0.9338789949665358,0.7959475457845668,0.7959475457845668
Qwen3-Emb-0.6B,idiomatic_nc,white elephant,random,0.8271257602514078,0.5236754905015469,0.5236754905015469
Qwen3-Emb-0.6B,idiomatic_nc,red tape,synonym,0.9640983655754551,0.6809192838917177,0.6809192838917177
Qwen3-Emb-0.6B,idiomatic_nc,red tape,component,0.9421680480442017,0.7074338202878406,0.7074338202878406
Qwen3-Emb-0.6B,idiomatic_nc,red tape,word_by_word,0.9274503768386886,0.7340677918543926,0.7340677918543926
Qwen3-Emb-0.6B,idiomatic_nc,red tape,random,0.9218483849468873,0.5578763915584231,0.5578763915584231
Qwen3-Emb-0.6B,idiomatic_nc,dark horse,synonym,0.8474091387923082,0.6124107861599789,0.6124107861599789
Qwen3-Emb-0.6B,idiomatic_nc,dark horse,component,0.8701907259381642,0.6361042756483831,0.6361042756483831
Qwen3-Emb-0.6B,idiomatic_nc,dark horse,word_by_word,0.8357062201636964,0.6577013245225947,0.6577013245225947
Qwen3-Emb-0.6B,idiomatic_nc,dark horse,random,0.7120768260240062,0.563040769704012,0.563040769704012
Qwen3-Emb-0.6B,idiomatic_nc,black sheep,synonym,0.9485739782603476,0.6906931725562385,0.6906931725562385
Qwen3-Emb-0.6B,idiomatic_nc,black sheep,component,0.9562736301992262,0.8298297363943615,0.8298297363943615
Qwen3-Emb-0.6B,idiomatic_nc,black sheep,word_by_word,0.9510562521924627,0.7720925044251646,0.7720925044251646
Qwen3-Emb-0.6B,idiomatic_nc,black sheep,random,0.8629746923259045,0.5441756645340023,0.5441756645340023
Qwen3-Emb-0.6B,idiomatic_nc,silver lining,synonym,0.9673093411623939,0.5638854940629998,0.5638854940629998
Qwen3-Emb-0.6B,idiomatic_nc,silver lining,component,0.9249909950215432,0.720340672740838,0.720340672740838
Qwen3-Emb-0.6B,idiomatic_nc,silver lining,word_by_word,0.8906979916887506,0.7256578109223866,0.7256578109223866
Qwen3-Emb-0.6B,idiomatic_nc,silver lining,random,0.8189943503959657,0.5046236294231249,0.5046236294231249
Qwen3-Emb-0.6B,idiomatic_nc,ivory tower,synonym,0.8495325372721529,0.5238745035225295,0.5238745035225295
Qwen3-Emb-0.6B,idiomatic_nc,ivory tower,component,0.8837579894632894,0.8040395075734772,0.8040395075734772
Qwen3-Emb-0.6B,idiomatic_nc,ivory tower,word_by_word,0.8608943499622874,0.6719761391506304,0.6719761391506304
Qwen3-Emb-0.6B,idiomatic_nc,ivory tower,random,0.8379687322434655,0.674767305211817,0.674767305211817
Qwen3-Emb-0.6B,idiomatic_nc,glass ceiling,synonym,0.8868014895965167,0.7233183054074068,0.7233183054074068
Qwen3-Emb-0.6B,idiomatic_nc,glass ceiling,component,0.8972215496293408,0.8552183696974898,0.8552183696974898
Qwen3-Emb-0.6B,idiomatic_nc,glass ceiling,word_by_word,0.8047862831528766,0.7701151227427971,0.7701151227427971
Qwen3-Emb-0.6B,idiomatic_nc,glass ceiling,random,0.697174290615477,0.5818239139174105,0.5818239139174105
Qwen3-Emb-0.6B,idiomatic_nc,cash cow,synonym,0.9524676887517357,0.742379480089513,0.742379480089513
Qwen3-Emb-0.6B,idiomatic_nc,cash cow,component,0.8494039076984106,0.7110697072374889,0.7110697072374889
Qwen3-Emb-0.6B,idiomatic_nc,cash cow,word_by_word,0.9216160624251191,0.6746507588173761,0.6746507588173761
Qwen3-Emb-0.6B,idiomatic_nc,cash cow,random,0.8004521698431885,0.6348716152980515,0.6348716152980515
Qwen3-Emb-0.6B,idiomatic_nc,loose cannon,synonym,0.9017947945786391,0.5690190386988623,0.5690190386988623
Qwen3-Emb-0.6B,idiomatic_nc,loose cannon,component,0.829764514696232,0.8565764706645811,0.8565764706645811
