model,group,case,variant,sentence_sim,contextual_span_sim,isolated_phrase_sim
BGE-M3,idiomatic_nc,grey matter,synonym,0.8890855192164848,0.5524121010265083,0.5524121010265083
BGE-M3,idiomatic_nc,grey matter,component,0.9420336096741818,0.7804809114739404,0.7804809114739404
BGE-M3,idiomatic_nc,grey matter,word_by_word,0.9187166594344788,0.6396357086132505,0.6396357086132505
BGE-M3,idiomatic_nc,grey matter,random,0.7975467715159714,0.4183735497729974,0.4183735497729974
BGE-M3,idiomatic_nc,eager beaver,synonym,0.8992842372023089,0.5328076784195221,0.5328076784195221
BGE-M3,idiomatic_nc,eager beaver,component,0.9748606405797743,0.8043137678039534,0.8043137678039534
BGE-M3,idiomatic_nc,eager beaver,word_by_word,0.8759641181884389,0.5407506109547028,0.5407506109547028
BGE-M3,idiomatic_nc,eager beaver,random,0.8001994519712554,0.4142217503755188,0.4142217503755188
BGE-M3,idiomatic_nc,couch potato,synonym,0.8750505523440831,0.4388761431968563,0.4388761431968563
BGE-M3,idiomatic_nc,couch potato,component,0.9427179321438188,0.8003503829573558,0.8003503829573558
BGE-M3,idiomatic_nc,couch potato,word_by_word,0.8943677461352973,0.44245882876708165,0.44245882876708165
BGE-M3,idiomatic_nc,couch potato,random,0.7505457619787878,0.3252652604691366,0.3252652604691366
BGE-M3,idiomatic_nc,cold feet,synonym,0.9172646811411651,0.5697619944747097,0.5697619944747097
BGE-M3,idiomatic_nc,cold feet,component,0.9502327855893601,0.8034827093809742,0.8034827093809742
BGE-M3,idiomatic_nc,cold feet,word_by_word,0.9702572148879114,0.8264009456689512,0.8264009456689512
BGE-M3,idiomatic_nc,cold feet,random,0.8255103742210088,0.39879646197626406,0.39879646197626406
BGE-M3,idiomatic_nc,white elephant,synonym,0.8474958219750027,0.4563106932666262,0.4563106932666262
BGE-M3,idiomatic_nc,white elephant,component,0.9480486366370935,0.8563768026505806,0.8563768026505806
BGE-M3,idiomatic_nc,white elephant,word_by_word,0.8798081422476247,0.6023250150670971,0.6023250150670971
BGE-M3,idiomatic_nc,white elephant,random,0.7593189413193383,0.336123093646409,0.336123093646409
BGE-M3,idiomatic_nc,red tape,synonym,0.9170236415941363,0.5373604696944609,0.5373604696944609
BGE-M3,idiomatic_nc,red tape,component,0.9321328007180355,0.7185110599689324,0.7185110599689324
BGE-M3,idiomatic_nc,red tape,word_by_word,0.8844590126883463,0.5666397070330019,0.5666397070330019
BGE-M3,idiomatic_nc,red tape,random,0.8296259998512399,0.345953160315074,0.345953160315074
BGE-M3,idiomatic_nc,dark horse,synonym,0.7399949866994171,0.43457707730368655,0.43457707730368655
BGE-M3,idiomatic_nc,dark horse,component,0.9031657255329668,0.7794917243415238,0.7794917243415238
BGE-M3,idiomatic_nc,dark horse,word_by_word,0.8760457141548285,0.637669963064054,0.637669963064054
BGE-M3,idiomatic_nc,dark horse,random,0.6963013016632051,0.40499637874403216,0.40499637874403216
BGE-M3,idiomatic_nc,black sheep,synonym,0.8883056248594213,0.5181875311632934,0.5181875311632934
BGE-M3,idiomatic_nc,black sheep,component,0.962154044788664,0.8443056628657702,0.8443056628657702
BGE-M3,idiomatic_nc,black sheep,word_by_word,0.9370104674853045,0.6640671049413719,0.6640671049413719
BGE-M3,idiomatic_nc,black sheep,random,0.7842909434697906,0.3685182496040057,0.3685182496040057
BGE-M3,idiomatic_nc,silver lining,synonym,0.9546225118542546,0.6780383156983034,0.6780383156983034
BGE-M3,idiomatic_nc,silver lining,component,0.939241674652214,0.6502399276718183,0.6502399276718183
BGE-M3,idiomatic_nc,silver lining,word_by_word,0.8370420919154957,0.5415012562583824,0.5415012562583824
BGE-M3,idiomatic_nc,silver lining,random,0.7822830204197742,0.39342626761113897,0.39342626761113897
BGE-M3,idiomatic_nc,ivory tower,synonym,0.7912979787621793,0.40208145715391636,0.40208145715391636
BGE-M3,idiomatic_nc,ivory tower,component,0.944846144588256,0.7494973083012555,0.7494973083012555
BGE-M3,idiomatic_nc,ivory tower,word_by_word,0.8680531188196957,0.39489629110732416,0.39489629110732416
BGE-M3,idiomatic_nc,ivory tower,random,0.824171881118232,0.4512927614456448,0.4512927614456448
BGE-M3,idiomatic_nc,glass ceiling,synonym,0.8537753012851087,0.589799895610183,0.589799895610183
BGE-M3,idiomatic_nc,glass ceiling,component,0.9590545953908056,0.8648532027898703,0.8648532027898703
BGE-M3,idiomatic_nc,glass ceiling,word_by_word,0.9230114118821402,0.6677017246283006,0.6677017246283006
BGE-M3,idiomatic_nc,glass ceiling,random,0.8150583559433568,0.44786053776917806,0.44786053776917806
BGE-M3,idiomatic_nc,cash cow,synonym,0.9647695641691763,0.5861876720134296,0.5861876720134296
BGE-M3,idiomatic_nc,cash cow,component,0.9373582471725437,0.8301930908677566,0.8301930908677566
BGE-M3,idiomatic_nc,cash cow,word_by_word,0.961785348363249,0.6554416842489469,0.6554416842489469
BGE-M3,idiomatic_nc,cash cow,random,0.8060472010061037,0.4093281502263097,0.4093281502263097
BGE-M3,idiomatic_nc,loose cannon,synonym,0.8405121779482064,0.4711958874852432,0.4711958874852432
BGE-M3,idiomatic_nc,loose cannon,component,0.955743397747835,0.7777583029196331,0.7777583029196331
BGE-M3,idiomatic_nc,loose cannon,word_by_word,0.9152645453761364,0.6383121693751894,0.6383121693751894
BGE-M3,idiomatic_nc,loose cannon,random,0.8554708385379097,0.3957612965864017,0.3957612965864017
BGE-M3,idiomatic_nc,golden handshake,synonym,0.8004766209244147,0.42473525619330277,0.42473525619330277
BGE-M3,idiomatic_nc,golden handshake,component,0.9628150242210078,0.8704589923767944,0.8704589923767944
BGE-M3,idiomatic_nc,golden handshake,word_by_word,0.9184805372270552,0.6451667814428977,0.6451667814428977
BGE-M3,idiomatic_nc,golden handshake,random,0.846024346895138,0.46782872728225133,0.46782872728225133
BGE-M3,idiomatic_nc,paper tiger,synonym,0.7774546039152432,0.3897690220833304,0.3897690220833304
BGE-M3,idiomatic_nc,paper tiger,component,0.9511224188225891,0.8181982569479407,0.8181982569479407
BGE-M3,idiomatic_nc,paper tiger,word_by_word,0.9052188188353526,0.596832929747753,0.596832929747753
BGE-M3,idiomatic_nc,paper tiger,random,0.8017357516368571,0.4000853547142332,0.4000853547142332
BGE-M3,idiomatic_nc,smoking gun,synonym,0.8926217758967488,0.4490850601011155,0.4490850601011155
BGE-M3,idiomatic_nc,smoking gun,component,0.9642781907572724,0.8222216461779026,0.8222216461779026
BGE-M3,idiomatic_nc,smoking gun,word_by_word,0.972153395281588,0.7734142065373043,0.7734142065373043
BGE-M3,idiomatic_nc,smoking gun,random,0.8954745052745247,0.5009199592739851,0.5009199592739851
BGE-M3,compositional_nc,economic aid,synonym,0.9813565900723569,0.8100262418392826,0.8100262418392826
BGE-M3,compositional_nc,economic aid,component,0.9760503629057047,0.7255463991090473,0.7255463991090473
BGE-M3,compositional_nc,economic aid,word_by_word,0.9675647710188379,0.7546066554251968,0.7546066554251968
BGE-M3,compositional_nc,economic aid,random,0.8557034330342459,0.490248513256504,0.490248513256504
BGE-M3,compositional_nc,research lab,synonym,0.954626401376881,0.8111935943325757,0.8111935943325757
BGE-M3,compositional_nc,research lab,component,0.9799085764854514,0.8816207962375763,0.8816207962375763
BGE-M3,compositional_nc,research lab,word_by_word,0.8889394413670823,0.6350120449987705,0.6350120449987705
BGE-M3,compositional_nc,research lab,random,0.7931939743177532,0.4944619844763995,0.4944619844763995
BGE-M3,compositional_nc,climate policy,synonym,0.9502284139497378,0.8711318843343766,0.8711318843343766
BGE-M3,compositional_nc,climate policy,component,0.9361866615599422,0.8087186565443549,0.8087186565443549
BGE-M3,compositional_nc,climate policy,word_by_word,0.8998803607181605,0.595100853738694,0.595100853738694
BGE-M3,compositional_nc,climate policy,random,0.7637526632354558,0.3817855985799832,0.3817855985799832
BGE-M3,compositional_nc,medical school,synonym,0.9863929558490665,0.8783616369708029,0.8783616369708029
BGE-M3,compositional_nc,medical school,component,0.9303805483277233,0.7571385213777606,0.7571385213777606
BGE-M3,compositional_nc,medical school,word_by_word,0.9422906302698337,0.6475897570316731,0.6475897570316731
BGE-M3,compositional_nc,medical school,random,0.7896666447798726,0.3998037942479779,0.3998037942479779
BGE-M3,compositional_nc,mountain village,synonym,0.9170453995857255,0.6834322504586041,0.6834322504586041
BGE-M3,compositional_nc,mountain village,component,0.9706559559965311,0.8494841933110449,0.8494841933110449
BGE-M3,compositional_nc,mountain village,word_by_word,0.9245545474464237,0.6429710514114668,0.6429710514114668
BGE-M3,compositional_nc,mountain village,random,0.7597981275155209,0.36841157200604485,0.36841157200604485
BGE-M3,compositional_nc,solar panel,synonym,0.9466745511826714,0.7138260202382438,0.7138260202382438
BGE-M3,compositional_nc,solar panel,component,0.9432221226850804,0.747621104500089,0.747621104500089
BGE-M3,compositional_nc,solar panel,word_by_word,0.9141138045332869,0.7093454207317674,0.7093454207317674
BGE-M3,compositional_nc,solar panel,random,0.8051710615457017,0.4763849846778749,0.4763849846778749
BGE-M3,compositional_nc,election result,synonym,0.9697555659856847,0.8771094121428392,0.8771094121428392
BGE-M3,compositional_nc,election result,component,0.9567759025242523,0.8230006914284864,0.8230006914284864
BGE-M3,compositional_nc,election result,word_by_word,0.9681830342176659,0.8741758936670883,0.8741758936670883
BGE-M3,compositional_nc,election result,random,0.7863311953997449,0.39448457142627147,0.39448457142627147
BGE-M3,compositional_nc,airport security,synonym,0.9679662579063707,0.8357458998629288,0.8357458998629288
BGE-M3,compositional_nc,airport security,component,0.9397560172130139,0.7748996496541235,0.7748996496541235
BGE-M3,compositional_nc,airport security,word_by_word,0.9496520903986154,0.7235281465053298,0.7235281465053298
BGE-M3,compositional_nc,airport security,random,0.7373343510630042,0.3698824026288216,0.3698824026288216
BGE-M3,compositional_nc,language teacher,synonym,0.9876988426463336,0.9352795507839959,0.9352795507839959
BGE-M3,compositional_nc,language teacher,component,0.9740860704491056,0.834154139003262,0.834154139003262
BGE-M3,compositional_nc,language teacher,word_by_word,0.9638180885917417,0.8490866722217801,0.8490866722217801
BGE-M3,compositional_nc,language teacher,random,0.8026748896494121,0.33948107880313066,0.33948107880313066
BGE-M3,compositional_nc,water bottle,synonym,0.9391638981808876,0.7874131732588148,0.7874131732588148
BGE-M3,compositional_nc,water bottle,component,0.9707867599066943,0.8857877400720701,0.8857877400720701
BGE-M3,compositional_nc,water bottle,word_by_word,0.9336502965435357,0.6486206384354939,0.6486206384354939
BGE-M3,compositional_nc,water bottle,random,0.8151710089735774,0.47069638681032466,0.47069638681032466
BGE-M3,compositional_nc,history book,synonym,0.9782545135565073,0.7352007645720894,0.7352007645720894
BGE-M3,compositional_nc,history book,component,0.9341382946305656,0.8239524689345613,0.8239524689345613
BGE-M3,compositional_nc,history book,word_by_word,0.9215206824666774,0.6219981200485241,0.6219981200485241
BGE-M3,compositional_nc,history book,random,0.7785056610058942,0.41205797968787156,0.41205797968787156
BGE-M3,compositional_nc,river bridge,synonym,0.9347633295259616,0.7602450239632936,0.7602450239632936
BGE-M3,compositional_nc,river bridge,component,0.9854397463081609,0.8676586757337199,0.8676586757337199
BGE-M3,compositional_nc,river bridge,word_by_word,0.9351200846648793,0.7367828901758116,0.7367828901758116
BGE-M3,compositional_nc,river bridge,random,0.8264623141271957,0.4643144581048967,0.4643144581048967
BGE-M3,compositional_nc,hospital room,synonym,0.9551603018631861,0.7424921130705939,0.7424921130705939
BGE-M3,compositional_nc,hospital room,component,0.9710681570214339,0.7941633093056046,0.7941633093056046
BGE-M3,compositional_nc,hospital room,word_by_word,0.9274635258922735,0.6783998571574972,0.6783998571574972
BGE-M3,compositional_nc,hospital room,random,0.8202662420647141,0.4283712368805572,0.4283712368805572
BGE-M3,compositional_nc,village market,synonym,0.9718938529888654,0.8282542597792721,0.8282542597792721
BGE-M3,compositional_nc,village market,component,0.9824932689542669,0.7966060455745495,0.7966060455745495
BGE-M3,compositional_nc,village market,word_by_word,0.910673952915952,0.607501254563168,0.607501254563168
BGE-M3,compositional_nc,village market,random,0.7943591799839782,0.30888542082824066,0.30888542082824066
BGE-M3,compositional_nc,data center,synonym,0.956144803035809,0.7192701530383802,0.7192701530383802
BGE-M3,compositional_nc,data center,component,0.9499090663298388,0.7549107810267721,0.7549107810267721
BGE-M3,compositional_nc,data center,word_by_word,0.9402555527335599,0.6611041414561514,0.6611041414561514
BGE-M3,compositional_nc,data center,random,0.796302746484307,0.36464848258079363,0.36464848258079363
BGE-M3,compositional_nc,music festival,synonym,0.9571007286422454,0.8202395304120249,0.8202395304120249
BGE-M3,compositional_nc,music festival,component,0.9783462561800716,0.9008013106092704,0.9008013106092704
BGE-M3,compositional_nc,music festival,word_by_word,0.8840246696273066,0.6918807319740986,0.6918807319740986
BGE-M3,compositional_nc,music festival,random,0.8083565124346728,0.45014834155490396,0.45014834155490396
BGE-M3,single_word_control,doctor,synonym,0.9894624430645691,0.8923189749818353,0.8923189749818353
BGE-M3,single_word_control,doctor,related,0.9161276665837684,0.637880081503269,0.637880081503269
BGE-M3,single_word_control,doctor,random,0.8079026321174534,0.5080550607317099,0.5080550607317099
BGE-M3,single_word_control,apple,synonym,0.93050507783419,0.6495869481407857,0.6495869481407857
BGE-M3,single_word_control,apple,related,0.8889707935064435,0.6195676926020685,0.6195676926020685
BGE-M3,single_word_control,apple,random,0.7473989571952038,0.5735559936455223,0.5735559936455223
BGE-M3,single_word_control,teacher,synonym,0.9668581985915429,0.8417783494261476,0.8417783494261476
BGE-M3,single_word_control,teacher,related,0.9468327606222182,0.8076133352976791,0.8076133352976791
BGE-M3,single_word_control,teacher,random,0.800250305640216,0.5645708070755311,0.5645708070755311
BGE-M3,single_word_control,lawyer,synonym,0.9874784427542294,0.8803673708896103,0.8803673708896103
BGE-M3,single_word_control,lawyer,related,0.944953663801407,0.734435336909914,0.734435336909914
BGE-M3,single_word_control,lawyer,random,0.8902566436879955,0.5530062479072889,0.5530062479072889
BGE-M3,single_word_control,river,synonym,0.9655811355035848,0.6736489698452301,0.6736489698452301
BGE-M3,single_word_control,river,related,0.9247134852291663,0.593636321521413,0.593636321521413
BGE-M3,single_word_control,river,random,0.8460307887301663,0.5157750710070408,0.5157750710070408
BGE-M3,single_word_control,city,synonym,0.9381009031742269,0.7316909714545133,0.7316909714545133
BGE-M3,single_word_control,city,related,0.9484133311985536,0.7744281317969228,0.7744281317969228
BGE-M3,single_word_control,city,random,0.8744479080499452,0.5495047758825938,0.5495047758825938
BGE-M3,single_word_control,storm,synonym,0.9528981586446215,0.6941319782766961,0.6941319782766961
BGE-M3,single_word_control,storm,related,0.966735062871175,0.7863424626802162,0.7863424626802162
BGE-M3,single_word_control,storm,random,0.8280887714822449,0.47056820758006257,0.47056820758006257
BGE-M3,single_word_control,idea,synonym,0.9807412736518484,0.7845733734518829,0.7845733734518829
BGE-M3,single_word_control,idea,related,0.9717971370862956,0.7071410594449514,0.7071410594449514
BGE-M3,single_word_control,idea,random,0.8739360280864552,0.491660899652436,0.491660899652436
BGE-M3,single_word_control,problem,synonym,0.9784720621729388,0.8608903309359893,0.8608903309359893
BGE-M3,single_word_control,problem,related,0.9460652254883006,0.7870917549350239,0.7870917549350239
BGE-M3,single_word_control,problem,random,0.8579706176250153,0.5411192416586135,0.5411192416586135
BGE-M3,single_word_control,music,synonym,0.961079307610277,0.7110913137187203,0.7110913137187203
BGE-M3,single_word_control,music,related,0.953595300385783,0.8550442356114717,0.8550442356114717
BGE-M3,single_word_control,music,random,0.8391650169480622,0.5744963254438136,0.5744963254438136
BGE-M3,single_word_control,letter,synonym,0.9287778411861412,0.6440088293684514,0.6440088293684514
BGE-M3,single_word_control,letter,related,0.9422665871755557,0.7382187081571902,0.7382187081571902
BGE-M3,single_word_control,letter,random,0.726602547160404,0.4910641328371606,0.4910641328371606
BGE-M3,single_word_control,machine,synonym,0.940482948412941,0.7108943209041148,0.7108943209041148
BGE-M3,single_word_control,machine,related,0.9509421981381885,0.7260067907933118,0.7260067907933118
BGE-M3,single_word_control,machine,random,0.770287286373367,0.5409054280506096,0.5409054280506096
BGE-M3,single_word_control,road,synonym,0.9701011847682028,0.7657455465586539,0.7657455465586539
