model,lang,context,level,nc,comp_class,comp_score,sent_id,measurement,value
mock,EN,naturalistic,nc,grey matter,I,0.95,S1,sim_P_Syn,-0.003636546368482062
mock,EN,naturalistic,nc,grey matter,I,0.95,S1,sim_P_Comp,0.7416888484738241
mock,EN,naturalistic,nc,grey matter,I,0.95,S1,sim_P_WordsSyn,0.25171476826789513
mock,EN,naturalistic,nc,grey matter,I,0.95,S1,sim_P_Rand,0.05089412811343505
mock,EN,naturalistic,nc,grey matter,I,0.95,S1,aff_Syn|WordsSyn,-0.25535131463637717
mock,EN,naturalistic,nc,grey matter,I,0.95,S1,aff_Syn|Rand,-0.05453067448191711
mock,EN,naturalistic,nc,grey matter,I,0.95,S1,simR_Syn,-0.05745478570638798
mock,EN,naturalistic,nc,grey matter,I,0.95,S1,simR_WordsSyn,0.21158929272588226
mock,EN,neutral,nc,grey matter,I,0.95,,sim_P_Syn,-0.003636546368482062
mock,EN,neutral,nc,grey matter,I,0.95,,sim_P_Comp,0.7416888484738241
mock,EN,neutral,nc,grey matter,I,0.95,,sim_P_WordsSyn,0.25171476826789513
mock,EN,neutral,nc,grey matter,I,0.95,,sim_P_Rand,0.05089412811343505
mock,EN,neutral,nc,grey matter,I,0.95,,aff_Syn|WordsSyn,-0.25535131463637717
mock,EN,neutral,nc,grey matter,I,0.95,,aff_Syn|Rand,-0.05453067448191711
mock,EN,neutral,nc,grey matter,I,0.95,,simR_Syn,-0.05745478570638798
mock,EN,neutral,nc,grey matter,I,0.95,,simR_WordsSyn,0.21158929272588226
mock,EN,naturalistic,nc,eager beaver,I,0.8,S1,sim_P_Syn,0.16591770513370185
mock,EN,naturalistic,nc,eager beaver,I,0.8,S1,sim_P_Comp,0.7325443093851951
mock,EN,naturalistic,nc,eager beaver,I,0.8,S1,sim_P_WordsSyn,-0.17783897582750227
mock,EN,naturalistic,nc,eager beaver,I,0.8,S1,sim_P_Rand,0.026746636741627625
mock,EN,naturalistic,nc,eager beaver,I,0.8,S1,aff_Syn|WordsSyn,0.34375668096120415
mock,EN,naturalistic,nc,eager beaver,I,0.8,S1,aff_Syn|Rand,0.13917106839207422
mock,EN,naturalistic,nc,eager beaver,I,0.8,S1,simR_Syn,0.14299572305215663
mock,EN,naturalistic,nc,eager beaver,I,0.8,S1,simR_WordsSyn,-0.2102079687494673
mock,EN,neutral,nc,eager beaver,I,0.8,,sim_P_Syn,0.16591770513370185
mock,EN,neutral,nc,eager beaver,I,0.8,,sim_P_Comp,0.7325443093851951
mock,EN,neutral,nc,eager beaver,I,0.8,,sim_P_WordsSyn,-0.17783897582750227
mock,EN,neutral,nc,eager beaver,I,0.8,,sim_P_Rand,0.026746636741627625
mock,EN,neutral,nc,eager beaver,I,0.8,,aff_Syn|WordsSyn,0.34375668096120415
mock,EN,neutral,nc,eager beaver,I,0.8,,aff_Syn|Rand,0.13917106839207422
mock,EN,neutral,nc,eager beaver,I,0.8,,simR_Syn,0.14299572305215663
mock,EN,neutral,nc,eager beaver,I,0.8,,simR_WordsSyn,-0.2102079687494673
mock,EN,naturalistic,nc,dutch courage,PC,2.34,S1,sim_P_Syn,0.480800717012174
mock,EN,naturalistic,nc,dutch courage,PC,2.34,S1,sim_P_Comp,0.6903359180165576
mock,EN,naturalistic,nc,dutch courage,PC,2.34,S1,sim_P_WordsSyn,-0.11394580272640666
mock,EN,naturalistic,nc,dutch courage,PC,2.34,S1,sim_P_Rand,-0.048371195737892156
mock,EN,naturalistic,nc,dutch courage,PC,2.34,S1,aff_Syn|WordsSyn,0.5947465197385806
mock,EN,naturalistic,nc,dutch courage,PC,2.34,S1,aff_Syn|Rand,0.5291719127500661
mock,EN,naturalistic,nc,dutch courage,PC,2.34,S1,simR_Syn,0.5047562494099339
mock,EN,naturalistic,nc,dutch courage,PC,2.34,S1,simR_WordsSyn,-0.0625490353560888
mock,EN,neutral,nc,dutch courage,PC,2.34,,sim_P_Syn,0.480800717012174
mock,EN,neutral,nc,dutch courage,PC,2.34,,sim_P_Comp,0.6903359180165576
mock,EN,neutral,nc,dutch courage,PC,2.34,,sim_P_WordsSyn,-0.11394580272640666
mock,EN,neutral,nc,dutch courage,PC,2.34,,sim_P_Rand,-0.048371195737892156
mock,EN,neutral,nc,dutch courage,PC,2.34,,aff_Syn|WordsSyn,0.5947465197385806
mock,EN,neutral,nc,dutch courage,PC,2.34,,aff_Syn|Rand,0.5291719127500661
mock,EN,neutral,nc,dutch courage,PC,2.34,,simR_Syn,0.5047562494099339
mock,EN,neutral,nc,dutch courage,PC,2.34,,simR_WordsSyn,-0.0625490353560888
mock,EN,naturalistic,nc,eternal rest,PC,2.4,S1,sim_P_Syn,0.06879956990843336
mock,EN,naturalistic,nc,eternal rest,PC,2.4,S1,sim_P_Comp,0.7252378801438862
mock,EN,naturalistic,nc,eternal rest,PC,2.4,S1,sim_P_WordsSyn,-0.29848285963499144
mock,EN,naturalistic,nc,eternal rest,PC,2.4,S1,sim_P_Rand,0.07673551790807623
mock,EN,naturalistic,nc,eternal rest,PC,2.4,S1,aff_Syn|WordsSyn,0.3672824295434248
mock,EN,naturalistic,nc,eternal rest,PC,2.4,S1,aff_Syn|Rand,-0.007935947999642867
mock,EN,naturalistic,nc,eternal rest,PC,2.4,S1,simR_Syn,-0.008595530482946416
mock,EN,naturalistic,nc,eternal rest,PC,2.4,S1,simR_WordsSyn,-0.40640399887679146
mock,EN,neutral,nc,eternal rest,PC,2.4,,sim_P_Syn,0.06879956990843336
mock,EN,neutral,nc,eternal rest,PC,2.4,,sim_P_Comp,0.7252378801438862
mock,EN,neutral,nc,eternal rest,PC,2.4,,sim_P_WordsSyn,-0.29848285963499144
mock,EN,neutral,nc,eternal rest,PC,2.4,,sim_P_Rand,0.07673551790807623
mock,EN,neutral,nc,eternal rest,PC,2.4,,aff_Syn|WordsSyn,0.3672824295434248
mock,EN,neutral,nc,eternal rest,PC,2.4,,aff_Syn|Rand,-0.007935947999642867
mock,EN,neutral,nc,eternal rest,PC,2.4,,simR_Syn,-0.008595530482946416
mock,EN,neutral,nc,eternal rest,PC,2.4,,simR_WordsSyn,-0.40640399887679146
mock,EN,naturalistic,nc,economic aid,C,4.13,S1,sim_P_Syn,0.02833016759750476
mock,EN,naturalistic,nc,economic aid,C,4.13,S1,sim_P_Comp,0.7054584070290238
mock,EN,naturalistic,nc,economic aid,C,4.13,S1,sim_P_WordsSyn,0.07104229549305162
mock,EN,naturalistic,nc,economic aid,C,4.13,S1,sim_P_Rand,0.07229834476869902
mock,EN,naturalistic,nc,economic aid,C,4.13,S1,aff_Syn|WordsSyn,-0.04271212789554686
mock,EN,naturalistic,nc,economic aid,C,4.13,S1,aff_Syn|Rand,-0.043968177171194264
mock,EN,naturalistic,nc,economic aid,C,4.13,S1,simR_Syn,-0.04739473830111019
mock,EN,naturalistic,nc,economic aid,C,4.13,S1,simR_WordsSyn,-0.001353936654704185
mock,EN,neutral,nc,economic aid,C,4.13,,sim_P_Syn,0.02833016759750476
mock,EN,neutral,nc,economic aid,C,4.13,,sim_P_Comp,0.7054584070290238
mock,EN,neutral,nc,economic aid,C,4.13,,sim_P_WordsSyn,0.07104229549305162
mock,EN,neutral,nc,economic aid,C,4.13,,sim_P_Rand,0.07229834476869902
mock,EN,neutral,nc,economic aid,C,4.13,,aff_Syn|WordsSyn,-0.04271212789554686
mock,EN,neutral,nc,economic aid,C,4.13,,aff_Syn|Rand,-0.043968177171194264
mock,EN,neutral,nc,economic aid,C,4.13,,simR_Syn,-0.04739473830111019
mock,EN,neutral,nc,economic aid,C,4.13,,simR_WordsSyn,-0.001353936654704185
mock,EN,naturalistic,nc,research lab,C,4.0,S1,sim_P_Syn,0.5670712341611636
mock,EN,naturalistic,nc,research lab,C,4.0,S1,sim_P_Comp,0.6369151162395668
mock,EN,naturalistic,nc,research lab,C,4.0,S1,sim_P_WordsSyn,0.0584689491858144
mock,EN,naturalistic,nc,research lab,C,4.0,S1,sim_P_Rand,-0.03844462345234702
mock,EN,naturalistic,nc,research lab,C,4.0,S1,aff_Syn|WordsSyn,0.5086022849753492
mock,EN,naturalistic,nc,research lab,C,4.0,S1,aff_Syn|Rand,0.6055158576135106
mock,EN,naturalistic,nc,research lab,C,4.0,S1,simR_Syn,0.5830988421900158
mock,EN,naturalistic,nc,research lab,C,4.0,S1,simR_WordsSyn,0.09332570119720848
mock,EN,neutral,nc,research lab,C,4.0,,sim_P_Syn,0.5670712341611636
mock,EN,neutral,nc,research lab,C,4.0,,sim_P_Comp,0.6369151162395668
mock,EN,neutral,nc,research lab,C,4.0,,sim_P_WordsSyn,0.0584689491858144
