model,group,case,variant,sentence_sim,contextual_span_sim,isolated_phrase_sim
Qwen3-Emb-4B,idiomatic_nc,grey matter,synonym,0.9549719088187566,0.8264947297715491,0.8264947297715491
Qwen3-Emb-4B,idiomatic_nc,grey matter,component,0.8588450243389502,0.6887365524278658,0.6887365524278658
Qwen3-Emb-4B,idiomatic_nc,grey matter,word_by_word,0.7462886307903288,0.6474698932270064,0.6474698932270064
Qwen3-Emb-4B,idiomatic_nc,grey matter,random,0.7112793056103172,0.45542590163255225,0.45542590163255225
Qwen3-Emb-4B,idiomatic_nc,eager beaver,synonym,0.9373348088900124,0.6977943729730938,0.6977943729730938
Qwen3-Emb-4B,idiomatic_nc,eager beaver,component,0.9059695999336342,0.8184234316425122,0.8184234316425122
Qwen3-Emb-4B,idiomatic_nc,eager beaver,word_by_word,0.8294761302397587,0.6965375732411966,0.6965375732411966
Qwen3-Emb-4B,idiomatic_nc,eager beaver,random,0.7720301344587273,0.557122124442996,0.557122124442996
Qwen3-Emb-4B,idiomatic_nc,couch potato,synonym,0.9090667824448722,0.67605096271106,0.67605096271106
Qwen3-Emb-4B,idiomatic_nc,couch potato,component,0.8006950543061456,0.7042769326549746,0.7042769326549746
Qwen3-Emb-4B,idiomatic_nc,couch potato,word_by_word,0.8113314664904403,0.6058542165918929,0.6058542165918929
Qwen3-Emb-4B,idiomatic_nc,couch potato,random,0.7148812229651352,0.46649293522788876,0.46649293522788876
Qwen3-Emb-4B,idiomatic_nc,cold feet,synonym,0.9752180994738533,0.5489048653922826,0.5489048653922826
Qwen3-Emb-4B,idiomatic_nc,cold feet,component,0.9696459837407645,0.7434927355933804,0.7434927355933804
Qwen3-Emb-4B,idiomatic_nc,cold feet,word_by_word,0.9810921809781278,0.8718450045565412,0.8718450045565412
Qwen3-Emb-4B,idiomatic_nc,cold feet,random,0.8372300469146732,0.35371839553919954,0.35371839553919954
Qwen3-Emb-4B,idiomatic_nc,white elephant,synonym,0.9392746051433818,0.6371096326671671,0.6371096326671671
Qwen3-Emb-4B,idiomatic_nc,white elephant,component,0.9357194504602454,0.8181917998449943,0.8181917998449943
