model,group,case,variant,sentence_sim,contextual_span_sim,isolated_phrase_sim
Gemma4-E2B-Base,idiomatic_nc,grey matter,synonym,0.9929949570444804,0.8468029340310955,0.7330741828702118
Gemma4-E2B-Base,idiomatic_nc,grey matter,component,0.9811204660435293,0.787904748141168,0.6582739999977212
Gemma4-E2B-Base,idiomatic_nc,grey matter,word_by_word,0.9827887805785305,0.8764330244577214,0.8731418406313364
Gemma4-E2B-Base,idiomatic_nc,grey matter,random,0.9750005027609816,0.8350120019984857,0.8281252933549123
Gemma4-E2B-Base,idiomatic_nc,eager beaver,synonym,0.98500333600283,0.8852143684465696,0.8193775441069933
Gemma4-E2B-Base,idiomatic_nc,eager beaver,component,0.9905635341585644,0.8808833330102813,0.7637870109416977
Gemma4-E2B-Base,idiomatic_nc,eager beaver,word_by_word,0.9897966502944419,0.9235719342103491,0.843103266484834
Gemma4-E2B-Base,idiomatic_nc,eager beaver,random,0.9770276633853224,0.8222968538438741,0.8011304249080824
Gemma4-E2B-Base,idiomatic_nc,couch potato,synonym,0.9893109717749702,0.9140608595292303,0.863893028871589
Gemma4-E2B-Base,idiomatic_nc,couch potato,component,0.9782268366621626,0.797945501663519,0.7514279946712891
Gemma4-E2B-Base,idiomatic_nc,couch potato,word_by_word,0.9822818001038743,0.9385490079319152,0.7844832236957616
Gemma4-E2B-Base,idiomatic_nc,couch potato,random,0.9625639945152104,0.7505068281556662,0.7543116388351145
Gemma4-E2B-Base,idiomatic_nc,cold feet,synonym,0.9951677273723192,0.8871358274776603,0.8390414952802253
Gemma4-E2B-Base,idiomatic_nc,cold feet,component,0.9893299025554496,0.6693437197521177,0.8195891418506561
Gemma4-E2B-Base,idiomatic_nc,cold feet,word_by_word,0.9967123286157974,0.9499887278944202,0.858443826253487
Gemma4-E2B-Base,idiomatic_nc,cold feet,random,0.9853068919782398,0.7577303050403209,0.8270756381549906
Gemma4-E2B-Base,idiomatic_nc,white elephant,synonym,0.9893420440539893,0.8208617611391944,0.7448717649360095
Gemma4-E2B-Base,idiomatic_nc,white elephant,component,0.9868216573167384,0.773461260630582,0.7879228778326351
Gemma4-E2B-Base,idiomatic_nc,white elephant,word_by_word,0.9827234624342195,0.8633218892996503,0.7673260697788833
Gemma4-E2B-Base,idiomatic_nc,white elephant,random,0.9803524662340091,0.8477915009076382,0.8257149122973402
Gemma4-E2B-Base,idiomatic_nc,red tape,synonym,0.9940228271412919,0.8558168686778298,0.7831248787204318
Gemma4-E2B-Base,idiomatic_nc,red tape,component,0.9823741547907159,0.741057960851979,0.7644952803309181
Gemma4-E2B-Base,idiomatic_nc,red tape,word_by_word,0.9845644806090743,0.8444565833632919,0.8412744623318317
Gemma4-E2B-Base,idiomatic_nc,red tape,random,0.9729907398874473,0.746146976336619,0.8088310351607424
Gemma4-E2B-Base,idiomatic_nc,dark horse,synonym,0.9921912272119359,0.9023781497761462,0.811012201824755
Gemma4-E2B-Base,idiomatic_nc,dark horse,component,0.9628529475056995,0.7696066872455176,0.7197945343027793
Gemma4-E2B-Base,idiomatic_nc,dark horse,word_by_word,0.9687426347433673,0.8791337382518584,0.8653083131603168
Gemma4-E2B-Base,idiomatic_nc,dark horse,random,0.9597583107369417,0.8131773204427414,0.7686976125137841
Gemma4-E2B-Base,idiomatic_nc,black sheep,synonym,0.9954848956301998,0.9039378671364561,0.8093029061046441
Gemma4-E2B-Base,idiomatic_nc,black sheep,component,0.9861817589469558,0.8152494336247079,0.8199900746010728
Gemma4-E2B-Base,idiomatic_nc,black sheep,word_by_word,0.9911647259666228,0.9142652937631852,0.8552705745155088
Gemma4-E2B-Base,idiomatic_nc,black sheep,random,0.9782977616023011,0.8030960237037488,0.763215345357503
Gemma4-E2B-Base,idiomatic_nc,silver lining,synonym,0.9945134282192768,0.8941461433889444,0.8458666652995697
Gemma4-E2B-Base,idiomatic_nc,silver lining,component,0.990763081892588,0.865392543791767,0.8352135329796478
Gemma4-E2B-Base,idiomatic_nc,silver lining,word_by_word,0.9921818047408065,0.8647371277566231,0.8817851026313429
Gemma4-E2B-Base,idiomatic_nc,silver lining,random,0.9791006090540088,0.793814716856113,0.8557730741748295
Gemma4-E2B-Base,idiomatic_nc,ivory tower,synonym,0.986939352440144,0.864471145643834,0.770953402599374
Gemma4-E2B-Base,idiomatic_nc,ivory tower,component,0.9764786663986023,0.81334085274347,0.7239641668946495
Gemma4-E2B-Base,idiomatic_nc,ivory tower,word_by_word,0.9842621750762224,0.8012903188809534,0.7229173416904991
Gemma4-E2B-Base,idiomatic_nc,ivory tower,random,0.9816057583247805,0.8505686636368867,0.8430436290293991
Gemma4-E2B-Base,idiomatic_nc,glass ceiling,synonym,0.9824073549741243,0.9030536525080639,0.8681247965911185
Gemma4-E2B-Base,idiomatic_nc,glass ceiling,component,0.979259330825936,0.865548291947079,0.8185638706495443
Gemma4-E2B-Base,idiomatic_nc,glass ceiling,word_by_word,0.9658506913268392,0.8712446728528646,0.8535454992692348
Gemma4-E2B-Base,idiomatic_nc,glass ceiling,random,0.9595418508963478,0.8517357223937941,0.8613486182664822
Gemma4-E2B-Base,idiomatic_nc,cash cow,synonym,0.9869492056540075,0.7996332210503138,0.7505043682593586
Gemma4-E2B-Base,idiomatic_nc,cash cow,component,0.9789419652233929,0.7347432438205073,0.6916136423904918
Gemma4-E2B-Base,idiomatic_nc,cash cow,word_by_word,0.9937144908256526,0.8997978841639289,0.890836209823836
Gemma4-E2B-Base,idiomatic_nc,cash cow,random,0.9689740301318728,0.8281984916552543,0.7920121388086583
Gemma4-E2B-Base,idiomatic_nc,loose cannon,synonym,0.9904574286630143,0.9146612659104679,0.8662485999576585
Gemma4-E2B-Base,idiomatic_nc,loose cannon,component,0.9840987019333033,0.7741363397130075,0.8192566700272997
Gemma4-E2B-Base,idiomatic_nc,loose cannon,word_by_word,0.9821834886102521,0.9023946146142797,0.8563618579820004
