model,group,case,variant,sentence_sim,contextual_span_sim,isolated_phrase_sim
Qwen3.5-0.8B-Base,idiomatic_nc,grey matter,synonym,0.9690085209710972,0.657773094212626,0.6056725705236791
Qwen3.5-0.8B-Base,idiomatic_nc,grey matter,component,0.9351792593418347,0.5376285422525904,0.6621151103152529
Qwen3.5-0.8B-Base,idiomatic_nc,grey matter,word_by_word,0.9073246508589957,0.6276377709874434,0.6612361282707585
Qwen3.5-0.8B-Base,idiomatic_nc,grey matter,random,0.8729312764215013,0.5406298617533687,0.4866812934376212
Qwen3.5-0.8B-Base,idiomatic_nc,eager beaver,synonym,0.9313875445476681,0.6927287963914328,0.6505525594181777
Qwen3.5-0.8B-Base,idiomatic_nc,eager beaver,component,0.9745950478582855,0.8699142032362568,0.8326905658459359
Qwen3.5-0.8B-Base,idiomatic_nc,eager beaver,word_by_word,0.9504006770728036,0.7624566507036271,0.6289945676511102
Qwen3.5-0.8B-Base,idiomatic_nc,eager beaver,random,0.8983219468685598,0.5639711669243497,0.5973954711876747
Qwen3.5-0.8B-Base,idiomatic_nc,couch potato,synonym,0.9651511155610188,0.7243819672317967,0.6611461366519001
Qwen3.5-0.8B-Base,idiomatic_nc,couch potato,component,0.9282134162535365,0.5541918613407016,0.5804441741424083
Qwen3.5-0.8B-Base,idiomatic_nc,couch potato,word_by_word,0.9503677854831243,0.7384149808435252,0.6907480717198193
Qwen3.5-0.8B-Base,idiomatic_nc,couch potato,random,0.8864383189835133,0.45257531800743905,0.4969050353398441
Qwen3.5-0.8B-Base,idiomatic_nc,cold feet,synonym,0.9752722678342954,0.719427299930033,0.5967763658351559
Qwen3.5-0.8B-Base,idiomatic_nc,cold feet,component,0.9418664561097914,0.4051080411530032,0.5458526677133847
Qwen3.5-0.8B-Base,idiomatic_nc,cold feet,word_by_word,0.9824952998826603,0.8508508259380541,0.7615139975537927
Qwen3.5-0.8B-Base,idiomatic_nc,cold feet,random,0.9366001300073079,0.4855839935126403,0.5437285158272768
Qwen3.5-0.8B-Base,idiomatic_nc,white elephant,synonym,0.9681381546359407,0.607241907999384,0.5012773489903436
Qwen3.5-0.8B-Base,idiomatic_nc,white elephant,component,0.9530308141429498,0.550129806561068,0.5969345525954106
Qwen3.5-0.8B-Base,idiomatic_nc,white elephant,word_by_word,0.9404931327948528,0.6172011764880195,0.5979627080982712
Qwen3.5-0.8B-Base,idiomatic_nc,white elephant,random,0.9429277914092351,0.6229284854401642,0.6208887128667129
Qwen3.5-0.8B-Base,idiomatic_nc,red tape,synonym,0.978398896465992,0.6846606919242871,0.5708760339661892
Qwen3.5-0.8B-Base,idiomatic_nc,red tape,component,0.937504349205944,0.45243123282393777,0.6906970290668123
Qwen3.5-0.8B-Base,idiomatic_nc,red tape,word_by_word,0.9222437866832262,0.657802102013535,0.6813025423744663
Qwen3.5-0.8B-Base,idiomatic_nc,red tape,random,0.913229162058538,0.5347902997272567,0.6015178260752535
Qwen3.5-0.8B-Base,idiomatic_nc,dark horse,synonym,0.9304620507483571,0.5980987708028676,0.6903403901916069
Qwen3.5-0.8B-Base,idiomatic_nc,dark horse,component,0.8777143084756409,0.5391445191909834,0.6171886737242138
Qwen3.5-0.8B-Base,idiomatic_nc,dark horse,word_by_word,0.8702043868939872,0.6631116357932484,0.7677309181667619
Qwen3.5-0.8B-Base,idiomatic_nc,dark horse,random,0.8103447613091413,0.45821275995901095,0.41005009317703706
