model,group,case,variant,sentence_sim,contextual_span_sim,isolated_phrase_sim
Gemma4-12B-base,idiomatic_nc,grey matter,synonym,0.9690405372180368,0.6558863601796397,0.5940841213010253
Gemma4-12B-base,idiomatic_nc,grey matter,component,0.9220455760616307,0.42503747229246075,0.666488800594165
Gemma4-12B-base,idiomatic_nc,grey matter,word_by_word,0.9271353709964227,0.6151325923525612,0.7211650593582912
Gemma4-12B-base,idiomatic_nc,grey matter,random,0.8686675725640468,0.47685667450531216,0.6293719366537097
Gemma4-12B-base,idiomatic_nc,eager beaver,synonym,0.9406236252438809,0.7425133411229996,0.6896275857672206
Gemma4-12B-base,idiomatic_nc,eager beaver,component,0.9678861881105828,0.7168782177561664,0.6559454570143669
Gemma4-12B-base,idiomatic_nc,eager beaver,word_by_word,0.960087632733281,0.7868551594165665,0.7035788975010245
Gemma4-12B-base,idiomatic_nc,eager beaver,random,0.9139987843702391,0.5536697073279859,0.6121775858477181
Gemma4-12B-base,idiomatic_nc,couch potato,synonym,0.9317615422264963,0.7034030434328203,0.750831199243665
Gemma4-12B-base,idiomatic_nc,couch potato,component,0.9168987807867709,0.625477374624342,0.6757712072767309
Gemma4-12B-base,idiomatic_nc,couch potato,word_by_word,0.9771473728106163,0.8693907805532802,0.6747388154434037
Gemma4-12B-base,idiomatic_nc,couch potato,random,0.8655196792855415,0.4146335112308259,0.5854498352858448
Gemma4-12B-base,idiomatic_nc,cold feet,synonym,0.9775100066692118,0.6942471167173778,0.6499006414868729
Gemma4-12B-base,idiomatic_nc,cold feet,component,0.9648927659703181,0.534847535925411,0.6926764567194523
Gemma4-12B-base,idiomatic_nc,cold feet,word_by_word,0.989714090509357,0.8775954413680843,0.7401847130767016
Gemma4-12B-base,idiomatic_nc,cold feet,random,0.9207522822983526,0.3994286774727947,0.6584916677588548
Gemma4-12B-base,idiomatic_nc,white elephant,synonym,0.966227110977905,0.6013290851729498,0.6452757713815422
Gemma4-12B-base,idiomatic_nc,white elephant,component,0.9581228317320529,0.5058881251394574,0.7269326829558488
Gemma4-12B-base,idiomatic_nc,white elephant,word_by_word,0.9337024587774364,0.6808659345877348,0.6705155475383969
Gemma4-12B-base,idiomatic_nc,white elephant,random,0.9302177106489492,0.619520412587663,0.6922207970162311
Gemma4-12B-base,idiomatic_nc,red tape,synonym,0.9848333238284915,0.726735077659602,0.5822580809487555
Gemma4-12B-base,idiomatic_nc,red tape,component,0.9396883964045696,0.43930170342685715,0.6725690593886192
Gemma4-12B-base,idiomatic_nc,red tape,word_by_word,0.9271348328374831,0.6342071311110762,0.705963468989383
Gemma4-12B-base,idiomatic_nc,red tape,random,0.9005981063890024,0.38260929091467116,0.6983890390678441
Gemma4-12B-base,idiomatic_nc,dark horse,synonym,0.9604321576529701,0.7138162887718035,0.7288478417874947
Gemma4-12B-base,idiomatic_nc,dark horse,component,0.9068279313099252,0.4915362557710207,0.6709715594907205
Gemma4-12B-base,idiomatic_nc,dark horse,word_by_word,0.8712347083342477,0.6789564690655595,0.7443074176003754
Gemma4-12B-base,idiomatic_nc,dark horse,random,0.808319615043383,0.517798704632598,0.5955437687483384
Gemma4-12B-base,idiomatic_nc,black sheep,synonym,0.9775260771696552,0.7594894650021503,0.7019433156661783
Gemma4-12B-base,idiomatic_nc,black sheep,component,0.9643927347266006,0.6474878722591019,0.7276553376722285
Gemma4-12B-base,idiomatic_nc,black sheep,word_by_word,0.9618398233409312,0.7124445459036751,0.7435837340031679
